Last Name,First Name,The use of non-compete clauses in US employment contracts reduces workers' mobility and wages by more than is justified by the protection of employers' intellectual property and trade secrets.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,Occupational licensing reduces mobility and wages for workers in many sectors where they could safely deliver services that consumers would prefer to those offered by licensed workers.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Agree,3,No definitive evidence on this. Seems plausible that non-competes are bad for workers and mobility. Caveat: one good paper finds 0 effects.,Uncertain,3,"""Many"" is difficult to judge. The evidence is far from compelling. In some occs, licensing is here rent-seeking. In others, it may be useful"
Altonji,Joseph,Strongly Agree,8,,Agree,7,
Auerbach,Alan,Uncertain,3,,Agree,5,
Autor,David,Agree,8,,Strongly Agree,8,"See forthcoming ReStud paper by Morris Kleiner and MIT PhD student Evan Soltas, https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3140912"
Baicker,Katherine,Agree,3,,Agree,3,
Banerjee,Abhijit,Did Not Answer,,,Did Not Answer,,
Bertrand,Marianne,Strongly Agree,7,,Strongly Agree,7,
Brunnermeier,Markus,Strongly Agree,6,,Agree,5,
Chetty,Raj,Did Not Answer,,,Did Not Answer,,
Chevalier,Judith,Agree,5,IP is an important issue and there are settings where some form of noncompete agreement makes sense. But there are problematic settings.,Strongly Agree,8,
Cutler,David,Agree,4,,Strongly Agree,7,"This obviously varies by sector, but many such licensing requirements are unnecessary."
Deaton,Angus,Strongly Agree,8,,Strongly Agree,9,
Duffie,Darrell,Uncertain,2,,Agree,2,
Edlin,Aaron,Strongly Agree,6,,Strongly Agree,8,"Protected workers wages often enjoy higher wages, while excluded workers suffer.  See ""Cartels by Another Name """
Eichengreen,Barry,Agree,5,"Some noncompetes are clearly warranted, many not.",Uncertain,5,"In this case, ""many"" is to strong for me."
Einav,Liran,Agree,1,,Agree,1,
Fair,Ray,Agree,3,,Agree,5,
Finkelstein,Amy,Agree,2,,Disagree,5,occupational licensing is an entry barrier; it should increase wages. And the evidence suggests it does: https://papers.ssrn.com/sol3/papers
Goldberg,Pinelopi,Disagree,6,,Agree,6,
Goolsbee,Austan,Strongly Agree,10,,Strongly Agree,9,
Greenstone,Michael,Agree,3,,Agree,5,
Hall,Robert,Uncertain,7,An extremely fact-intensive question.,Agree,3,Legislatures seem to cave into special interests but this quest ion is also fact intensive.
Hart,Oliver,Agree,7,Noncompetes make sense if firms train workers or if workers acquire confidential information. But they seem to be used much more broadly.,Strongly Agree,8,
Holmström,Bengt,Agree,4,Short-term (6-12 months) non-compete clauses may be reasonable in some situations. But  labor mobility is more important now than before.,Agree,6,Skills matter in today's world. Certificates/licenses less. But in some occupations of course essential for safety reasons.
Hoxby,Caroline,Agree,7,,Strongly Agree,7,Peter Q Blair (Harvard) gave great advice on this topic! I do not have enough characters to summarize his expert thoughts but consult him.
Hoynes,Hilary,Agree,7,Particularly for low skill workers. We know less about higher skill workers.,Uncertain,9,The issue is less about the consumer side and more about the worker side.
Judd,Kenneth,Did Not Answer,,,Did Not Answer,,
Kaplan,Steven,Agree,5,,Strongly Agree,7,
Kashyap,Anil,Agree,3,,Strongly Agree,7,Lots of rent seeking behind these rules
Klenow,Pete,Strongly Agree,4,,Strongly Agree,4,
Levin,Jonathan,Agree,3,,Agree,6,
Maskin,Eric,Agree,5,,Agree,5,
Nordhaus,William,Agree,5,,Uncertain,5,
Obstfeld,Maurice,Strongly Agree,6,,Agree,6,
Saez,Emmanuel,Agree,6,,Uncertain,4,
Samuelson,Larry,Agree,8,"For example, fast-food restaurants have imposed non-compete clauses, where one suspects there is little to protect.",Agree,1,"Licenses are sometimes essential (e.g., surgeons), but are too often used to limit entry and generate rents for incumbents."
Scheinkman,José,Uncertain,5,There is however good evidence that it restricts workers' mobility and protects older firms against entrants. ,Agree,5,Kleiner and Kruger provide evidence that licensing increases wages while certification has much smaller effect.  
Schmalensee,Richard,Agree,5,,Uncertain,6,Some licensing requirements are important for safety (e.g. physicians). The problem is unnecessary or over-strict requirements. 
Shapiro,Carl,Agree,8,,Agree,4,Strict occupational licensing tends to benefit workers with licenses but serves as an obstacle to those who are not (yet) licensed.  
Shimer,Robert,Uncertain,5,"It does not seem that non-compete clauses designed to reduce mobility are enforceable, but they may still scare workers",Strongly Agree,7,
Stock,James,Agree,3,,Agree,5,
Thaler,Richard,Agree,5,,Strongly Agree,7,
Udry,Christopher,Agree,2,,Agree,8,
