Last Name,First Name,Industry consolidation and weaker competition in the United States meaningfully constrain innovation and wage growth.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,"Americans pay too much for broadband, cable television, and telecommunications services, in part because of a lack of adequate competition.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Agree,2,"My prior is yes, but we don't have enough evidence. My work doesn't find huge effects from markups to wage growth. But more is needed here.",Agree,3,I think here we are on firmer ground and there is more evidence supporting this claim.
Altonji,Joseph,Uncertain,3,,Agree,3,
Auerbach,Alan,Uncertain,5,,Agree,3,
Autor,David,Agree,6,"But the answer differs by sector. Examples. Yes: airlines, wireless/broadband, hospitals. No: retail, restaurants. ",Strongly Agree,8,
Baicker,Katherine,Agree,3,,Agree,3,
Banerjee,Abhijit,Agree,4,,Agree,7,
Bertrand,Marianne,Agree,7,,Strongly Agree,7,
Brunnermeier,Markus,Agree,7,,Uncertain,5,
Chetty,Raj,Did Not Answer,,,Did Not Answer,,
Chevalier,Judith,Uncertain,7,,Agree,8,
Cutler,David,Agree,5,,Strongly Agree,5,
Deaton,Angus,Strongly Agree,8,,Strongly Agree,8,
Duffie,Darrell,Uncertain,3,,Agree,2,
Edlin,Aaron,Agree,5,,Agree,7,
Eichengreen,Barry,Agree,5,,Agree,5,
Einav,Liran,Uncertain,3,,Uncertain,1,
Fair,Ray,Disagree,5,,Agree,5,
Finkelstein,Amy,Agree,2,,Strongly Agree,4,
Goldberg,Pinelopi,Disagree,8,,No Opinion,,
Goolsbee,Austan,Strongly Agree,6,"Corporate consolidation, record breaking profits & the lowest labor share of national income on record are probably just a coincidence...",Strongly Agree,6,The rents are too damn high
Greenstone,Michael,Uncertain,4,,Agree,2,
Hall,Robert,Uncertain,4,The effect of concentration on market power and innovation is heterogeneous and there is doubt about the net. ,Agree,6,The big problem is the exclusion of cell service from markets for additional spectrum.
Hart,Oliver,Agree,7,,Agree,6,
Holmström,Bengt,Agree,5,Easy scaling an important benefit of digital platforms. Ecosystems stimulate innovation. But resulting concentration is a problem.,Strongly Agree,5,There are too many areas without competition. 5G likely to change the situation.
Hoxby,Caroline,Agree,10,,Agree,5,
Hoynes,Hilary,Uncertain,8,"Agree that it constrains wage growth, esp for lower skill workers. Uncertain about innovation.",Agree,8,
Judd,Kenneth,Uncertain,7,,Disagree,4,"There is competition; for example, satellite competes with cable. Switching costs keep me from considering changes in service."
Kaplan,Steven,Uncertain,8,"If true, hard to explain why innovation has been stronger in the US than in Europe.",Uncertain,8,Wasn't US Broadband more reliable in the pandemic than it was in Europe?
Kashyap,Anil,Uncertain,2,"i think it might in some industries, but there are also many where this is not a factor",Agree,3,
Klenow,Pete,Agree,7,,Agree,4,
Levin,Jonathan,Uncertain,5,,Agree,4,
Maskin,Eric,Agree,5,,Agree,7,
Nordhaus,William,Disagree,5,,Agree,5,
Obstfeld,Maurice,Agree,5,,Agree,5,
Saez,Emmanuel,Agree,6,,Agree,6,
Samuelson,Larry,Agree,8,,Agree,8,
Scheinkman,José,Agree,6,More evidence for effect on wage growth and prices than on innovation,Agree,7,Last  FTC report on international comparison (2018) documents higher prices in US than in many other OECD countries.
Schmalensee,Richard,Uncertain,7,A very strong statement lacking strong enough evidence to support it.,Agree,5,
Shapiro,Carl,Agree,3,,Strongly Agree,8,
Shimer,Robert,Uncertain,1,,Agree,3,
Stock,James,Agree,3,,Agree,4,
Thaler,Richard,Uncertain,1,,Agree,1,
Udry,Christopher,Agree,1,,Agree,1,
