Last Name,First Name,"A combination of the US federal government having to defer some invoice, benefit, and salary payments, and miss payments on Treasury securities for several weeks would do substantial damage to financial markets.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,"A combination of the US federal government having to defer some invoice, benefit, and salary payments, and miss payments on Treasury securities for several weeks would lead to substantially lower employment within six months.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,The requirement to periodically increase the debt ceiling measurably reduces the long-run size of the debt.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Acemoglu,Daron,Agree,3,,Uncertain,2,Unlikely to see such strong employment effects in such a short time. But uncertain overall.,Uncertain,3,"There are both positive and negative effects, but overall it's a very inefficient way of managing public debt."
Altonji,Joseph,Agree,3,,Disagree,4,,Agree,4,
Auerbach,Alan,Agree,3,,Uncertain,3,,Strongly Disagree,7,
Autor,David,Agree,2,I'm just recycling secondhand info here -- no actual expertise added,Uncertain,1,,Agree,2,"I'm not endorsing the nuclear approach to deficits, but it seems plausible that Republicans' ability to hold Democrat admins hostage over the debt ceiling extracts some meaningful budget concessions. R's didn't use this power with Trump. Selective concern and hypocrisy abound"
Baicker,Katherine,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Banerjee,Abhijit,Disagree,3,,Uncertain,3,,Uncertain,5,
Bertrand,Marianne,Agree,3,,Agree,3,,Uncertain,2,
Brunnermeier,Markus,Strongly Agree,9,,Agree,6,,Agree,2,
Chetty,Raj,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Chevalier,Judith,Agree,7,,Uncertain,3,,Disagree,8,
Cutler,David,Agree,6,,Strongly Agree,5,,Strongly Disagree,7,
Deaton,Angus,Strongly Agree,7,,Agree,6,,Agree,7,
Duffie,Darrell,Strongly Agree,10,"Several weeks of missed payments on Treasury securities would shake confidence in the safe haven status of Treasuries, roil markets, and possibly cause market dysfunction if the sort experienced in March 2020. ",Uncertain,9,That depends on whether a financial crisis ensues.  That’s uncertain.  ,Disagree,7,Debt ceilings are typically hit even when Congress has approved spending entailing debt above the ceiling. 
Edlin,Aaron,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Eichengreen,Barry,Agree,5,,Uncertain,5,,Disagree,5,
Einav,Liran,Agree,1,,Uncertain,1,,Uncertain,1,
Fair,Ray,Uncertain,5,,Uncertain,5,,Disagree,5,
Finkelstein,Amy,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Goldberg,Pinelopi,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Greenstone,Michael,Strongly Agree,6,,Uncertain,3,,Strongly Disagree,5,
Hall,Robert,Uncertain,4,I question whether it meets the standard of substantial harm,Disagree,7,My recent JME paper with Kudlyak shows that employment does not respond to shocks during non-recession times.,Uncertain,1,
Hart,Oliver,Agree,7,,Uncertain,5,,Disagree,7,
Holmström,Bengt,Agree,6,The effects are uncertain and could erode credibility unpredictably,Agree,5,"If instability in credit markets ensue, there would be spillovers to labor markets",Uncertain,4,Depends on how this is done. Tying debt ceiling to GDP would make sense. Adjustment of rule would require congressional decision
Hoxby,Caroline,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Hoynes,Hilary,Strongly Agree,8,,Uncertain,8,,Strongly Disagree,8,
Judd,Kenneth,Strongly Agree,10,"The US has a 200+ year commitment to pay its obligations, with UK the only other large economy as reliable. World demand for US paper is high, reducing the cost of US borrowing. Any deviation from that could destroy its reputation. ",Agree,5,The short-run impact may be small. The major dangers are the long-term consequences.,Strongly Disagree,8,The main effect in the past has been the silly political posturing that comes with these increases. The expectation has been that the debt ceiling has no real impact.
Kaplan,Steven,Uncertain,2,,Disagree,3,,Strongly Disagree,7,Debt ceiling has not stopped U.S. debt from growing to record levels.
Kashyap,Anil,Strongly Agree,9,,Agree,3,"Certainly in the first few months there would a lot of damage to the economy, imagine people really not getting social security checks...  There will be some recovery by 6 months, if interest rates are permanently higher then the damage could still be evident 6 months later. ",Strongly Disagree,7,Look at the data!  
Klenow,Pete,Agree,3,,Uncertain,1,,Uncertain,3,
Levin,Jonathan,Uncertain,4,Seems very possible. But it would be new territory and how it unfolds could matter a lot. ,Uncertain,5,,Strongly Disagree,5,"Would love to hear a contrary view, but I see zero evidence of this in federal spending."
Maskin,Eric,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Nordhaus,William,Strongly Agree,7,Fat tail event so unpredictblrrt.,Strongly Agree,6,,Strongly Disagree,6,"May increase due to higher rates, but mainly chaos-causing"
Obstfeld,Maurice,Agree,4,,Agree,4,,Strongly Disagree,5,
Saez,Emmanuel,Agree,4,,Agree,3,,Disagree,6,
Samuelson,Larry,Agree,8,Hints that US debt is no longer utterly save would have far-reaching effects.,Agree,6,"This one is less clear, but it is possible that the turmoil in the financial markets would spill over into significant real effects. ",Disagree,6,
Scheinkman,José,Uncertain,4,The effect will surely be negative but the magnitude is very uncertain.,Uncertain,4,Not sure about substantial.,Disagree,5,
Schmalensee,Richard,Agree,4,,Agree,5,,Strongly Disagree,7,
Shapiro,Carl,Strongly Agree,9,,Agree,4,,Disagree,7,
Shimer,Robert,Agree,4,"The Fed has said that it would not prevent a default, but it would surely attempt to mitigate damage to the financial system.  It is unclear how effective that would be",Uncertain,1,"This depends on how effective the Fed is at preventing damage to the financial system.  Missed payments could be catastrophic, or they could have only a transitory impact on the economy.",Uncertain,3,"As is, the debt ceiling debates do have an impact on spending, as seen during the ""fiscal cliff"" in 2013.  But without a debt ceiling, those reductions might happen as part of normal budget negotiations"
Stock,James,Strongly Agree,6,,Agree,8,,Strongly Disagree,7,
Thaler,Richard,Strongly Agree,4,,Uncertain,1,Hard to predict,Strongly Disagree,10,It is a stupid rule that serves no useful purpose. I predict it will be solves in the last 24 hours of some deadline. 
Udry,Christopher,Strongly Agree,8,,Strongly Agree,4,,Strongly Disagree,5,
