Last Name,First Name,"Debt Sustainability

 
Debt sustainability analysis – for example, as practiced currently by the International Monetary Fund – substantially improves the ability to predict future sovereign debt crises.



Details on IMF debt sustainability analysis are here: https://www.imf.org/en/About/Factsheets/Sheets/2023/imf-world-bank-debt-sustainability-framework-for-low-income-countries",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,"The European Commission’s proposed move from the existing EU fiscal rules to ones based on debt sustainability analysis would be a measurable improvement.



Details on the EU’s propose fiscal rules are here: https://ec.europa.eu/commission/presscorner/detail/en/ip_23_2393",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,"A move from the existing fiscal rules to independent fiscal councils would be more effective than a move to rules based on debt sustainability.



Details on the EU’s propose fiscal rules are here:


https://ec.europa.eu/commission/presscorner/detail/en/ip_23_2393",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,,,,,,,,,,,,,,,,,,
Acemoglu,Daron,Agree,3,,Agree,3,,Uncertain,4,"In principle yes. But two important challenges: (1) ensuring that these councils are truly independent (very difficult); (2) making sure that they do not appear as ""technocratic overreach"", with an agenda imposed from above (even more difficult).",,,,,,,,,,,,,,,,,,
Altonji,Joseph,Agree,1,,Agree,2,,Uncertain,1,,,,,,,,,,,,,,,,,,,
Auerbach,Alan,Uncertain,5,,Agree,5,,Agree,5,,,,,,,,,,,,,,,,,,,
Autor,David,Agree,6,,No Opinion,,,No Opinion,,,,,,,,,,,,,,,,,,,,
Banerjee,Abhijit,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,,,,,,,,,,,,,,,,,,
Bertrand,Marianne,Agree,1,,Agree,1,,No Opinion,,,,,,,,,,,,,,,,,,,,
Brunnermeier,Markus,Uncertain,8,,Disagree,8,The process will be more politicized and not driven by economic/social considerations alone. ,Uncertain,9,The outcome depends greatly on the institutional framework and the composition and independence of the fiscal councils.,,,,,,,,,,,,,,,,,,
Chetty,Raj,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,,,,,,,,,,,,,,,,,,
Chevalier,Judith,Agree,1,,No Opinion,,,No Opinion,,,,,,,,,,,,,,,,,,,,
Cutler,David,Uncertain,5,,Uncertain,5,,Uncertain,1,,,,,,,,,,,,,,,,,,,
Deaton,Angus,No Opinion,,,No Opinion,,,No Opinion,,,,,,,,,,,,,,,,,,,,
Duffie,Darrell,Agree,7,,Agree,6,"Existing ""rules"" are extremely crude. ",Uncertain,6,"""Independent"" councils are not necessarily independent. Rules are less subject to political interference, But the political process also seems important to sustaining agreement among legal sovereigns. I'm uncertain which would be preferred.",,,,,,,,,,,,,,,,,,
Edlin,Aaron,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,,,,,,,,,,,,,,,,,,
Eichengreen,Barry,Uncertain,9,,Agree,9,,Strongly Agree,9,,,,,,,,,,,,,,,,,,,
Einav,Liran,Uncertain,1,,Agree,1,,Uncertain,1,,,,,,,,,,,,,,,,,,,
Fair,Ray,Uncertain,5,,Uncertain,5,,Agree,5,,,,,,,,,,,,,,,,,,,
Finkelstein,Amy,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,,,,,,,,,,,,,,,,,,
Goldberg,Pinelopi,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,,,,,,,,,,,,,,,,,,
