Last Name,First Name,The potential for consumers to be harmed by digital platforms’ use of their personal data is sufficient that they would benefit from laws assigning them some kind of default control rights over their data.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,"The risks of harm from use of social media services - such as harm to mental health, exploitation of children, and more - are now high enough that society would benefit from federal regulations setting safety standards and creating a process of compensation for harm by digital platforms.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Acemoglu,Daron,Agree,4,,Agree,4,
Aguiar,Mark,Agree,5,,Uncertain,3,
Altonji,Joseph,No Opinion,,,No Opinion,,
Auerbach,Alan,Uncertain,5,,Agree,5,
Autor,David,Strongly Agree,8,"It may be difficult to make this work, but the current configuration is deeply problematic, subject to abuse, and seemingly getting worse in real time (witness Meta's recent sleazy behavior). ",Strongly Agree,10,We now have clear evidence that Instagram in particular harms the well-being of young women. 
Banerjee,Abhijit,Agree,5,,Agree,6,
Bergemann,Dirk,Strongly Agree,9,,Strongly Agree,9,
Bertrand,Marianne,Strongly Agree,7,,Agree,7,
Brunnermeier,Markus,Strongly Agree,8,,Strongly Agree,8,
Chevalier,Judith,Agree,8,Agree though implementation is challenging.  ,Uncertain,6,Some safety standards seem appropriate but liability structures that create more platform liability for user generated content have important costs and benefits. 
Cutler,David,Strongly Agree,5,,Agree,5,
Duffie,Darrell,Agree,2,,Agree,2,"I'm highly uncertain how to do this without significant adverse consequences. So far, GDPR regulation in the EU has not gone very well."
Edlin,Aaron,Disagree,8,Consumers currently trade their data for use of services. A mere default allows consumers to continue to make this trade.  ,Agree,5,The harm is substantial beginning with addiction and effects on attention spans. Regulation and increased liability would be good steps forward. 
Eichengreen,Barry,Agree,5,,Agree,5,
Einav,Liran,Uncertain,1,,Uncertain,1,
Fair,Ray,Agree,5,,Agree,5,
Glaeser,Edward,Disagree,5,,Disagree,7,
Goldberg,Pinelopi,Did Not Answer,,,Did Not Answer,,
Greenstone,Michael,Agree,4,,Uncertain,2,"I think the answer depends on the form of the ""safety standards"" and the ""process of compensation for harm"""
Hart,Oliver,Agree,7,If control is sufficiently important to platforms they can always buy it back from consumers,Agree,7,This will give them better incentives than now to monitor what is on their platforms
Holmström,Bengt,Agree,4,"Key to do it selectively, weighing private vs social benefits and also what can be effectively anonymized.",Agree,5,
Hoxby,Caroline,Strongly Agree,10,,Uncertain,3,
Hoynes,Hilary,No Opinion,,,No Opinion,,
Hurst,Erik,Agree,3,,Agree,4,
Judd,Kenneth,Uncertain,6,"We already have some protection. Other than enforcing existing laws, it is unclear what else is possible. Current AI tools are able to learn much from an individual's ordinary internet activity. See work of Michal Kosinski at Stanford GSB.",Uncertain,6,Is there beneficial regulation consistent with our freedoms? AI is often doing analysis that people do themselves. The difference is that AI can analyze and remember larger amounts of data. How can we control AI without controlling normal human interactions?
Kaplan,Steven,Disagree,6,"Some rights might be ok, but laws often can be harmful like the GDPR rule in Europe that destroys immense value.",Strongly Disagree,9,This is not an easy problem to solve.  Mandating a legal solution will reduce innovation and move toward European-type solutios that do not work.
Kashyap,Anil,Agree,5,"Need to realize that GDPR had many unintended consequences, so care is needed. ",Agree,3,
Klenow,Pete,Agree,5,,Agree,2,
Levin,Jonathan,Agree,4,The details of such a law would matter a lot. ,Disagree,3,
Maskin,Eric,Agree,5,,Agree,5,
Nordhaus,William,Strongly Agree,5,,Agree,3,
Obstfeld,Maurice,Strongly Agree,4,,Agree,3,
Pathak,Parag,Did Not Answer,,,Did Not Answer,,
Samuelson,Larry,Agree,8,,Agree,8,The evidence of the dangers of social media is now compelling enough to prompt action.
Scheinkman,José,Agree,7,Specially the right to be informed and the right to rectification at no-cost.,Agree,7,
Schmalensee,Richard,Agree,3,"It is hard to see this being a bad thing, but creating a regime that actually benefits consumers would not be at all simple.",Agree,4,"Well-designed regulations and a capable agency could benefit consumers, but there are many ways for regulation to go wrong."
Scott Morton,Fiona,Strongly Agree,10,,Strongly Agree,10,
Shapiro,Carl,Strongly Agree,9,,Strongly Agree,7,
Shimer,Robert,Disagree,7,,Disagree,8,
Stantcheva,Stefanie,Agree,4,,Uncertain,3,
Stock,James,Agree,2,,Agree,4,
Stokey,Nancy,Agree,6,,Agree,3,
Syverson,Chad,Uncertain,4,,Uncertain,3,
Thaler,Richard,Agree,8,"I agree with this in theory, but in practice, GDPR in the EU seems to just produce sludge. If you reject the default cookies you often get sent down a rabbit hole. One click opt out would be good, or a phone setting even better.
",Uncertain,5,"Like the previous question it is hard to answer this in the abstract. yes, there are probably some regs that would have benefits>costs but how to know in advance that this will be true. "
Udry,Christopher,Strongly Agree,7,"When's  the last time you read the ""terms and conditions"" when you installed software?",Agree,7,"Creating the regulations will be hard, and there is not a lot of convincing evidence on some of the potential harms, but there are some that are serious,  well-documented and with unclear legal frameworks. "
Werning,Ivan,Uncertain,6,"Privacy its breaches are an important issue (and do involve some externalities, e.g. if I provide my friends on a social network) and competitive issues (price discrimination). Less obvious though what the right solution is that does not introduce too much friction in the market.",Agree,8,"A market full of externalities via social interactions and evidence of negative effects justifies some thoughtful regulation, especially for non adults to help parents."
