Last Name,First Name,The economic and financial sanctions against Russia are substantially limiting its ability to wage war on Ukraine.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,"In the absence of continuing flows of Western economic aid, Ukraine's wartime economy will be substantially compromised.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Acemoglu,Daron,Agree,3,"""Substantially"" is not immediate, but the sanctions have certainly made building, maintaining and manning the Russian war machine more difficult.",Agree,3,
Aguiar,Mark,Agree,5,,Strongly Agree,9,
Altonji,Joseph,Did Not Answer,,,Did Not Answer,,
Auerbach,Alan,Disagree,3,,Strongly Agree,7,
Autor,David,Uncertain,4,"I'm sure the sanctions matter. But I don't whether or not the magnitude reaches the ""substantial"" level. ",Strongly Agree,8,Two years of military siege by one of the world's three military superpowers can be tough on an economy
Banerjee,Abhijit,Agree,4,,Agree,4,
Bertrand,Marianne,Agree,2,,Strongly Agree,8,
Brunnermeier,Markus,Uncertain,7,,Strongly Agree,7,
Chevalier,Judith,Agree,6,,Strongly Agree,8,
Cutler,David,Agree,4,,Agree,6,
Duffie,Darrell,Uncertain,4,"There is no obvious substantial adverse impact of sanctions on Russia's military capabilities. They have enough funds and materiel for this war. The incentive to bring the war to a stop is increased significantly by sanctions, but that doesn't seem to be enough to stop the war.",Strongly Agree,6,"From public reporting, Ukraine's economy is substantially dependent on foreign aid. The question refers to the ""wartime"" economy. Assuming that includes the economic ability to conduct war, the answer is even more clear."
Edlin,Aaron,Did Not Answer,,,Did Not Answer,,
Eichengreen,Barry,Agree,3,,Strongly Agree,10,
Einav,Liran,Uncertain,1,,Agree,1,
Fair,Ray,Disagree,5,,Agree,5,
Glaeser,Edward,Agree,3,"I am far more uncertain about the efficacy of the sanctions, than I am about the sanctions themselves.   The sanctions would be justifiable even if they are primarily symbols of outrage..",Strongly Agree,8,"The mismatch in resources between Ukraine and Russia, and the extent of current destruction, implies to me that ending aid would lead to enormous pain and hardship. "
Goldberg,Pinelopi,Disagree,7,The war is still going on....,Agree,6,
Greenstone,Michael,Agree,2,,Agree,6,
Hart,Oliver,Uncertain,5,,Agree,7,
Holmström,Bengt,Disagree,5,Has strengthen ties and support from non-Western countries,Strongly Agree,5,
Hoxby,Caroline,Disagree,10,,Strongly Agree,10,
Hoynes,Hilary,No Opinion,,,No Opinion,,
Hurst,Erik,Disagree,6,,Agree,7,
Judd,Kenneth,Strongly Agree,8,"Imagine what Putin could do if he had free access to energy markets for his oil and natural gas, and freely able to buy weapons and their components? I wish they were more effective but they certainly have put limits on Russian war efforts.",Strongly Agree,10,"Of course, the Ukrainian economy would collapse without our help. Remember WWII. Even Stalin, Khrushchev and Zhukov admitted that they would not have beaten the Germans without US aid."
Kaplan,Steven,Disagree,5,Russia seems to be winning a war of attrition despite sanctions.,Uncertain,3,
Kashyap,Anil,Uncertain,3,,Agree,5,
Klenow,Pete,Uncertain,1,,Strongly Agree,5,
Levin,Jonathan,Agree,3,,Agree,3,
Maskin,Eric,Agree,4,,Agree,6,
Nordhaus,William,Did Not Answer,,,Did Not Answer,,
Obstfeld,Maurice,Uncertain,4,,Strongly Agree,6,
Pathak,Parag,Agree,3,"Sanctions have limited the ability to wage war, but not substantially because of the involvement of other countries, most notably India and China.",Agree,3,
Samuelson,Larry,Uncertain,1,"Russia still appears able to bring significant resources to the war, and it is difficult to know what differences we would have seen in the absence of sanctions.",Strongly Agree,8,It is difficult to imagine the Ukraine continuing an effective resistance without continued aid.
Scheinkman,José,Disagree,5,Sanctions are damaging the Russian economy but probably not enough to substantially limit Russia's war capacity in the short run. ,Strongly Agree,6,
Schmalensee,Richard,Disagree,3,Not much visible evidence for this proposition.,Strongly Agree,8,
Scott Morton,Fiona,Agree,5,"Some critical goods are blocked, other sanctions do not stop flows, but raise the cost of trade and commerce , lowering net gains to Russia.",Strongly Agree,9,Ukraine is small compared to Russia and therefore needs external aid.
Shapiro,Carl,Agree,6,,Strongly Agree,7,
Shimer,Robert,Disagree,5,,Agree,7,
Stantcheva,Stefanie,No Opinion,,Lack of expertise on this issue,Agree,2,
Stock,James,Did Not Answer,,,Did Not Answer,,
Stokey,Nancy,Agree,7,"Still true, although the effects of the sanctions have been declining gradually over the last year, as Russia has discovered and cultivated work-arounds that reduce the impact of the sanctions. For example, oil is exported in “ghost” ships with transfers at sea.",Strongly Agree,9,"True.  I take “Western” to mean NATO countries plus their allies. Ukraine is much smaller than Russia in terms of both manpower and material resources. Ukraine has a technological edge, and it is the defender while Russia is the aggressor, but fighting a war against Russia alone "
Syverson,Chad,Agree,6,"Russian gov't revenues have been affected by oil price cap, and sanctions have made it harder to obtain certain parts important for military industrial production. Though it seems they are increasingly finding ways around the latter.",Agree,7,
Thaler,Richard,No Opinion,,,Strongly Agree,3,
Udry,Christopher,Uncertain,1,,Strongly Agree,5,
Werning,Ivan,Agree,6,"Sanctions have a direct effect on Russian economy and a more indirect effect on military capacity. Over time, resilient domestic political power and help from China and others have lessened the impact on military capacity. Yet sanctions likely still have a non zero effect.",Strongly Agree,8,
