Last Name,First Name,The termination of the Federal Economic Statistics Advisory Council and shrinking staff at the core US statistical agencies will lead to a substantial reduction in the reliability of government economic data.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,The quality of economic policy-making will be substantially impaired by reduced funding for the core US statistical agencies.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,The ability of businesses to forecast and plan will be substantially impaired by lower quality economic data.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Acemoglu,Daron,Agree,5,,Agree,5,,Agree,4,
Aguiar,Mark,Strongly Agree,9,,Strongly Agree,7,,Strongly Agree,8,
Altonji,Joseph,Agree,6,"The statistical agencies have had tight budgets for years, and have managed to do more with less through innovation. Large cuts, given current funding, will cut bone and muscle, not fat",Agree,6,,Agree,6,
Auerbach,Alan,Agree,7,,Agree,7,,Agree,7,
Autor,David,Strongly Agree,10,"Collecting reliable statistical information is a difficult, apolitical enterprise. There are no benefits to banishing expertise (and inserting political hacks)",Strongly Agree,10,Faith-based policy-making has a poor track record. ,Strongly Agree,10,We have modern empirical evidence on this point.
Banerjee,Abhijit,Strongly Agree,6,,Agree,6,,Uncertain,4,
Bergemann,Dirk,Strongly Agree,9,,Strongly Agree,9,,Strongly Agree,9,
Bertrand,Marianne,Strongly Agree,8,,Strongly Agree,10,,Strongly Agree,10,
Brunnermeier,Markus,Strongly Agree,5,,Strongly Agree,5,,Agree,5,
Chevalier,Judith,Strongly Agree,9,Especially in the long run for adapting to new situations.,Agree,6,"If policymakers were planning to ignore data, I suppose the lack of reliable data per se will not be the problem. ",Agree,9,I would also expect investments in costly private sector data gathering.
Cutler,David,Strongly Agree,10,,Strongly Agree,10,,Strongly Agree,10,
Duffie,Darrell,Agree,3,,Agree,3,,Agree,3,
Edlin,Aaron,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Eichengreen,Barry,Agree,5,,Agree,5,,Agree,5,
Einav,Liran,Agree,1,,Agree,1,,Uncertain,1,
Fair,Ray,Agree,5,,Agree,5,,Agree,5,
Glaeser,Edward,Strongly Agree,9,,Strongly Agree,9,,Agree,8,
Goldberg,Pinelopi,Agree,8,"I've served on FESAC for several years. The US can do without FESAC, but the staff of the statistical agencies in indespensable.",Agree,7,,Uncertain,8,Many (but not all) businesses produce their own statitistcs.
Greenstone,Michael,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,
Hart,Oliver,Agree,7,,Agree,7,,Agree,7,
Holmström,Bengt,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Hoxby,Caroline,Strongly Agree,10,,Strongly Agree,10,,Strongly Agree,10,
Hoynes,Hilary,Agree,8,Perhaps not immediately but in the long run. ,Strongly Agree,10,Quality federal statistics are a necessary ingredient to sound policy making. ,Strongly Agree,8,
Hurst,Erik,Strongly Agree,9,"To make good policy, data is needed to understand how the economy is currently performing and to examine potential key economic variables that are changing.  The data is a public good and is not otherwise provided by the private sector.",Strongly Agree,10,,Agree,8,
Judd,Kenneth,Strongly Agree,10,"Getting data is not cheap. Should do more, not less.",Strongly Agree,10,Facts are useful. ,Agree,6,This depends on how much businesses rely on government data.
Kaplan,Steven,Uncertain,2,Two reasons for uncertainty.  AI will make data collection much more efficient.  Private sector much better at data collection now.,Disagree,3,Lots of data alternatives.  Not sure how much policymaking relies on short-term government data.,Uncertain,4,
Kashyap,Anil,Strongly Agree,9,,Strongly Agree,7,,Agree,5,
Klenow,Pete,Agree,5,,Agree,5,,Agree,5,
Levin,Jonathan,Uncertain,4,  ,Agree,4,"Accurate federal statistics are important for policy, the private sector, and the public. If statistical quality declines, it will be have real costs. ",Agree,4,
Maskin,Eric,Agree,6,,Agree,6,,Agree,6,
Nordhaus,William,Uncertain,9,Bad question. Two completely different scenarios,Strongly Agree,10,,Strongly Agree,9,
Obstfeld,Maurice,Strongly Agree,8,,Strongly Agree,8,,Strongly Agree,8,
Pathak,Parag,Strongly Agree,7,,Agree,6,,Agree,4,
Samuelson,Larry,Agree,10,,Agree,8,It is difficult to imagine making effective policy blindly.,Agree,8,
Scheinkman,José,Strongly Agree,8,"It will also make it easier to fudge official statistics. (see Kirchner, Cristina)   ",Agree,8,,Strongly Agree,8,
Schmalensee,Richard,Strongly Agree,8,,Strongly Agree,8,,Strongly Agree,8,
Scott Morton,Fiona,Strongly Agree,10,,Strongly Agree,10,,Strongly Agree,10,
Shapiro,Carl,Strongly Agree,10,,Strongly Agree,10,,Agree,8,
Shimer,Robert,Agree,5,,Strongly Agree,10,,Strongly Agree,10,
Stantcheva,Stefanie,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Stock,James,Agree,4,Most likely is a slow degradation over time as surveys and data processing doesn't keep up with changes in the economy.,Agree,4,"Economic policy-making relies on reliable data, and again the ebb of reliability would be a long-term process.",Agree,4,
Stokey,Nancy,Uncertain,1,,Agree,1,,Agree,1,
Syverson,Chad,Strongly Agree,9,The statistical agencies do amazing work with very limited resources. The advisory committees allowed the agencies to obtain volunteer expertise in a number of different technical areas. What a loss. (I was a member of the recently disbanded Census Scientific Advisory Committee.),Strongly Agree,8,"Everyone who has ever managed anything more than a one-car parade knows that it is harder to orchestrate anything without performance feedback, and these statistics are high-quality and often have no obvious substitutes.",Strongly Agree,8,We know that businesses use these statistics all the time. That says a lot by revealed preference. They're not spending analytical resources on them for aesthetic reasons.
Thaler,Richard,Strongly Agree,3,,Agree,3,,Uncertain,1,Only hurts the ones who bother to try. 
Werning,Ivan,Strongly Agree,8,,Strongly Agree,8,,Uncertain,8,
Udry,Christopher,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
