Last Name,First Name,"Assuming that Germany eventually agrees to backstop the debt of southern European countries, the eurozone as a whole will be better off if that bailout is unconditional, rather than accompanied by the labor market reforms and future budget controls that Germany is demanding of countries in return.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,"If Germany fails to bail out the southern tier of Europe, its own economy will be hurt more — because of output and asset losses — than it would be by an unconditional bailout.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,The main reason other eurozone countries need to worry about Greek banks losing access to ECB support is because the ensuing chaos in Greece could trigger bank runs in peripheral countries.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less,,,,,,,,,,,,,,,,,,
Acemoglu,Daron,Disagree,6,,Uncertain,4,,Agree,5,,,,,,,,,,,,,,,,,,,
Alesina,Alberto,Strongly Disagree,10,The trde off has to be help from Gaermany in exchange for reforms and conditionality.,Uncertain,5,,Agree,7,,,,,,,,,,,,,,,,,,,
Altonji,Joseph,Disagree,3,,Agree,3,,Agree,2,,,,,,,,,,,,,,,,,,,
Auerbach,Alan,Disagree,7,,Disagree,5,,Agree,3,,,,,,,,,,,,,,,,,,,
Autor,David,No Opinion,,,No Opinion,,,Agree,6,,,,,,,,,,,,,,,,,,,
Baicker,Katherine,No Opinion,,,No Opinion,,,No Opinion,,,,,,,,,,,,,,,,,,,,
Bertrand,Marianne,Uncertain,1,,Uncertain,1,,Agree,1,,,,,,,,,,,,,,,,,,,
Chetty,Raj,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,,,,,,,,,,,,,,,,,,
Chevalier,Judith,Uncertain,5,"Depends on how we measure ""eurozone as a whole""
",Agree,5,,Uncertain,5,That is a reason certainly.  ,,,,,,,,,,,,,,,,,,
Currie,Janet,Uncertain,2,,Uncertain,1,,Agree,5,,,,,,,,,,,,,,,,,,,
Cutler,David,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,,,,,,,,,,,,,,,,,,
Deaton,Angus,Agree,5,Too many other contingencies unspecified to be sure. Details matter. As does democracy.,Agree,4,,Strongly Agree,7,,,,,,,,,,,,,,,,,,,
Duffie,Darrell,Disagree,3,,Agree,3,,Strongly Agree,8,Banks runs are often triggered by self fulfulling expectations. A run in Greece could tip expectations toward a run elsewhere.,,,,,,,,,,,,,,,,,,
Edlin,Aaron,Agree,6,Longer term budget controls would be better than shorter term.,Uncertain,1,,Agree,6,"To bank runs, I would add higher interest rates and general uncertainty.",,,,,,,,,,,,,,,,,,
Eichengreen,Barry,Disagree,6,"The answer depends, in part, on how that conditionality is designed and implemented, which is not specified in the question, unfortunately.",Uncertain,6,"Unfortunately, there exist no models or evidence of the costs of collapse to Germany (economists are supposed to use models and evidence).",Agree,8,,,,,,,,,,,,,,,,,,,
Fair,Ray,Uncertain,5,,Uncertain,5,,Agree,5,,,,,,,,,,,,,,,,,,,
Goldberg,Pinelopi,Disagree,8,"Structural reforms are needed, but there is a difference between austerity as punishment and well-designed reforms.",Agree,6,Most likely. But Germany might be able to find alterntives in Asia or emerging Europe.,Agree,8,,,,,,,,,,,,,,,,,,,
Goldin,Claudia,Agree,2,Depends how unconditional,Agree,2,"Once again, a lot depends on the level of unconditionality",Agree,2,,,,,,,,,,,,,,,,,,,
Goolsbee,Austan,Uncertain,7,,Agree,7,"in te end, Germany is going to subsidize to keep it together or else it's going to come apart.",Strongly Agree,6,,,,,,,,,,,,,,,,,,,
