Last Name,First Name,Randomized control trials are a valuable tool for answering some long unsettled questions in development economics research.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,Randomized control trials are a valuable tool for making significant progress in poverty reduction.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Agree,6,"RCTs like all other tools are of course useful. Each has limitations. For RCTs challenges are scalability, GE and political economy effects.",Agree,5,"Depends on what significant means. RCTs provide valuable knowledge but development is mostly about institutions, norms, politics, technology"
Alesina,Alberto,Did Not Answer,,,Did Not Answer,,
Altonji,Joseph,Strongly Agree,9,,Strongly Agree,9,
Auerbach,Alan,Strongly Agree,7,,Uncertain,3,
Autor,David,Strongly Agree,10,,Strongly Agree,10,Significant does NOT mean that RCTs will get us all the way there. But they are indispensable in this effort. 
Baicker,Katherine,Strongly Agree,3,,Strongly Agree,3,
Banerjee,Abhijit,Did Not Answer,,,Did Not Answer,,
Bertrand,Marianne,Strongly Agree,5,,Strongly Agree,8,
Brunnermeier,Markus,Agree,5, It should be one tool out of many useful tools. E.g. China’s large poverty reduction was mostly due to industrial policy. ,Agree,6,
Chetty,Raj,Strongly Agree,8,,Strongly Agree,8,
Chevalier,Judith,Strongly Agree,6,,Agree,6,
Cutler,David,Strongly Agree,4,,Strongly Agree,8,
Deaton,Angus,Agree,7,,Strongly Disagree,9,
Duffie,Darrell,Strongly Agree,2,,Agree,1,
Edlin,Aaron,Agree,6,,Agree,8,
Eichengreen,Barry,Strongly Agree,5,,Agree,5,
Einav,Liran,Strongly Agree,5,,Strongly Agree,5,
Fair,Ray,Agree,1,,Agree,1,
Finkelstein,Amy,Strongly Agree,9,,Strongly Agree,9,
Goolsbee,Austan,Strongly Agree,10,,Strongly Agree,9,
Greenstone,Michael,Strongly Agree,10,,Strongly Agree,8,
Hall,Robert,Did Not Answer,,,Did Not Answer,,
Hart,Oliver,Strongly Agree,8,,Agree,7,
Holmström,Bengt,Strongly Agree,10,,Strongly Agree,8,
Hoxby,Caroline,Agree,8,"RCTs are helpful for answering a variety of partial equilibrium questions, though of course not helpful for all questions.",Agree,6,
Hoynes,Hilary,Strongly Agree,10,,Agree,8,
Judd,Kenneth,Agree,7,"Well-constructed experiments are  informative. However, one must avoid excessive generalization and extrapolation.",Agree,7,Policies for reducing poverty must be based on a long-run perspective. Experiments that also have a long-run focus can be valuable.
Kaplan,Steven,Agree,7,,Uncertain,1,
Kashyap,Anil,Strongly Agree,9,,Agree,1,"External validity is complicated and as part of a confirmation process this can help, in isolation, much less clear."
Klenow,Pete,Strongly Agree,7,,Strongly Agree,7,
Levin,Jonathan,Strongly Agree,4,,Agree,3,
Maskin,Eric,Agree,8,,Agree,7,
Nordhaus,William,Strongly Agree,5,,Uncertain,3,
Obstfeld,Maurice,Strongly Agree,7,,Agree,7,
Saez,Emmanuel,Agree,8,,Agree,9,
Samuelson,Larry,Strongly Agree,8,"Other tools are valuable as well, but RCTs are an important part of a balanced methodological arsenal.",Agree,8,"The link from research to effective policy is difficult, no matter what research method, but RCTs can usefully contribute to this link."
Scheinkman,José,Agree,7,,Agree,7,
Schmalensee,Richard,Strongly Agree,7,,Uncertain,6,
Shapiro,Carl,Agree,8,,Agree,8,
Shimer,Robert,Agree,8,,Uncertain,1,
Stock,James,Strongly Agree,8,"This is a revolution in economics that has been tremendously important - not applicable everywhere but where it is, it can be definitive",Agree,8,"My only caveat is that RCTs can solve some problems but not others, they are a key element of a larger suite of methods."
Thaler,Richard,Strongly Agree,5,,Agree,5,
Udry,Christopher,Strongly Agree,10,I'm not a disinterested bystander...,Strongly Agree,10,A tool; obviously not the only tool.
