Last Name,First Name,US export controls on advanced semiconductor technology and equipment will contribute substantially to maintaining US technological dominance in the industry over the next ten years.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,US export controls on advanced semiconductor technology and equipment will substantially raise China's presence in the industry over the next ten years.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,"In ten years, historians will judge that the US’s current use of sanctions, export restrictions and tariffs in critical sectors substantially improved the median American citizen’s welfare.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Acemoglu,Daron,Uncertain,4,,Uncertain,4,,Uncertain,3,
Aguiar,Mark,Uncertain,3,,Agree,3,,Disagree,3,
Altonji,Joseph,Uncertain,2,,Uncertain,2,,Disagree,3,
Auerbach,Alan,Uncertain,3,,Uncertain,3,,Disagree,5,
Autor,David,Agree,8,The key restriction is not the sale of chips per se but on EDA (Electronic Design Automation) software and the photolithography equipment manufactured by ASML. ,Strongly Agree,10,"This has already begun and there's no turning back. China's new restrictions on Nvidia chips demonstrate that China has firmly decided to break free of U.S. technology dependency. China will pay a steep cost in the short run, harvest a huge strategic asset in the longer run. ",Disagree,8,"How could anyone ever be certain of such a thing, even ex post? The counterfactual will be unknowable."
Banerjee,Abhijit,Uncertain,6,,Agree,6,,Uncertain,5,
Bergemann,Dirk,Uncertain,6,,Agree,7,,Strongly Disagree,8,
Bertrand,Marianne,Uncertain,3,,Agree,10,,Disagree,6,
Brunnermeier,Markus,Agree,4,It needs to be done cleverly and the relationship is likely to be U-shaped. ,Agree,4,,Uncertain,4,Counterfactual scenario will be very difficult to evaluate. 
Chevalier,Judith,Uncertain,8,,Agree,3,,Disagree,4,Seems challenging for other effects to overwhelm price effects for the median person. 
Cutler,David,Agree,5,,Uncertain,4,,Agree,4,
Duffie,Darrell,Uncertain,2,,Agree,2,China's incentive to develop and produce is increased by US export controls.,Uncertain,2,The impact on welfare via US prosperity is probably negative and the impact on welfare via national security is presumably positive.. I'm uncertain  of the net welfare effect.
Edlin,Aaron,Uncertain,5,"Export controls increase the cost to China of technological development and innovation, but they also increase the benefit of developing restricted technologies.  Net effects are unclear.  Consider that cheap chinese exports decimated American certain American industries.",Uncertain,5,"Its a plausible theory, but effects are unknown.  ",Disagree,6,"We will never know the counterfactual and whether today's policies increase or decrease welfare, but I doubt American prosperity will look rosier in 10 years than today and prompt people to laud today's policies.  "
Eichengreen,Barry,Disagree,5,,Agree,5,,Disagree,5,
Einav,Liran,Uncertain,1,,Agree,1,,Disagree,1,
Fair,Ray,Disagree,5,,Uncertain,5,,Disagree,5,
Glaeser,Edward,Agree,3,,Uncertain,3,,Disagree,6,
Goldberg,Pinelopi,Agree,8,"I used to be skeptical, but my own work on semiconductors has convinced me that past US export controls and restrictions on Chinese investments  have been successful in slowing down China.",Uncertain,8,"See previous question. China may end up dominating the industry, but this will be DESPITE the export controls, not because of them.",Disagree,8,Slowing down China or maintaining US dominance in semiconductors has little to do with the welfare of the median citizen.
Greenstone,Michael,Uncertain,4,,Agree,4,,Disagree,3,"higher prices will harm consumers.  whether they have beneficial effects for the ""median American citizen's welfare"" in other ways (e.g., higher wages) is very uncertain"
Hart,Oliver,Uncertain,5,,Agree,6,,Disagree,7,
Hoxby,Caroline,Uncertain,2,,Uncertain,2,,Disagree,10,
Hoynes,Hilary,No Opinion,,,No Opinion,,,No Opinion,,
Hurst,Erik,Disagree,7,,Uncertain,6,,Disagree,9,
Judd,Kenneth,Uncertain,8,Well-targeted controls may succeed but I doubt that the controls enacted will be based on what is good for the country.,Agree,5,"US controls will create opportunities for all potential competitors, not just China.",Disagree,8,
Kaplan,Steven,Disagree,7,Technology wants to be free.  Did not work for theUK in the 18th and 19th centuries.,Uncertain,3,China will invest one way or another.  Not clear what the additional effect is here.,Disagree,7,
