Last Name,First Name,"Prior to the crisis, the benefits from the funding advantage that Fannie Mae and Freddie Mac had by virtue of perceived government support mostly went to their shareholders, rather than into substantially lower interest rates on residential mortgages.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Uncertain,4,Difficult to know how gains from subsidies were distributed between shareholders and mortgage-holders pre-crisis given implicit risks.
Alesina,Alberto,Agree,5,
Altonji,Joseph,Uncertain,1,
Auerbach,Alan,No Opinion,,
Autor,David,No Opinion,,
Baicker,Katherine,No Opinion,,
Bertrand,Marianne,No Opinion,,
Chetty,Raj,No Opinion,,
Chevalier,Judith,Disagree,5,Lower rates were also a likely outcome.
Currie,Janet,Agree,6,
Cutler,David,Uncertain,5,
Deaton,Angus,Uncertain,1,
Duffie,Darrell,Agree,8,"Hard to be certain.  F and F used cheap funding to massively expand mortgage financing, so may also caused a large impact on mortgage rates."
Edlin,Aaron,Did not answer,,
Eichengreen,Barry,Uncertain,5,
Fair,Ray,Uncertain,5,
Goldberg,Pinelopi,Disagree,3,"While shareholders certainly benefited, borrowers faced lower interest rates too."
Goldin,Claudia,No Opinion,,
Goolsbee,Austan,Agree,8,research shows only small % went to borrowers. But not all went to shareholders--can't forget the rent-seeking or the emp.  compensation
Greenstone,Michael,Uncertain,6,there is evidence of a small impact on interest rates on loans. i suspect that shareholders AND managers captured some of the rents.   
Hall,Robert,Uncertain,10,"According to a leading expert, the estimates of the pass-through to borrowers vary between 1/3 and 2/3."
Holmström,Bengt,Uncertain,3,"The fact that investment firms held onto some loans, competing with Fannie and Freddie, suggests consumers didn't capture all of subsidy."
Hoxby,Caroline,Did not answer,,
Judd,Kenneth,Disagree,6,
Kashyap,Anil,Strongly Agree,9,Well documented by Greenspan in 2004!  Sadly the F & F losses was one part of the crisis that was foreseen and Congress refused to act.
Klenow,Pete,Agree,3,At least judging from mortgage rates in the U.S. vs. other OECD countries without GSEs.
Lazear,Edward,Agree,8,"Private issuers could have achieved the same effect absent F/F's govt granted advantage. Shareholders' benefits were arbitraged away, though"
Levin,Jonathan,Did not answer,,
Maskin,Eric,No Opinion,,I don't know enough about this issue to express a public opinion.
Nordhaus,William,No Opinion,,
Obstfeld,Maurice,No Opinion,,
Saez,Emmanuel,Agree,3,
Scheinkman,José,Agree,6,
Schmalensee,Richard,Agree,3,
Shin,Hyun Song,Uncertain,8,
Stock,James,Did not answer,,
Stokey,Nancy,Agree,4,
Thaler,Richard,No Opinion,,Sounds reasonable but I don't know enough to have a real opinion.
Udry,Christopher,Uncertain,1,
Zingales,Luigi,Did not answer,,
