Last Name,First Name,"Freer trade improves productive efficiency and offers consumers better choices, and in the long run these gains are much larger than any effects on employment.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,"On average, citizens of the U.S. have been better off with the North American Free Trade Agreement than they would have been if the trade rules for the U.S., Canada and Mexico prior to NAFTA had remained in place.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Agree,8,"Economists often understate short-term employment costs, which are significant and unequally distributed, but probably less than benefits. ",Agree,1,
Alesina,Alberto,Strongly Agree,10,,Strongly Agree,10,
Altonji,Joseph,Strongly Agree,9,Gains and losses are not spread evenly. Retraining programs are an important part of trade policy.,Agree,7,
Auerbach,Alan,Agree,7,,Agree,5,
Autor,David,Uncertain,8,Not sure how to compare the gains to consumers with long run effects on employment. They might both be positive!,Agree,6,NAFTA was small potatoes relative to rising China trade. My hunch is that both costs and benefits were modest. 
Baicker,Katherine,Agree,4,,Agree,3,
Bertrand,Marianne,Agree,3,,Agree,3,
Chetty,Raj,Did Not Answer,,,Did Not Answer,,
Chevalier,Judith,Strongly Agree,8,,Strongly Agree,10,
Currie,Janet,Agree,7,,Agree,5,
Cutler,David,Agree,6,Note that not everyone is better off.,Agree,6,
Deaton,Angus,Uncertain,3,,Uncertain,3,
Duffie,Darrell,Agree,3,"The ""gains"" are positive a general additive sense, but that does not avoid costs to some. ",Agree,4,"On ""average"" is an important qualifier."
Edlin,Aaron,Agree,1,Consider any tribe or group that was isolated from trade for centuries to see the long run results of autarky ,Uncertain,1,
Eichengreen,Barry,Agree,6,,Agree,6,
Fair,Ray,Strongly Agree,8,,Strongly Agree,8,
Goldberg,Pinelopi,Agree,10,"General message of trade theory. But the question is how long the ""long run"" is.",Agree,9,"See my answer to question A.  However, short- and medium-run effects of NAFTA, especially on employment and wages in the US, unclear."
Goldin,Claudia,Strongly Agree,5,,Strongly Agree,5,
Goolsbee,Austan,Did Not Answer,,,Did Not Answer,,
Greenstone,Michael,Strongly Agree,7,Trade creates tremendous benefits but causes substantial job losses  Do current policies fully compensate displaced workers?  Probably not,Strongly Agree,7,True for the average but complicated issues of social welfare functions here. better compensation for folks who do not gain might help
Hall,Robert,Strongly Agree,8,liberalization has such large long-run benefits that it can fund short-run dislocation assistance,Agree,7,Not to mention benefits to Canadians and Mexicans! We should take a global perspective.
Holmström,Bengt,Agree,8,,Agree,8,"The question is about averages. Distributional income and employment effects hard to measure, but probably significant."
Hoxby,Caroline,Strongly Agree,10,"The world's endowment is allocated more efficiently under free trade, making the avg person better off. Individuals may face adjustmt costs.",Strongly Agree,8,
Judd,Kenneth,Strongly Agree,9,,Agree,8,
Kashyap,Anil,Agree,9,"Description of the gains is right, and long run employment might be higher too.  We can try to compensate short run job losers.   ",Agree,7,
Klenow,Pete,Strongly Agree,8,Jim Feyrer has some ingenious papers finding evidence of income gains from trade.,Strongly Agree,7,
Lazear,Edward,Agree,8,Estimates used by CEA of the effect of complete free trade are as large as $500 billion per year - enormous even if off by a scalar.,Agree,7,"Although difficult to estimate, there is little evidence of negative effects of NAFTA and the positives are obvious."
Levin,Jonathan,Did Not Answer,,,Did Not Answer,,
Maskin,Eric,Agree,7,,Agree,8,
Nordhaus,William,Agree,8,,Agree,8,
Obstfeld,Maurice,Agree,8,,Agree,8,
Rouse,Cecilia,Agree,6,"I agree with the statement as worded.  There could be other, less desirable, impacts as well.",Agree,6,Such is the result of much of the empirical literature. 
Saez,Emmanuel,Agree,5,,Agree,3,
Scheinkman,José,Strongly Agree,9,Gains are sufficiently large to finance the compensation of workers in loosing sectors. ,Strongly Agree,8,This is true about the average.
Schmalensee,Richard,Strongly Agree,9,"If that's not right, almost all of economics is wrong.",Agree,6,
Shin,Hyun Song,Agree,7,,Agree,6,
Stock,James,Agree,5,,Agree,4,
Stokey,Nancy,Agree,8,"Nevertheless, there are winners and losers.  Trade does not make everybody better off, and a good policy should take this into account.",Agree,7,But the gains have probably been very small.
Thaler,Richard,Did Not Answer,,,Did Not Answer,,
Udry,Christopher,Agree,7,"This needs more nuance: most people win, and the winners gain a lot.  But there are losers from trade who have not in fact been compensated.",Agree,3,
Zingales,Luigi,Agree,6,,Strongly Agree,6,The key word is on average: there are large distributional effects. 
