Last Name,First Name,"Western countries have used interest earned on frozen Russian state assets to finance around $50 billion in loans to the government of Ukraine. There have also been calls to seize the assets in full, currently estimated at around $300 billion.

Seizing frozen Russian state assets and using them to support Ukraine’s defense, economy and reconstruction would substantially accelerate the ending of the war.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,"Seizing frozen Russian state assets and using them to support Ukraine’s defense, economy and reconstruction would, by reducing the burden on Western taxpayers, substantially increase Western voters’ political approval for supporting Ukraine.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,"Seizing frozen Russian state assets and using them to support Ukraine’s defense, economy and reconstruction would substantially reduce investment in assets denominated in Western currencies and/or increase the likelihood of another country seizing Western sovereign assets in a future conflict.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Acemoglu,Daron,Uncertain,2,It is very difficult to foresee at this point whether relative Russian weakness would expedite or delay an end to the war.,Agree,3,,Uncertain,2,
Aguiar,Mark,Uncertain,3,,Agree,3,,Agree,8,
Altonji,Joseph,Uncertain,2,,Agree,1,,Uncertain,1,
Auerbach,Alan,Agree,3,,Agree,5,,Agree,5,
Autor,David,Uncertain,5,,Agree,8,,Uncertain,1,
Banerjee,Abhijit,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Bergemann,Dirk,Strongly Agree,9,,Strongly Agree,9,,Uncertain,6,
Bertrand,Marianne,Agree,3,,Agree,3,,Disagree,3,
Brunnermeier,Markus,Agree,4,,Uncertain,6,,Uncertain,6,
Chevalier,Judith,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Cutler,David,Uncertain,1,,Strongly Agree,4,,Disagree,4,
Duffie,Darrell,Uncertain,2,,Uncertain,2,,Agree,8,
Edlin,Aaron,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Eichengreen,Barry,Uncertain,5,,Disagree,5,,Uncertain,5,
Einav,Liran,No Opinion,,,No Opinion,,,No Opinion,,
Fair,Ray,Disagree,5,,Disagree,5,,Disagree,5,
Glaeser,Edward,Uncertain,5,,Agree,6,,Disagree,6,
Goldberg,Pinelopi,Disagree,5,,Uncertain,5,,Uncertain,5,
Greenstone,Michael,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Hart,Oliver,Agree,6,,Agree,6,,Disagree,6,
Holmström,Bengt,Uncertain,4,It will cause some pain but hardly dent the Rusdian resolve,Agree,4,,Uncertain,3,
Hoxby,Caroline,Strongly Agree,10,,Agree,10,,Disagree,3,
Hoynes,Hilary,No Opinion,,,No Opinion,,,No Opinion,,
Hurst,Erik,Uncertain,1,,Uncertain,1,,Uncertain,1,
Judd,Kenneth,Agree,5,It is difficult to be confident about any such conjecture.,Agree,7,,Disagree,6,"If the West was united on this issue then there would be little impact. Seizure of Western assets is always a risk. For example, Libya seized oil assets."
Kaplan,Steven,Uncertain,2,,Agree,4,,Disagree,3,
Kashyap,Anil,Uncertain,5,obviously if it is all put into reconstruction that won't accelerate the end.  So it depends how much is taken and how it is split ,Uncertain,5,I have no idea how much the cost of the war influences public support and again depends how much is seized,Agree,3,this will be an uncomfortable precedent
Klenow,Pete,Uncertain,1,,Uncertain,1,,Uncertain,1,
Levin,Jonathan,Uncertain,3,,Disagree,5,,Agree,4,
Maskin,Eric,Uncertain,3,"Seizing the assets would probably help the war effort, but hard to say whether the effect would be ""substantial""",Agree,4,Cost has been a major factor in inhibiting support for the war.,Agree,4,
Nordhaus,William,Agree,2,,Agree,7,,Uncertain,5,
Obstfeld,Maurice,Uncertain,4,Using the interest as long as the war lasts is effectively not that different from seizure. Seizure may motivate western governments to reduce their contributions.,Disagree,4,,Uncertain,4,
Pathak,Parag,Uncertain,1,,Uncertain,2,,Uncertain,3,
Samuelson,Larry,Uncertain,1,"There are obstacles to support for the Ukraine, such as refusing some weapons for fear of escalation, reluctance of nearby countries to lend support, political animus in the US, and so it is not clear that a new source of funds would be definitive.",Uncertain,1,Support for the Ukraine is a small part of the US government or defense budget; the reluctance appears to be more than just financial.,Disagree,4,"This conflict is sufficiently outside the ordinary that one would hope seizing Russian assets would have no affect on ordinary countries, while rogue nations will need not excuse should they be tempted to seize assets."
Scheinkman,José,No Opinion,,,Uncertain,1,,No Opinion,,
Schmalensee,Richard,Disagree,5,,Uncertain,5,,Disagree,3,
Scott Morton,Fiona,Strongly Agree,8,,Agree,9,,Uncertain,6,
Shapiro,Carl,Uncertain,8,,Uncertain,2,,Agree,4,
Shimer,Robert,Uncertain,1,,Agree,5,,Agree,7,
Stantcheva,Stefanie,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Stokey,Nancy,Agree,2,,Agree,2,,Uncertain,1,
Syverson,Chad,Agree,7,,Disagree,6,,Uncertain,8,
Thaler,Richard,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Udry,Christopher,Agree,1,Very uncertain; the mechanism would be through lowering the politcal cost of supporting Ukraine. ,Agree,1,,Agree,1,
Werning,Ivan,Uncertain,3,,Agree,5,,Uncertain,5,"I think it may have an effect, but I'm not sure it would be substantial, given the small ex ante likelihood and the alternative investment opportunities."
Stock,James,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
