Last Name,First Name,The release of strategic oil reserves announced by the International Energy Agency will deliver substantially lower US gasoline prices at the pump over the next six months than would otherwise have been the case.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,"Assuming that world oil prices over the next six months continue to be elevated and volatile, temporarily suspending the federal gasoline tax would deliver substantially lower gas prices at the pump than otherwise over that period.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,A temporary cap on US gasoline prices would substantially lower prices at the pump over the next six months without creating scarcity.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Acemoglu,Daron,Uncertain,3,,Agree,3,But that doesn't mean that this is necessarily good policy.,Disagree,3,It would most likely need to be accompanied with some rationing
Aguiar,Mark,Disagree,5,,Disagree,7,,Strongly Disagree,8,
Altonji,Joseph,Disagree,4,,Agree,6,,Disagree,4,
Auerbach,Alan,Disagree,3,,Disagree,7,,Strongly Disagree,9,
Autor,David,Agree,5,,Strongly Disagree,10,Not substantially. The tax is $0.18 per gallon. That's about 5% of the current price. That's not substantial. And this assumes generously that all of the incidence goes to the consumer. ,Strongly Disagree,10,"As before, the upper bound reduction is 5% of the price. This cannot be very consequential even in the best case scenario. "
Banerjee,Abhijit,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Bergemann,Dirk,Disagree,7,,Agree,8,,Strongly Disagree,8,
Bertrand,Marianne,Uncertain,1,,Disagree,2,,Uncertain,2,
Brunnermeier,Markus,Agree,7,,Uncertain,6,,Strongly Disagree,7,
Chevalier,Judith,Disagree,6,,Uncertain,6,Magnitude of tax is 18 cents per gallon so measurable.,Disagree,8,
Cutler,David,Uncertain,5,,Agree,5,,Disagree,5,
Duffie,Darrell,Disagree,5,"Substantial over one month, yes. But for six months, no. Normal daily Hormuz flow, about 20 m per day, is far more than 400 m/180 days.  Moreover, ""disagree"" would also be right if one thinks Hormuz will open within, say, one month. Furthermore, other sources will come on line.",Agree,8,"Even if the price is not elevated, ditching the 18 cent-per-gallon gas tax lowers the price by about 18 cents, assuming the GE effect is small, which seems right. So, this just comes down to whether 18 cents is ""substantial"". I guess so, but that's just me. ",Disagree,6,"Depends of course on the cap. If it's barely binding, the effect is small. I'm assuming the government would make it big enough to matter. So, scarcity is expected. "
Edlin,Aaron,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Eichengreen,Barry,Disagree,5,Over the next six months?,Disagree,5,Small potatoes.,Disagree,5,Without creating scarcity?
Einav,Liran,Agree,1,,Agree,1,,Uncertain,1,
Fair,Ray,Agree,5,,Agree,5,,Disagree,5,
Glaeser,Edward,Uncertain,2,,Agree,4,,Strongly Disagree,8,
Goldberg,Pinelopi,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Greenstone,Michael,Strongly Disagree,7,,Agree,8,,Disagree,4,
Hart,Oliver,Disagree,7,,Disagree,7,,Disagree,7,
Hoxby,Caroline,Disagree,10,,Agree,2,"A classic tax incidence question. Literature on incidence of(relatively stable) federal gas tax indicates burden is divided between wholesalers & consumers. However, temporary gas tax suspensions (which rely on state, not fed, var'n) have different incidence. So low confidence.",Strongly Disagree,10,
Hoynes,Hilary,Uncertain,6,,Disagree,8,,Disagree,8,
Hurst,Erik,Disagree,1,,Disagree,8,Federal gas taxes are relatively small.  A suspension may decrease gas prices by about 10-15 cents/gallon,Strongly Disagree,10,
Judd,Kenneth,Disagree,7,"These reserves can help avoid short-term spikes in oil prices. If Trump's war causes major oil price hikes over the next six months, those reserves won't help much.",Strongly Disagree,8,The Federal gas tax is less than 19 cents/gallon. Suspending it cannot cancel even the increase in the last two weeks.,Strongly Disagree,10,
Kaplan,Steven,Uncertain,1,,Uncertain,1,,Strongly Disagree,9,Price caps never work.
Kashyap,Anil,Agree,5,"until it runs out, if the turmoil lasts all the way through the summer.   ",Strongly Agree,10,"This is mechanical, not an endorsement of the idea",Uncertain,5,"details will matter, a poorly designed policy could lead to scarcity"
Klenow,Pete,Disagree,3,SPR releases will be modest relative to the ~100 million barrels/day global market,Disagree,3,The federal gas tax is only 18.4 cents/gallon,Strongly Disagree,3,
Levin,Jonathan,Uncertain,5,,Agree,4,,Disagree,4,
Maskin,Eric,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
