Last Name,First Name,The median Greek citizen will be better off if there is a “yes” vote in the July 5 referendum on whether to accept the terms of the bailout package offered by Greece's creditors. ,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Agree,3,"Greece may be better off without, the euro but political risks, especially with current government, would be great, so a no is very risky"
Alesina,Alberto,Agree,9,
Altonji,Joseph,Agree,3,
Auerbach,Alan,Agree,5,
Autor,David,No Opinion,,
Baicker,Katherine,Did Not Answer,,
Banerjee,Abhijit,Disagree,7,I think that a exchange rate change may generate a more sustainable direction for the greek economy
Bertrand,Marianne,Uncertain,1,
Brunnermeier,Markus,Did Not Answer,,
Chetty,Raj,Did Not Answer,,
Chevalier,Judith,Agree,2,Not my area but I have found Meghir and Kashyap persuasive on this. 
Cutler,David,No Opinion,,
Deaton,Angus,Uncertain,10,
Duffie,Darrell,Uncertain,8,YES (lowering the chance of a needed devaluation) and NO (greater economic chaos and less structural reform) are both very bad for Greeks.  
Edlin,Aaron,Uncertain,6,
Eichengreen,Barry,Uncertain,10,In fact package is no longer on offer.  A yes however creates hope of negotiating a better package w debt relief. No opens the door to chaos
Einav,Liran,Agree,4,
Fair,Ray,Disagree,5,
Finkelstein,Amy,Disagree,4,
Goldberg,Pinelopi,Uncertain,8,"There are so many possible scenarios in either case of a ""yes"" or ""no"" vote, no one has any idea of what can happen."
Goolsbee,Austan,Disagree,5,Lather. Rinse. Repeat.
Greenstone,Michael,Uncertain,3,
Hall,Robert,Agree,3,Even better would be an immediate debt writeoff coupled with a new relation to the eurosystem that blocked further access to credit.
Hart,Oliver,Uncertain,5,Yes means more of the same for Greece. No means a very uncertain  future. But the Euro was a bad idea and should end as soon as possible. 
Holmström,Bengt,Agree,7,
Hoxby,Caroline,Disagree,7,
Hoynes,Hilary,Uncertain,8,
Judd,Kenneth,Agree,7,
Kaplan,Steven,Disagree,5,
Kashyap,Anil,Agree,5,Neither option is great.  see my blog post for more complete analysis 
Klenow,Pete,Agree,2,
Levin,Jonathan,Uncertain,4,
Maskin,Eric,Uncertain,5,"The bailout package means austerity---which is bad for the median citizen. But the uncertainty from a ""no"" vote could be worse."
Nordhaus,William,Agree,3,"Hard to know because involves primarily whether current incompetent government will survive, and whether new one can do better."
Saez,Emmanuel,Uncertain,5,
Samuelson,Larry,Agree,5,"Voting no as a bargaining chip is not promising.  There should be mutual gains from keeping Greece in the euro, if the will can be found."
Scheinkman,José,Agree,8,"No good choice. If Yes Greece left with unsustainable debt burden. If No, Greece left with Tsipras-Varoufakis and possibly unplanned Grexit."
Schmalensee,Richard,Agree,3,"More likely than not, I think, but far from certain."
Shapiro,Carl,Did Not Answer,,
Shimer,Robert,Strongly Agree,8,"A yes vote leads Greece down a painful path. A no vote will lead down a much worse one, likely Grexit, legal battles, isolation, etc."
Thaler,Richard,Uncertain,1,"Both options are completely unspecified, and neither looks attractive.  Both sides could use some negotiations training."
Udry,Christopher,Uncertain,7,
