Last Name,First Name,"If the US significantly lowers the number of H-1B visas now, expected US tax revenues will rise materially over the next four years.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,"If the US significantly lowers the number of H-1B visas now, employment for American workers will rise materially over the next four years.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,Reindex
Acemoglu,Daron,Strongly Disagree,9,Basic economic theory. Cheaper factor expands output. Revenues increase not decrease.,Disagree,5,The evidence is not clear. But no support for a strong effect.,
Alesina,Alberto,Did Not Answer,,,Did Not Answer,,,
Altonji,Joseph,Strongly Disagree,8,,Strongly Disagree,8,,
Auerbach,Alan,Strongly Disagree,7,,Strongly Disagree,7,,
Autor,David,Strongly Disagree,7,H1B workers are mostly high-paid employees at profitable firms. Cutting H1Bs will reduce profits and total wage payments and therefore taxes,Strongly Disagree,7,H1Bs may slightly depress wages for high-skill workers. But they don't lower total jobs and they likely raise total profits and wages.,
Baicker,Katherine,Disagree,2,,Disagree,2,,
Banerjee,Abhijit,Strongly Disagree,7,,Uncertain,6,,
Bertrand,Marianne,Strongly Disagree,6,,Strongly Disagree,6,,
Brunnermeier,Markus,Disagree,7,,Strongly Disagree,6,"Immigrants have founded so many start-up companies, including Google, Tesla, ... ",
Chetty,Raj,Did Not Answer,,,Did Not Answer,,,
Chevalier,Judith,Disagree,9,It is hard to see any mechanism by which this occurs. ,Disagree,6,H1Bs both a substitute & complement to US workers. But the substitute US workers are already nearly fully employed. ,
Cutler,David,Strongly Disagree,6,,Strongly Disagree,6,,
Deaton,Angus,Strongly Disagree,3,,Strongly Disagree,3,,
Duffie,Darrell,Disagree,3,,No Opinion,,,
Edlin,Aaron,Disagree,7,,Disagree,6,,
Eichengreen,Barry,Disagree,4,,Disagree,4,,
Einav,Liran,Uncertain,1,,Uncertain,1,,
Fair,Ray,Disagree,6,,Disagree,5,,
Finkelstein,Amy,Disagree,5,,Uncertain,1,,
Goldberg,Pinelopi,Strongly Disagree,10,,Strongly Disagree,10,,
Goolsbee,Austan,Disagree,2,"Yes, H-1b is a flawed way to bring in skiledl immigrants (gives employer control over their immigration). But repeal w/o replace is dumb. ",Disagree,3,Protectionism doesn't work,
Greenstone,Michael,Disagree,7,,Disagree,2,,
Hall,Robert,Did Not Answer,,,Did Not Answer,,,
Hart,Oliver,Disagree,6,"H-1B visa holders pay taxes and so there seems no direct effect. Wages might rise, raising taxes, but profits will fall, reducing them.",Disagree,6,"There aren't that many H-1B visas. Also skilled workers may be complementary to other workers, and so the effect could go the other way.",
Holmström,Bengt,Disagree,5,,Disagree,7,,
Hoxby,Caroline,Uncertain,10,I am confident that uncertain is correct because answer depends on general equilibrium effects that are extremely hard to identify credibly.,Uncertain,10,See above.,
Hoynes,Hilary,Disagree,6,,Disagree,6,,
Judd,Kenneth,Disagree,8,"Even if they were replaced by residents that are currently not working, there would be no net change in tax revenues.",Disagree,6,Many American workers are complementary to the H1-B workers. Net job impact is unclear.,
Kaplan,Steven,Disagree,4,"Fewer H1Bs will push U.S. cos. to hire talent outside the U.S., reducing output and tax revenue.  Effect likely modest.  Better more H1Bs.",Uncertain,7,"Direct effect, may hire some U.S. employees.  But will push other operations overseas, reducing U.S. activity.  Net effect is uncertain.",
Kashyap,Anil,Disagree,5,"some jobs (and tax revenue) likely to shift overseas for the short run, hard to see how a material increase in taxes would be possible ",Disagree,5,"eventually perhaps some americans get hired, but seems more likely that there are shortages and activity moves in the short run ",
Klenow,Pete,Strongly Disagree,10,,Disagree,7,,
Levin,Jonathan,Disagree,5,,Strongly Disagree,8,,
Maskin,Eric,Did Not Answer,,,Did Not Answer,,,
Nordhaus,William,Uncertain,1,,No Opinion,,,
Saez,Emmanuel,Strongly Disagree,7,,Disagree,4,,
Samuelson,Larry,Disagree,6,H-1B visas have such a small and indirect effect on US tax revenues that one cannot be confident of a significant increase in tax revenues.,Disagree,6,"H-1B visa holders fill positions that are hard to fill domestically for structural reasons, such as skill mismatches.",
Scheinkman,José,Strongly Disagree,8,,Uncertain,6,Some production would move out of the US because of the scarcity of skilled workers.,
Schmalensee,Richard,Strongly Disagree,8,Hard to see how making the labor force smaller could raise tax revenues.,Disagree,7,"There might be some effect, but not a material effect.",
Shapiro,Carl,Did Not Answer,,,Did Not Answer,,,
Shimer,Robert,Strongly Disagree,8,I can't imagine any argument for how restricting high skilled immigrants would increase tax revenue,Uncertain,5,I expect some jobs that are currently held by H1Bs would go to native-born workers. Many other jobs would move out of the country.,
Thaler,Richard,Disagree,8,,Uncertain,1,,
Udry,Christopher,Strongly Disagree,8,,Strongly Disagree,8,Innovative enterprises flourish with ideas and talent from around the world.,
