Last Name,First Name,The average US citizen would be better off if a larger number of highly educated foreign workers were legally allowed to immigrate to the US each year.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Strongly Agree,6,
Alesina,Alberto,Did Not Answer,,
Altonji,Joseph,Strongly Agree,10,
Auerbach,Alan,Agree,5,
Autor,David,Strongly Agree,8,
Baicker,Katherine,Agree,3,
Bertrand,Marianne,Agree,4,
Chetty,Raj,Agree,8,
Chevalier,Judith,Strongly Agree,9,See Mankiw's NY Times column for a good discussion.
Currie,Janet,Agree,3,
Cutler,David,Agree,7,
Deaton,Angus,Strongly Agree,6,
Duffie,Darrell,Strongly Agree,7,"If the supply of high-skilled labor is constrained as now, productivity is harmed and the average person pays more for goods and services."
Edlin,Aaron,Did Not Answer,,
Eichengreen,Barry,Agree,4,
Fair,Ray,Agree,5,
Goldberg,Pinelopi,Strongly Agree,1,
Goldin,Claudia,Agree,7,
Goolsbee,Austan,Strongly Agree,10,duh
Greenstone,Michael,Strongly Agree,7,
Hall,Robert,Uncertain,3,"The big issue in immigration is the families of the workers. Almost any worker is a benefit, but the other family members may be costly."
Holmström,Bengt,Strongly Agree,8,
Hoxby,Caroline,Uncertain,10,"As a matter of economics,question does not have a simple answer.There are trade-offs.Canada's immigration suggests positive overall effects."
Judd,Kenneth,Agree,4,
Kashyap,Anil,Agree,7,
Klenow,Pete,Strongly Agree,7,
Levin,Jonathan,Agree,3,"Economic growth and fiscal benefits, and wage reductions for comparable domestic workers, all seem hard to measure."
Maskin,Eric,Agree,7,
Nordhaus,William,Agree,7,
Obstfeld,Maurice,Agree,8,
Saez,Emmanuel,Agree,5,
Scheinkman,José,Agree,7,
Schmalensee,Richard,Agree,3,"Some highly educated natives would likely lose, but I expect there would be net gains overall.  Hard to be very confident, though."
Shin,Hyun Song,Agree,8,
Stokey,Nancy,Strongly Agree,10,
Thaler,Richard,Strongly Agree,8,"This is a no brainer.  You can't be serious about ""job creators"" without supporting reform here."
Udry,Christopher,Strongly Agree,7,The overall benefits of increased migration of this kind are enormous. The distribution of these benefits is less well-understood.
Zingales,Luigi,Strongly Agree,8,
