Last Name,First Name,"In the aftermath of Hurricane Ian, the level of Florida’s GDP in five years will be substantially lower than it otherwise would.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,The prospect of further costly extreme weather events means that there is a substantial chance that some private property insurance markets will no longer exist in ten years in states such as Florida.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,"Without large government subsidies, mandated flood insurance requirements would substantially reduce losses from subsequent natural disasters by encouraging economic activity to migrate from the most flood-prone areas.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Acemoglu,Daron,Uncertain,4,"Economic theory predicts that consumption and welfare should be lower, but GDP can be hired because of an investment boom to rebuild. There are several examples of this. Alternatively, of course, GDP could be lower because productive resources have been destroyed.",Uncertain,3,"Unclear. If such events become a certainty, insurance wouldn't make sense. If they become more likely but there is no adverse selection, there will be greater demand for insurance. If events are so bad that insurance companies could go bankrupt, this can prevent private insurance",Disagree,3,There is a lot of sluggishness in adjustment and coordination failures. The hope that private insurance markets work well enough and investment and migration respond optimally is just that: I hope. It may be true or more likely not.
Altonji,Joseph,Disagree,5,Loss estimates were about 60 billion. Florida state GDP in 2021 is about 1 trillion. Reconstruction will stimulate demand. ,Agree,4,,Agree,4,
Auerbach,Alan,Disagree,3,,Uncertain,3,,Agree,5,
Autor,David,Disagree,5,"Given the federal and state subsidies and the intense demand for living in Florida, I think there will an investment boomlet and rebound",Strongly Agree,6,"We already see home insurers pulling out of FL. The state is now subsidizing home owner insurance, effectively taxing all residents to support housing in non-viable places. The equilibrium of this game is elusive. ",Agree,5,Not sure what “substantially means.” This would reduce population inflows into flood prone areas by a non-zero amount
Baicker,Katherine,Uncertain,3,,Agree,3,,Agree,3,
Banerjee,Abhijit,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Bertrand,Marianne,Disagree,1,,Disagree,1,,Agree,5,
Brunnermeier,Markus,Disagree,4,Reconstruction typically boosts GDP (even though welfare may not be higher). ,Uncertain,6,,Agree,6,
Chetty,Raj,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Chevalier,Judith,Uncertain,5,"Among other things, I have uncertainty about how much aid will ultimately flow into the state. ",Uncertain,6,"I wouldn't have used the word ""state"" here.  Certainly some properties will be essentially uninsurable. ",Agree,8,
