Last Name,First Name,The supply bottlenecks that are currently contributing to rising prices can be reasonably expected to abate without causing inflation over the longer term to be above the Fed’s target.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,The current combination of US fiscal and monetary policy poses a serious risk of prolonged higher inflation.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Uncertain,3,,Uncertain,3,
Altonji,Joseph,Agree,4,,Uncertain,4,
Auerbach,Alan,Uncertain,5,,Agree,3,
Autor,David,Agree,5,"The supply bottlenecks will likely abate, but I doubt that this alone will resolve the inflation threat ",Agree,6,The Fed erred correctly on the side of labor market recovery over inflation risk. Inflation risk is now inflation reality. Recalculating...
Baicker,Katherine,Uncertain,3,,Uncertain,3,
Banerjee,Abhijit,Agree,4,,Uncertain,4,
Bertrand,Marianne,Agree,1,,Disagree,1,
Brunnermeier,Markus,Disagree,6,,Agree,6,The outcome will depend on the Fed reaction function and future fiscal policy.
Chetty,Raj,Did Not Answer,,,Did Not Answer,,
Chevalier,Judith,Uncertain,5,,Uncertain,5,
Cutler,David,Uncertain,7,,Uncertain,6,
Deaton,Angus,Agree,6,Emphasis on “reasonably.” Would not agree without it.,Agree,4,
Duffie,Darrell,Agree,8,I agree because (a) the supply-chain disruptions are not permanent and (b) the Fed will eventually act.,Agree,8,"In expectation, long-run pressures are deflationary, but there is plenty of risk around the mean path, for the stated reasons."
Edlin,Aaron,Uncertain,7,Inflation might be temporary if it’s causes are temporary. But inflation does tend to cause inflation. ,Agree,1,
Eichengreen,Barry,Agree,5,,Uncertain,5,
Einav,Liran,No Opinion,,,No Opinion,,
Fair,Ray,Disagree,5,,Agree,5,"I have a recent paper, ""What Do Price Equations Say About Future Inflation?"" which has higher inflation predictions than the Fed expects."
Finkelstein,Amy,Disagree,1,,Agree,1,
Goldberg,Pinelopi,Agree,7,,Uncertain,5,
Goolsbee,Austan,Agree,6,The steady state for a manufactured good is not shortage,Uncertain,5,
Greenstone,Michael,Uncertain,4,,Agree,4,Source of inflation is uncertain but current policy mix seems to assume too low prob that monetary/fiscal policy can make it worse
Hall,Robert,Agree,5,That is the fed’s job,Agree,4,Risk of default on debt
Hart,Oliver,Agree,6,,Disagree,5,
Holmström,Bengt,Disagree,4,My answer assumes term means over 2 years.,Agree,6,
Hoxby,Caroline,Agree,8,,Agree,10,
Hoynes,Hilary,Agree,5,,Uncertain,5,
Judd,Kenneth,Agree,6,,Uncertain,6,Inflation dropped as deficits rose in the 1980's. Increases in money did not ignite inflation after 2008.
Kaplan,Steven,Uncertain,5,,Strongly Agree,5,
Kashyap,Anil,Uncertain,10,"The inflation is here, future expectations could shift, indexing could re-emerge (see John Deere union contract), no way to be certain. ",Agree,7,
Klenow,Pete,Agree,7,"In the latest Survey of Professional Forecasters, PCE inflation is expected to average 2.3% from 2021-2030.",Agree,5,This is why markets expect the Fed to eventually tighten.
Levin,Jonathan,Agree,4,,Agree,3,
Maskin,Eric,Agree,4,,Uncertain,4,"There are indeed inflationary risks, but the infrastructure act and the BBB bill may help ease long-term inflation."
Nordhaus,William,Disagree,7,"Depends upon the wage response and expectations, as well as Fed timing.",Strongly Disagree,9,"The Fed has the tools and the will, but it may take time because of inertia coming out of years of low inflation."
Obstfeld,Maurice,Uncertain,7,,Agree,7,
Saez,Emmanuel,Agree,5,,Disagree,4,
Samuelson,Larry,Uncertain,1,"The supply bottlenecks will abate, but expectations or other adaptations to inflation may then cause inflation to persist.",Agree,6,"Our old models suggest that massive deficits eventually beget inflation.  But, this has not happened yet, so perhaps we need new models."
Scheinkman,José,Agree,5,,Uncertain,5,"Would agree, if current fed funds rate and rate of asset purchases are maintained even if inflation fails to abate, but not otherwise."
Schmalensee,Richard,Uncertain,5,"Bottlenecks can reasonably be expected to abate in the near term, but longer-term impacts on expectations are uncertain. ",Uncertain,7,"I agree that current policy is too expansionary, but the Fed is shifting, and the statement seems way too strong."
Shapiro,Carl,Agree,3,"Temporary supply constraints cannot cause long term inflation. People should indicate a time frame when they say ""long term"". ",Strongly Agree,4,
Shimer,Robert,Uncertain,5,Supply bottlenecks will abate unless new barriers are created. But current adverse supply shocks may still lead to persistent inflation.,Agree,7,We have no recent experience in an environment with unanchored inflation expectations
Stock,James,Agree,6,,Disagree,6,
Thaler,Richard,Uncertain,1,,Uncertain,1,
Udry,Christopher,Did Not Answer,,,Did Not Answer,,
