Last Name,First Name,"The institutions of society - such as constitutions, laws, judiciaries, and property rights - substantially shape economic decisions, policies, and outcomes.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,"On average and over the long term, democracies deliver substantially better economic growth than other forms of government.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,Countries where democracy and the rule of law are weakened are likely to experience measurable damage to their economic performance.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Acemoglu,Daron,Agree,7,"I am obviously not impartial. Summary of my view: constitutions, laws and institutional practices provide the framework within which other decisions are made. The framework matters greatly, but there is also quite a bit of freedom to make different choices within it.",Agree,7,"There is controversy on this, but much of it is due to comparing between countries with different democracy scores, which is not easy to do. When countries democratize (for endogenous or exogenous reasons), within seven or eight years, they start growing significantly faster.",Agree,6,"I agree with this in the medium-to-long-run. Weakening of democracy can go hand-in-hand with special deals for some firms that then invest more and prop up growth in the short run.. Some of the damages, e.g., from weaker legal system or uncertainty, are only realized over time."
Aguiar,Mark,Strongly Agree,8,,Agree,7,,Agree,7,
Altonji,Joseph,Strongly Agree,8,,Agree,7,,Strongly Agree,9,
Auerbach,Alan,Agree,7,,Agree,7,,Agree,7,
Autor,David,Strongly Agree,10,,Strongly Agree,7,,Strongly Agree,8,
Banerjee,Abhijit,Agree,6,,Uncertain,4,,Uncertain,4,
Bergemann,Dirk,Strongly Agree,9,,Strongly Agree,9,,Agree,8,
Bertrand,Marianne,Strongly Agree,9,,Agree,2,,Agree,6,
Brunnermeier,Markus,Strongly Agree,8,,Strongly Agree,8,,Agree,7,
Chevalier,Judith,Strongly Agree,10,,Agree,8,,Strongly Agree,10,
Cutler,David,Strongly Agree,10,,Strongly Agree,7,,Strongly Agree,8,
Duffie,Darrell,Strongly Agree,3,,Agree,3,,Strongly Agree,3,
Edlin,Aaron,Strongly Agree,9,,Agree,5,"Come back in 30 years and see if China disproves this claim or is the exception that proves the rule, whatever that means.  ",Agree,5,
Eichengreen,Barry,Strongly Agree,5,,Agree,5,,Agree,5,
Einav,Liran,Strongly Agree,1,,Agree,1,,Agree,1,
Fair,Ray,Agree,5,,Uncertain,5,,Uncertain,5,
Glaeser,Edward,Agree,8,,Agree,5,,Agree,6,
Goldberg,Pinelopi,Strongly Agree,10,,Agree,6,,Agree,8,
Greenstone,Michael,Strongly Agree,5,,Agree,3,,Agree,2,
Hart,Oliver,Strongly Agree,10,,Agree,8,,Agree,7,It may take some time for this to happen
Holmström,Bengt,Strongly Agree,7,,Agree,7,,Agree,5,
Hoxby,Caroline,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Hoynes,Hilary,Agree,6,,No Opinion,,,No Opinion,,
Hurst,Erik,Agree,6,,Uncertain,4,,Agree,6,
Judd,Kenneth,Agree,8,,Agree,7,,Agree,8,
Kaplan,Steven,Strongly Agree,9,,Strongly Agree,8,,Agree,8,
Kashyap,Anil,Agree,7,The competing idea is geography,Agree,7,,Agree,3,"If your whole economy is driven by natural resources, this is less important, but such countries tend to have problems delivering wide-spread prosperity without rule of law"
Klenow,Pete,Strongly Agree,10,,Uncertain,5,I would say higher levels of income rather than faster long run growth.,Strongly Agree,5,
Levin,Jonathan,Strongly Agree,10,,Agree,4,,Strongly Agree,4,"Very difficult to have a successful market economy without property rights,  enforcement of contracts, clear rules and regulations."
Maskin,Eric,Agree,7,,Agree,7,,Agree,7,
Nordhaus,William,Strongly Agree,7,,Uncertain,7,Wish it were so but unclear historically,Agree,5,
Obstfeld,Maurice,Strongly Agree,5,,Agree,3,,Agree,3,
Pathak,Parag,Strongly Agree,6,,Agree,5,,Agree,5,
Samuelson,Larry,Strongly Agree,8,,Agree,8,,Agree,8,
Scheinkman,José,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Schmalensee,Richard,Strongly Agree,5,,Agree,5,,Strongly Agree,7,
Scott Morton,Fiona,Strongly Agree,9,,Agree,5,"An important aspect of democracy is the way it affects the distribution of the surplus in the economy, not just the amount of that surplus",Agree,5,
Shapiro,Carl,Strongly Agree,10,,Strongly Agree,8,,Strongly Agree,8,
Shimer,Robert,Strongly Agree,10,,Agree,3,,Agree,7,This is clearer for the rule of law than for democracy.
Stantcheva,Stefanie,Strongly Agree,9,,Agree,8,,Strongly Agree,9,
Stock,James,Agree,7,,Agree,6,,Agree,5,
Stokey,Nancy,Strongly Agree,10,A slogan it's hard to disagree with.,Uncertain,10,"Plenty of examples on both sides of this: non-democratic countries that have done very well and democracies that are, economically, abysmal failures.",Uncertain,5,Democracy and rule of law are not the same thing.  Bad questions.
Syverson,Chad,Strongly Agree,10,,Agree,6,"Seems that a summary of the best estimates in the literature indicate a positive but modest causal effect, but this stuff is inherently hard to measure well",Agree,6,
Thaler,Richard,Agree,3,,Agree,3,But there are obvious exceptions like Singapore. ,Uncertain,1,Again Singapore is an exception. 
Udry,Christopher,Strongly Agree,10,https://earthobservatory.nasa.gov/images/83182/the-koreas-at-night,Agree,3,"Probably, but this is not something we can know with great confidence.",Strongly Agree,3,
