Last Name,First Name,The persistent deflation in Japan since 1997 could have been avoided had the Bank of Japan followed different monetary policies.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Agree,3,
Alesina,Alberto,Did Not Answer,,
Altonji,Joseph,Agree,1,
Auerbach,Alan,Agree,7,
Autor,David,No Opinion,,
Baicker,Katherine,No Opinion,,
Bertrand,Marianne,Agree,2,
Chetty,Raj,No Opinion,,
Chevalier,Judith,Strongly Agree,6,
Currie,Janet,Uncertain,1,
Cutler,David,Uncertain,6,
Deaton,Angus,No Opinion,,
Duffie,Darrell,Strongly Agree,8,Sufficiently extreme monetary policies could have created inflation. The point is whether that would have helped much. Perhaps. 
Edlin,Aaron,Agree,7,
Eichengreen,Barry,Strongly Agree,10,
Fair,Ray,Uncertain,5,
Goldberg,Pinelopi,Uncertain,5,The experts disagree on the role of the Bank of Japan.
Goldin,Claudia,No Opinion,,
Goolsbee,Austan,Agree,6,
Greenstone,Michael,Uncertain,1,
Hall,Robert,Disagree,7,"Central banks lose control of the price level at the zero lower bound, when their reserves become close substitutes for government debt."
Holmström,Bengt,Strongly Agree,6,
Hoxby,Caroline,Did Not Answer,,
Judd,Kenneth,Agree,5,
Kashyap,Anil,Strongly Agree,10,Fed actions prove that hitting the zero bound on rates need not imply deflation.  BoJ could have stopped this and should be held accountable
Klenow,Pete,Strongly Agree,7,If alternative = sufficiently unconventional and committed.
Levin,Jonathan,Agree,3,
Maskin,Eric,Agree,6,
Nordhaus,William,Agree,8,"Lower interest rates, purchases of long-term assets, and higher inflation target could have raises output and prices."
Obstfeld,Maurice,Strongly Agree,10,
Saez,Emmanuel,Agree,3,
Scheinkman,José,Did Not Answer,,
Schmalensee,Richard,Agree,3,"Must be directionally right, but recent US experience does not inspire certainty."
Shin,Hyun Song,Uncertain,7,
Stokey,Nancy,Strongly Agree,9,A QE policy would likely have prevented the deflation.
Thaler,Richard,No Opinion,,
Udry,Christopher,No Opinion,,
Zingales,Luigi,Did Not Answer,,
