Last Name,First Name,There is a social value to having institutions that issue liquid liabilities that are backed by illiquid assets.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Agree,6,
Alesina,Alberto,Did Not Answer,,
Altonji,Joseph,Strongly Agree,10,
Auerbach,Alan,Agree,3,
Autor,David,No Opinion,,
Baicker,Katherine,Agree,3,
Banerjee,Abhijit,Strongly Agree,7,
Bertrand,Marianne,Agree,1,
Brunnermeier,Markus,Strongly Agree,9,To do this well requires sufficient risk absorbing capital. 
Chetty,Raj,No Opinion,,
Chevalier,Judith,Strongly Agree,9,
Currie,Janet,Uncertain,1,
Cutler,David,Agree,7,
Deaton,Angus,Uncertain,1,"Of course, but not if they make the whole system riskier. I dont know how to judge this at this level of generality."
Duffie,Darrell,Strongly Agree,10,"The creation of credit-based money in this form facilitates payments, serving markets in a basic way that would be hard to replace. "
Edlin,Aaron,Agree,1,depends on alternatives considered in the question.
Eichengreen,Barry,Agree,5,Maturity transformation has its place; the devil is in the details.
Einav,Liran,Agree,5,
Fair,Ray,Did Not Answer,,
Finkelstein,Amy,Did Not Answer,,
Goldberg,Pinelopi,Did Not Answer,,
Goolsbee,Austan,Agree,8,
Greenstone,Michael,Agree,7,
Hall,Robert,Agree,7,"I understand ""liquid"" here to mean safe more than low transaction cost. "
Hart,Oliver,Strongly Agree,10,Consumers want liquid and safe securities. Firms' assets are often illiquid. Both sides can benefit if firms issue shares and senior debt. 
Holmström,Bengt,Strongly Agree,8,
Hoxby,Caroline,Agree,8,"""Social value"" is odd wording.  However, such institutions are likely to make markets more efficient by relaxing undue liquidity constraints"
Hoynes,Hilary,Uncertain,1,
Judd,Kenneth,Strongly Agree,8,
Kaplan,Steven,Strongly Agree,8,
Kashyap,Anil,Strongly Agree,10,"That is why narrow banking is a mistake. If we ban this, it will move to the shadow banking system."
Klenow,Pete,Uncertain,1,
Levin,Jonathan,Did Not Answer,,
Maskin,Eric,Agree,8,
Nordhaus,William,Strongly Agree,10,
Obstfeld,Maurice,Strongly Agree,8,
Saez,Emmanuel,Agree,5,
Samuelson,Larry,Agree,8,"Such institutions can also impose social costs.  If done well, the benefits outweigh the costs.  The trick is to ensure this is the case."
Scheinkman,José,Agree,8,
Schmalensee,Richard,Strongly Agree,7,
Shapiro,Carl,Strongly Agree,8,"Gains from trade. Yes, I am assuming such institutions are suitably regulated."
Shimer,Robert,Strongly Agree,8,Captured very nicely by the Diamond-Dybvig (1983) model and others
Stokey,Nancy,Agree,8,"Bills of exchange and other ""liquid asset"" go back many centuries. "
Thaler,Richard,No Opinion,,
Udry,Christopher,No Opinion,,
