Last Name,First Name,Restricting US exports of liquefied natural gas would have adverse effects on the US economy.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Uncertain,1,
Alesina,Alberto,Did Not Answer,,
Altonji,Joseph,Agree,5,
Auerbach,Alan,Agree,4,
Autor,David,Uncertain,5,This would primarily be a transfer from gas producers to U.S. industries and consumers. Welfare losses would probably be second order.
Baicker,Katherine,Agree,3,
Bertrand,Marianne,Agree,3,
Chetty,Raj,Agree,4,
Chevalier,Judith,Uncertain,10,Restrictions are bad. But they may not turn out to be very important as shale gas extraction technologies disseminate internationally.
Currie,Janet,Agree,7,
Cutler,David,Agree,5,"Adverse is a weird word, but should allow. "
Deaton,Angus,Agree,7,
Duffie,Darrell,Agree,7,This sort of restriction distorts prices and allocations from their efficient levels. I see no efficiency offsetting gain.
Edlin,Aaron,Disagree,1,My answer presumes the typical narrow views of what constitutes an adverse effect on the economy. 
Eichengreen,Barry,Agree,5,"If U.S. has market power in the energy market, there could be favorable terms of trade effects, but this is likely to be second order."
Fair,Ray,Agree,5,
Goldberg,Pinelopi,Did Not Answer,,
Goldin,Claudia,Agree,3,
Goolsbee,Austan,Agree,7,true. But ppl should understand that a world mkt for LNG means erasing the US's benefit from having lower energy Ps than others
Greenstone,Michael,Strongly Agree,8,"might limit US access to forgn natural resources (e.g.,what about Chinese rare earth materials?).  Interesting analysis below"
Hall,Robert,Strongly Agree,9,Totally basic economics--gains from trade
Holmström,Bengt,Agree,4,
Hoxby,Caroline,Agree,8,Energy prices are set by world mkt.Restrictions are thus difficult to justify except for national security & especial fragile local environm
Judd,Kenneth,Agree,8,"Restrictions on free trade seldom benefit the US, and I see no special facts here to make this an exception."
Kashyap,Anil,Agree,3,
Klenow,Pete,Strongly Agree,6,"Yes, but export opportunities may be short-lived."
Levin,Jonathan,No Opinion,,"Not highly informed on this topic. NERA report for US gov't says LNG exports would have positive impact on GDP, no effect on employment. "
Maskin,Eric,Agree,7,
Nordhaus,William,Strongly Disagree,9,Overall gains but unclear impact on distribution of income.
Obstfeld,Maurice,Agree,6,
Saez,Emmanuel,Uncertain,3,
Scheinkman,José,Strongly Agree,8,
Schmalensee,Richard,Strongly Agree,8,
Shin,Hyun Song,Did Not Answer,,
Stokey,Nancy,No Opinion,,
Thaler,Richard,Agree,5,Presumption should favor free trade.  
Udry,Christopher,Strongly Agree,10,
Zingales,Luigi,Did Not Answer,,
