Last Name,First Name,Countries that borrow in their own currency should not worry about government deficits because they can always create money to finance their debt.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,Countries that borrow in their own currency can finance as much real government spending as they want by creating money.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Disagree,4,,Disagree,5,
Alesina,Alberto,Strongly Disagree,10,,Strongly Disagree,10,
Altonji,Joseph,Strongly Disagree,7,,Strongly Disagree,8,
Auerbach,Alan,Strongly Disagree,9,,Strongly Disagree,10,
Autor,David,No Opinion,,,No Opinion,,
Baicker,Katherine,Disagree,3,,Strongly Disagree,3,
Banerjee,Abhijit,Did Not Answer,,,Did Not Aswer,,
Bertrand,Marianne,Disagree,1,,Disagree,1,
Brunnermeier,Markus,Strongly Disagree,9,"see numerous historical examples: Germany in 1920s, Latin America, ...",Strongly Disagree,9,
Chetty,Raj,Did Not Answer,,,Did Not Aswer,,
Chevalier,Judith,Strongly Disagree,7,,Strongly Disagree,7,
Cutler,David,Disagree,3,,Strongly Disagree,5,
Deaton,Angus,Strongly Disagree,9,,Strongly Disagree,8,
Duffie,Darrell,Strongly Disagree,10,"The present value of debt issuances is equal to the present value of debt payments. So, borrowing more now means paying more later.",Strongly Disagree,10,"If this were true, each such country could finance the purchase of all of the world's output, which is obviously impossible. "
Edlin,Aaron,Disagree,7,Less worry is not the same as no worry,Disagree,9,There are limits to capacity and no limits to wants.
Eichengreen,Barry,Strongly Disagree,10,"The ""not worry"" phrase in the question is a bit vague admittedly.",Strongly Disagree,10,
Einav,Liran,Disagree,5,,Disagree,5,
Fair,Ray,Strongly Disagree,10,Surely inflation might be a problem.,Strongly Disagree,10,At some point the system breaks down. 
Finkelstein,Amy,Did Not Answer,,,Did Not Aswer,,
Goolsbee,Austan,Strongly Disagree,8,‘Always’ makes an ass out of you and me (reminding for a friend),Disagree,9,Symbiotic: you tell them where to send it and they tell you where to go
Greenstone,Michael,Disagree,7,,Disagree,7,
Hall,Robert,Strongly Disagree,10,"Governments cannot create money under current monetary institutions, because the central bank keeps reserves and currency at par ",Strongly Disagree,10,
Hart,Oliver,Strongly Disagree,8,This kind of behavior can quickly lead to inflation or even hyperinflation once the economy is close to full capacity.,Strongly Disagree,8,Same answer as above
Holmström,Bengt,Disagree,8,,Strongly Disagree,7,
Hoxby,Caroline,Strongly Disagree,10,,Strongly Disagree,10,
Hoynes,Hilary,Disagree,8,,No Opinion,,
Judd,Kenneth,Strongly Disagree,10,A government may be able to do this once but doing this systematically will make it impossible to sell bonds in the future.,Strongly Disagree,10,"Friedman wrote a book ""There's No Such Thing As a Free Lunch."" He also meant road or bridge or army or school or ANYTHING!"
Kaplan,Steven,Strongly Disagree,10,At some point it becomes untenable and the country becomes Venezuela or Zimbabwe.,Strongly Disagree,10,Same answer as previous question.
Kashyap,Anil,Strongly Disagree,10,"Money financing yields some seigniorage, but also inflation and the inflation has costs and there are limits to seigniorage capacity",Strongly Disagree,10,lots of countries have proved this to be impossible
Klenow,Pete,Strongly Disagree,10,,Strongly Disagree,10,
Levin,Jonathan,Disagree,5,,Disagree,5,
Maskin,Eric,Disagree,7,"Printing money causes its own problems, e.g., the risk of inflation",Disagree,5,There will come a point where the currency is so debased that further spending becomes difficult if not impossible.
Nordhaus,William,Strongly Disagree,9,"Obviously, they should worry. However, the open economy issues are less pressing, particularly with flexible exchange rates.",Strongly Disagree,8,"At some point hyperinflation would break it all apart. However, this is an irrelevant question in an open world."
Saez,Emmanuel,Disagree,7,,Strongly Disagree,7,
Samuelson,Larry,Disagree,6,"Deficits can be financed by creating money, but still have disadvantages as well as advantages that should be carefully considered.",Disagree,6,"Creating money can finance a great deal of spending, but incidents of hyperinflation, collapse and other crises indicate there are limits."
Scheinkman,José,Strongly Disagree,9,,Strongly Disagree,9,This is even more nonsense than (a).
Schmalensee,Richard,Disagree,4,,Disagree,4,
Shapiro,Carl,Strongly Disagree,10,,Disagree,8,
Shimer,Robert,Strongly Disagree,8,"The real value of the money supply is bounded above. At some point, this must create inflation.",Strongly Disagree,8,
Stock,James,Strongly Disagree,6,,Strongly Disagree,6,
Thaler,Richard,Disagree,3,,No Opinion,,"I don't like this question. I guess it is true in some sense, but surely inflation looms at some point."
Udry,Christopher,Did Not Answer,,,Did Not Aswer,,
