Last Name,First Name,"Behavior in many complex and seemingly intractable strategic settings can be understood more clearly by working out what each party in the game will choose to do if they realize that the other parties will be solving the same problem. This insight has helped us understand behavior as diverse as military conflicts, price setting by competing firms and penalty kicking in soccer.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Strongly Agree,10,
Alesina,Alberto,Did Not Answer,,
Altonji,Joseph,Agree,8,
Auerbach,Alan,Agree,7,
Autor,David,Strongly Agree,8,"Many ambiguous predictions, but broad insights of game theory are relevant to infinite # of domains. "
Baicker,Katherine,Strongly Agree,4,
Banerjee,Abhijit,Strongly Agree,8,
Bertrand,Marianne,Strongly Agree,7,
Brunnermeier,Markus,Agree,8,"Individuals are only boundedly rational, as the famous Keynes' Beauty Contest Experiments shows. Nevertheless strategic thinking improves.  "
Chetty,Raj,Strongly Agree,8,
Chevalier,Judith,Strongly Agree,10,
Cutler,David,Strongly Agree,10,
Deaton,Angus,Strongly Agree,10,
Duffie,Darrell,Strongly Agree,9,"This conclusion is supported by 65 years of research and many significant concrete applications. Of course, any theory is imperfect."
Edlin,Aaron,Strongly Agree,8,
Eichengreen,Barry,Agree,5,
Einav,Liran,Strongly Agree,9,
Fair,Ray,Strongly Agree,10,
Finkelstein,Amy,Strongly Agree,7,
Goldberg,Pinelopi,Agree,6,
Goolsbee,Austan,Agree,1,You know this and you know that I know that you know this.
Greenstone,Michael,Strongly Agree,9,
Hall,Robert,Agree,5,Just being aware that others are solving similar problems doesn't lead to the successes economists have had. Rather it is Nash equilibrium.
Hart,Oliver,Strongly Agree,10,Nash equilibrium is enormously useful. But people can be less rational than the theory supposes and so the predictions may be misleading. 
Holmström,Bengt,Strongly Agree,7,
Hoxby,Caroline,Strongly Agree,10,"Thank you, John Nash!"
Hoynes,Hilary,Agree,9,
Judd,Kenneth,Strongly Agree,8,
Kaplan,Steven,Strongly Agree,9,
Kashyap,Anil,Agree,7,"Nash created a whole new way to look at many problems, not always perfect, but a great starting point and benchmark"
Klenow,Pete,Strongly Agree,10,
Levin,Jonathan,Strongly Agree,10,
Maskin,Eric,Strongly Agree,9,
Nordhaus,William,Did Not Answer,,
Saez,Emmanuel,Agree,5,
Samuelson,Larry,Strongly Agree,8,But one must be careful not to apply such equilibrium analysis in setting where it is not warranted.  
Scheinkman,José,Did Not Answer,,
Schmalensee,Richard,Strongly Agree,8,"Even a confirmed behavioralist has to admit that this analysis is often informative, if not always definitive."
Shapiro,Carl,Strongly Agree,9,
Shimer,Robert,Strongly Agree,8,
Thaler,Richard,Agree,4,"As with much of rational choice theory, Nash equilibrium defines a benchmark to which behavior can be compared.  No theory, no anomalies."
Udry,Christopher,Strongly Agree,7,"As with any tool, game theory can be misused. But it can provide surprising and useful insights. "
