Last Name,First Name,"Capping annual rent increases by corporate landlords at 5%, as proposed by President Biden, would make middle-income Americans substantially better off over the next ten years.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,"Capping annual rent increases at 5%, as proposed by President Biden, would substantially reduce the amount of available apartments for rent over the next ten years.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,"Capping annual rent increases at 5%, as proposed by President Biden, would substantially reduce US income inequality over the next ten years.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Acemoglu,Daron,Uncertain,3,"I believe the distribution of impact on middle income, Americans would be positive, but the substantial part is uncertain.",Uncertain,3,,Uncertain,3,
Aguiar,Mark,Disagree,7,,Agree,8,,Disagree,7,
Altonji,Joseph,Disagree,6,,Agree,4,The effect will depend on trends in the general inflation rate.,Disagree,6,
Auerbach,Alan,Disagree,5,,Agree,5,,Disagree,5,
Autor,David,Uncertain,1,,Strongly Agree,8,,Uncertain,1,
Banerjee,Abhijit,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Bergemann,Dirk,Disagree,8,"The housing market is very heterogeneous across the US, thus a uniform rule is unlikely to respect the local conditions.",Agree,8,,Uncertain,7,
Bertrand,Marianne,Disagree,1,,Uncertain,1,,Disagree,1,
Brunnermeier,Markus,Disagree,6,,Agree,4,,Uncertain,7,
Chevalier,Judith,Disagree,8,,Uncertain,6,"Directionallly, I agree, but the 5% might not be meaningfully binding. ",Disagree,5,
Cutler,David,Uncertain,4,,Agree,3,,Uncertain,4,
Duffie,Darrell,Disagree,3,"The evidence is mixed but largely negative. The market pricing mechanism has substantial support in theory. There are distributional effects, but these may not favor the middle class. ",Agree,3,Supply schedules are usually upward sloping. ,Disagree,3,"Someone who pays less rent for a given dwelling earn substantially more in the labor market and other income-generating markets? If that’s true, I don’t see what the mechanism would be.  Maybe higher investment income from increased savings, but that seems like a small effect. "
Edlin,Aaron,Disagree,6,,Disagree,6,,Disagree,6,
Eichengreen,Barry,Disagree,5,,Agree,5,,Disagree,5,
Einav,Liran,Disagree,1,,Agree,1,,Disagree,1,
Fair,Ray,Disagree,5,,Agree,5,,Disagree,5,
Glaeser,Edward,Strongly Disagree,9,,Strongly Agree,9,,Strongly Disagree,9,
Goldberg,Pinelopi,Disagree,8,,Uncertain,7,,Disagree,9,
Greenstone,Michael,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Hart,Oliver,Disagree,6,,Disagree,5,,Disagree,5,
Holmström,Bengt,Uncertain,4,,Agree,4,,Uncertain,4,
Hoxby,Caroline,Strongly Disagree,10,,Strongly Agree,10,,Strongly Disagree,10,
Hoynes,Hilary,Agree,5,,Uncertain,5,Unclear about the time horizon for these changes to appear; could take longer.,No Opinion,,
Hurst,Erik,Disagree,8,,Strongly Agree,9,,Disagree,5,
Judd,Kenneth,Strongly Disagree,8,Expected inflation is only 2%. Excess inflation of rents above CPI unlikely to continue at recent rate. Rent controls are generally bad when binding.,Uncertain,7,There is an exception for new construction as well as buildings after substantial renovation.,Strongly Disagree,8,Only owners of more than 50 units are affected. Many poor people would find this does not apply to their landlords. Rent controls have a bad track record of helping the poor.
Kaplan,Steven,Strongly Disagree,10,Rent control reduces investment in both existing and new housing.  A very bad idea.  Embarrassingly bad proposal.,Strongly Agree,9,,Disagree,9,Might increase it by benefiting existing renters and hurting new renters.
Kashyap,Anil,Disagree,7,"We have tried this kind of policy many times and it will benefit some people who get locked in below market rates, but raise costs for others who need to rent apartments that are not capped and supply will fall.  ",Strongly Agree,10,"The literature review cited below was sponsored by a self-interested party, but in this case the facts are pretty clear.  Economists have shown over and over, if you cap prices you will reduce the supply available to buy.  ",Disagree,7,Some of the winners whose rents get capped will be wealthy people.  This too blunt an instrument (i.e. not targeted to helped lower income people) to deliver this kind of payoff.  
Klenow,Pete,Disagree,3,,Agree,3,,Disagree,3,
Levin,Jonathan,Disagree,4,,Agree,5,,Disagree,4,
Maskin,Eric,Uncertain,6,"The cap might make people who already have rented an apartment better off, but will make it harder for those who haven't to find one.",Agree,5,The rent cap gives landlords an incentive to withdraw housing units from the rental market and also blunts the incentive to build new units.,Uncertain,4,The argument here is the same as for issue 1: some lower-income people will be helped; others will be hurt. I'm not sure what the overall effect on income inequality will be.
Nordhaus,William,Disagree,8,,Agree,5,,Disagree,3,
Obstfeld,Maurice,Disagree,3,,Agree,3,,Uncertain,3,
Pathak,Parag,Disagree,7,,Agree,7,,Strongly Disagree,8,
Samuelson,Larry,Disagree,8,"Experience indicates that rent caps or controls typically backfire.  Even without adverse side effects, the policy is too meager to have a substantial effect.",Agree,8,,Disagree,8,
Scheinkman,José,Disagree,8,Current renters would be better of ( perhaps not substantially) but it will be worse for potential movers and new renters. ,Uncertain,8,"Where these caps bind, reduction in supply would follow",Disagree,6,
Schmalensee,Richard,Disagree,5,"Some yes, many no.",Agree,8,,Uncertain,4,
Scott Morton,Fiona,Uncertain,8,,Uncertain,8,"There is growing evidence of algorithmic collusion among rental properties, especially newer units. This would result in rents that are above competitive levels today.",Disagree,5,
Shapiro,Carl,Uncertain,7,,Uncertain,3,,Uncertain,8,
Shimer,Robert,Disagree,7,,Agree,10,,Disagree,8,"If there is an impact on income inequality, it would come through reducing the value of some assets owned by high income individuals. There is no credible reason for this to boost income at the bottom of the distribution."
Stantcheva,Stefanie,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Stock,James,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Stokey,Nancy,Strongly Disagree,8,,Strongly Agree,9,,Strongly Disagree,8,
Syverson,Chad,Strongly Disagree,4,Dear Lord please don't.,Strongly Agree,5,"If a return cap on any asset might bind, you will reduce investment in that asset, all else equal.",Disagree,4,
Thaler,Richard,Strongly Disagree,5,"Doesn't seem like it would be either binding or enforceable, for better or for worse. ",Strongly Disagree,5,See previous comment,Strongly Disagree,5,Just for show. If enacted the most likely outcome is a lot of enforcement sludge. 
Udry,Christopher,Disagree,5,"It would help some, be irrelevant for most, and hurt others by reducing availability or quality. Poor choice for redistribution, and difficult to believe effective against inflation. ",Uncertain,4,"Where binding, could be substantial. Probably won't bind over most rental markets. ",Disagree,5,
