Last Name,First Name,The introduction of natural experiments to economic analysis of the labor market and related areas has led to a more precise understanding of cause and effect.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,"The ‘credibility revolution’ in empirical economics has improved our understanding of a number of public policy issues, including education, immigration and the minimum wage.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,"In pursuit of credible research designs, researchers often seek good answers instead of good questions.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Agree,6,,Agree,7,,Agree,5,"I would say ""sometimes"" rather than ""often"". Credibility revolution is fantastic for economics but we can/should not sacrifice big questions"
Altonji,Joseph,Strongly Agree,10,,Strongly Agree,10,,Agree,9,
Auerbach,Alan,Strongly Agree,7,,Strongly Agree,7,,Agree,5,
Autor,David,Strongly Agree,10,,Strongly Agree,10,,Disagree,8,"This sometimes happens, for sure. But ""often"" is too high a bar for me. So, I disagree."
Baicker,Katherine,Strongly Agree,3,,Agree,3,,Agree,3,
Banerjee,Abhijit,Strongly Agree,8,,Strongly Agree,8,,No Opinion,,I really don't know what that means. Should we pursue good questions which can't be answered? Wittgenstein had it right
Bertrand,Marianne,Strongly Agree,8,,Strongly Agree,8,,Agree,8,
Brunnermeier,Markus,Strongly Agree,8,,Agree,8,,Uncertain,8,
Chetty,Raj,Strongly Agree,10,,Strongly Agree,10,,Agree,10,
Chevalier,Judith,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Cutler,David,Strongly Agree,10,,Strongly Agree,10,,Uncertain,5,"There are certainly some studies like this. ""Often"" is the key word here. "
Deaton,Angus,Disagree,10,,Uncertain,10,Some plusses lots of minuses,Agree,10,"Not sure what a ""good"" answer is, unless it is one derived by an approved method."
Duffie,Darrell,Strongly Agree,3,,Agree,2,,Agree,3,
Edlin,Aaron,Agree,7,,Agree,7,,Strongly Agree,8,The profession continues to place a premium on clever identification strategies. 
Eichengreen,Barry,Strongly Agree,5,,Strongly Agree,5,,Uncertain,5,"If the question had been worded ""sometimes"" rather than ""often"" I would have agreed."
Einav,Liran,Strongly Agree,7,,Strongly Agree,7,,Agree,7,
Fair,Ray,Agree,5,,Agree,5,,Disagree,5,
Finkelstein,Amy,Strongly Agree,10,,Strongly Agree,8,,Uncertain,5,
Goldberg,Pinelopi,Agree,8,,Agree,8,,Agree,8,
Goolsbee,Austan,Strongly Agree,10,,Strongly Agree,9,,Agree,8,
Greenstone,Michael,Strongly Agree,9,,Strongly Agree,10,,Strongly Disagree,8,this a straw man debating style criticism. is the alternative bad answers to good questions?  count me out for that! 
Hall,Robert,Agree,4,,Uncertain,1,,Uncertain,1,
Hart,Oliver,Strongly Agree,7,,Agree,6,,Uncertain,5,
Holmström,Bengt,Strongly Agree,5,,Agree,5,,Agree,3,
Hoxby,Caroline,Strongly Agree,10,,Strongly Agree,10,,Uncertain,7,
Hoynes,Hilary,Strongly Agree,9,,Strongly Agree,9,,Agree,8,
Judd,Kenneth,Agree,4,,Uncertain,5,,Agree,8,"Too many economists focus on tractability, and even demand that one should know what the results will be before doing the analysis."
Kaplan,Steven,Agree,5,,Uncertain,3,,Uncertain,3,
Kashyap,Anil,Agree,5,"Can't answer all questions with these approaches, but we have definitely learned a lot",Agree,5,"Has not settled all issues, but has helped us make progress on some fronts",Agree,5,"running joke in the faculty lounge after some shock, ""we will see a diff in diff paper on the job market using that variation next year..."" "
Klenow,Pete,Strongly Agree,5,,Strongly Agree,5,,Agree,10,
Levin,Jonathan,Strongly Agree,8,,Strongly Agree,8,,Disagree,3,
Maskin,Eric,Agree,8,,Agree,7,,No Opinion,,
Nordhaus,William,Strongly Agree,7,,Agree,7,,No Opinion,,
Obstfeld,Maurice,Strongly Agree,5,,Strongly Agree,5,,Uncertain,5,
Saez,Emmanuel,Strongly Agree,8,,Strongly Agree,8,,Uncertain,7,
Samuelson,Larry,Agree,8,Natural experiments are a welcome complement to other tools.,Agree,8,"I view it as credibility evolution, with techniques that have built upon and evolved alongside other methods.",Agree,8,"This is the case with much of economics, and the social sciences more generally."
Scheinkman,José,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Schmalensee,Richard,Agree,5,,Agree,5,,Agree,5,Working on good questions that can't be given good answers is a waste of effort; researchers aren't wrong to consider quality of answers.
Shapiro,Carl,Strongly Agree,10,,Strongly Agree,10,,Uncertain,1,
Shimer,Robert,Agree,6,,Uncertain,1,"The devil is in the details with identification; and researchers often explore limited outcomes, e.g. only the short-run",Agree,7,
Stock,James,Strongly Agree,4,,Agree,8,,Agree,5,
Thaler,Richard,Strongly Agree,5,,Strongly Agree,5,Is this a question a reliability check? ,Uncertain,1,"Don't love the wording here. Researchers try to answer some question, often it is not the most interesting one. "
Udry,Christopher,Strongly Agree,10,"For me, anyway.",Strongly Agree,8,,Agree,8,"""Often"" may overstate it, but yes it happens."
