Last Name,First Name,Allowing Internet service providers to charge content companies for access to the ISPs' customers would provide net benefits to consumers.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Uncertain,7,
Alesina,Alberto,Did Not Answer,,
Altonji,Joseph,Did Not Answer,,
Auerbach,Alan,No Opinion,,
Autor,David,No Opinion,,
Baicker,Katherine,Agree,2,
Bertrand,Marianne,Disagree,2,
Chetty,Raj,Did Not Answer,,
Chevalier,Judith,Uncertain,10,There is theory that goes both ways on this.  Vertical price squeeze for integrated sellers a potential concern.
Currie,Janet,Uncertain,1,
Cutler,David,Disagree,2,
Deaton,Angus,Uncertain,5,Another one of these questions that appears to refer to average effects only 
Duffie,Darrell,Agree,3,
Edlin,Aaron,Disagree,6,could easily lead to high transaction costs particularly for small players and confusion among consumers about what they get access to. 
Eichengreen,Barry,Uncertain,5,
Fair,Ray,No Opinion,,
Goldberg,Pinelopi,Did Not Answer,,
Goolsbee,Austan,Disagree,9,"If distribution gains market power, toll takers on the Internet could Balkanize it (w/large aggregate welfare loss)"
Greenstone,Michael,Uncertain,7,
Hall,Robert,No Opinion,,"Internet transport charges are negotiated bilaterally, so such charges already occur, along with many other factors that affect prices"
Holmström,Bengt,Disagree,3,
Judd,Kenneth,No Opinion,,
Kashyap,Anil,No Opinion,,curious to see what the IO mavens say about this. 
Klenow,Pete,Agree,3,
Levin,Jonathan,Disagree,4,"Haven't gotten into the details of this debate, but given carrier concentration, not obvious that consumers would benefit."
Maskin,Eric,Uncertain,6,
Nordhaus,William,No Opinion,,
Obstfeld,Maurice,No Opinion,,
Saez,Emmanuel,Uncertain,2,
Scheinkman,José,Uncertain,5,
Schmalensee,Richard,Uncertain,5,
Shin,Hyun Song,Did Not Answer,,
Stokey,Nancy,No Opinion,,
Thaler,Richard,No Opinion,,
Udry,Christopher,Disagree,7,"The additional incentive to provide bandwidth would be a plus, but the static misallocation from this type of monopoly pricing may be larger"
