Last Name,First Name,Restricting eligibility for senior government economic-policy posts by requiring a graduate degree in economics would reduce the chances for good public policy outcomes.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,,,,,,,,,,,,,,,
Acemoglu,Daron,Did Not Answer,,,,,,,,,,,,,,,,,
Alesina,Alberto,Disagree,8,"a degree in economics is a necessary not sufficient condition for public policy advice in economc
is",,,,,,,,,,,,,,,
Altonji,Joseph,Strongly Agree,8,,,,,,,,,,,,,,,,
Auerbach,Alan,Disagree,3,,,,,,,,,,,,,,,,
Autor,David,Agree,6,"On average, economists understand economics better than non-economists. But some of the best policy entrepreneurs come from outside the fold",,,,,,,,,,,,,,,
Baicker,Katherine,Uncertain,3,,,,,,,,,,,,,,,,
Banerjee,Abhijit,Uncertain,6,,,,,,,,,,,,,,,,
Bertrand,Marianne,Disagree,7,,,,,,,,,,,,,,,,
Brunnermeier,Markus,Uncertain,7,"Restrictions reduce flexibility. Having a Ph.D. is a big plus in general, but there might be exceptional candidates without too.",,,,,,,,,,,,,,,
Chetty,Raj,Did Not Answer,,,,,,,,,,,,,,,,,
Chevalier,Judith,Uncertain,5,"On net, it seems good practice for government economic advisers to have PhD -level training. But a mandate seems like overkill. ",,,,,,,,,,,,,,,
Cutler,David,Uncertain,4,I do not think one needs an econ Ph.D. to be a senior economic advisor. But I also don't think a restriction has to harm policy.,,,,,,,,,,,,,,,
Deaton,Angus,Disagree,6,,,,,,,,,,,,,,,,
Duffie,Darrell,Uncertain,8,,,,,,,,,,,,,,,,
Edlin,Aaron,Disagree,7,,,,,,,,,,,,,,,,
Eichengreen,Barry,Disagree,1,"Not confident, but if Trump's MD should be licensed due to his inability to judge quality.....",,,,,,,,,,,,,,,
Einav,Liran,No Opinion,,,,,,,,,,,,,,,,,
Fair,Ray,Agree,5,,,,,,,,,,,,,,,,
Finkelstein,Amy,Did Not Answer,,,,,,,,,,,,,,,,,
Goldberg,Pinelopi,Did Not Answer,,,,,,,,,,,,,,,,,
Goolsbee,Austan,Uncertain,4,What matters is who POTUS listens to not where they went to school,,,,,,,,,,,,,,,
Greenstone,Michael,Strongly Disagree,7,"of course, i agree.....but this is a bit like asking farmers if farmers are important.......best for others to judge.",,,,,,,,,,,,,,,
Hall,Robert,Did Not Answer,,,,,,,,,,,,,,,,,
Hart,Oliver,Disagree,6,"I think it would probably improve decisions. That said, I don't really approve of blanket restrictions.",,,,,,,,,,,,,,,
Holmström,Bengt,Disagree,7,,,,,,,,,,,,,,,,
Hoxby,Caroline,Disagree,10,,,,,,,,,,,,,,,,
Hoynes,Hilary,Uncertain,5,,,,,,,,,,,,,,,,
Judd,Kenneth,Strongly Disagree,8,"Meant Strongly Agree, misread direction of question: “Let POTUS choose who he wants and face public scrutiny.  & there are incompetent PhDs”",,,,,,,,,,,,,,,
Kaplan,Steven,Uncertain,10,"Will not have much of an effect either way.  Policymakers will listen to economists, then make decisions based on economics and politics.",,,,,,,,,,,,,,,
Kashyap,Anil,Agree,7,"more training helps, but lots of bad advice from people with credentials, so restricting the supply of people is not wise. ",,,,,,,,,,,,,,,
Klenow,Pete,Agree,2,Ricardo didn't have a PhD in Economics.,,,,,,,,,,,,,,,
Levin,Jonathan,Disagree,3,"Meant to Agree, misread direction of question: “Rather than a degree, a better set of criteria might be competence, judgment, integrity…”",,,,,,,,,,,,,,,
Maskin,Eric,Disagree,7,I don't think  government economic officials need to have a graduate degree--but it wouldn't hurt.,,,,,,,,,,,,,,,
Nordhaus,William,Disagree,8,Seems like a reasonable part of a job description.,,,,,,,,,,,,,,,
Saez,Emmanuel,Uncertain,4,,,,,,,,,,,,,,,,
Samuelson,Larry,Agree,8,"Meant Disagree, misread direction of question: “Econ PhD isn’t only desirable attribute, but helps if sr econ policy maker to has training.”",,,,,,,,,,,,,,,
Scheinkman,José,Did Not Answer,,,,,,,,,,,,,,,,,
Schmalensee,Richard,Disagree,6,"If i understand the wording, the strong inequality asserted is surely false.  Not at all clear that ""would increase"" is true, however.",,,,,,,,,,,,,,,
Shapiro,Carl,Did Not Answer,,,,,,,,,,,,,,,,,
Shimer,Robert,Disagree,5,"Although occupational licensing is bad policy, it can reduce the likelihood of bad outcomes. Here it constrains a third party, the executive",,,,,,,,,,,,,,,
Stock,James,Agree,8,,,,,,,,,,,,,,,,
Thaler,Richard,Did Not Answer,,,,,,,,,,,,,,,,,
Udry,Christopher,Agree,3,"There are good advisors with and without graduate degrees (and bad, too). Excluding one category needlessly restricts choice. ",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
