Last Name,First Name,A windfall tax on the profits of large oil companies – with the revenue rebated to households – would provide an efficient means to protect the average US household from rising energy costs.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,Temporary suspension of state and federal gas taxes would lead to a meaningful and immediate reduction in consumer prices at the pump.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,,,,,,,,,,,,,,,,,
Acemoglu,Daron,Agree,4,But should be motivated not as windfall but punitive tax for all of their misbehavior on climate and clawing back of fossilfuel subsidies,Agree,4,"Yes, but that does not mean that it's a good policy. We should double down on renewable energy, not subsidize fossil fuels more",,,,,,,,,,,,,,,,,
Altonji,Joseph,Disagree,5,,Agree,8,"It will lower prices, but would be bad policy given underfunding of transportation infrastructure and environmental concerns.",,,,,,,,,,,,,,,,,
Auerbach,Alan,Uncertain,5,,Agree,5,,,,,,,,,,,,,,,,,,
Autor,David,Disagree,7,I want energy companies to invest right now. I also want consumers to reduce energy consumption. This idea discourages both,Uncertain,5,"I don't know how large these taxes are, so I don't know meaningful this would be. I'd guess that consumers would see only 1/2 the tax cut. ",,,,,,,,,,,,,,,,,
Baicker,Katherine,Did Not Answer,,,Did Not Answer,,,,,,,,,,,,,,,,,,,
Banerjee,Abhijit,Strongly Agree,7,,Uncertain,5,,,,,,,,,,,,,,,,,,
Bertrand,Marianne,Agree,2,,Agree,2,,,,,,,,,,,,,,,,,,
Brunnermeier,Markus,Agree,4,,Disagree,8,It is better to rebate the tax revenue via lump-sum transfers (favoring less well off households),,,,,,,,,,,,,,,,,
Chetty,Raj,Did Not Answer,,,Did Not Answer,,,,,,,,,,,,,,,,,,,
Chevalier,Judith,Did Not Answer,,,Did Not Answer,,,,,,,,,,,,,,,,,,,
Cutler,David,Agree,3,,Uncertain,3,,,,,,,,,,,,,,,,,,
Deaton,Angus,Agree,6,,Strongly Agree,7,,,,,,,,,,,,,,,,,,
Duffie,Darrell,Uncertain,1,,Disagree,6,"A bad policy, given climate damage, even if the answer is yes. Also, research suggests that market power slows retail gas price decreases.",,,,,,,,,,,,,,,,,
Edlin,Aaron,Agree,6,"Efficiency requires that rebates not be proportional to current gas purchases. 

",Agree,1,But lowering gas prices . is a bad idea when climate change requires high prices to reduce consumption. ,,,,,,,,,,,,,,,,,
Eichengreen,Barry,Uncertain,5,Rebated how?  A windfall profits tax that was credibly one-time and did not discourage development of future supplies?,Uncertain,5,"When demand is more elastic than supply, producers bear most of the cost of the tax.   So how elastic is demand?",,,,,,,,,,,,,,,,,
Einav,Liran,Agree,1,,Agree,1,,,,,,,,,,,,,,,,,,
Fair,Ray,Agree,5,,Agree,5,"Dumb idea, but it would probably be passed on. ",,,,,,,,,,,,,,,,,
Finkelstein,Amy,Did Not Answer,,,Did Not Answer,,,,,,,,,,,,,,,,,,,
Goldberg,Pinelopi,Did Not Answer,,,Did Not Answer,,,,,,,,,,,,,,,,,,,
Goolsbee,Austan,Disagree,5,,Disagree,5,,,,,,,,,,,,,,,,,,
Greenstone,Michael,Uncertain,1,depends on structure of windfall tax....will it tax production thereby affecting US output and (potentially) prices?,Agree,7,demand for gasoline in short run is very inelastic ,,,,,,,,,,,,,,,,,
Hall,Robert,Uncertain,5,Not so sure about the efficiency,Agree,4,"Fuel prices rise like a rocket and fall like a feather, according to longstanding research.",,,,,,,,,,,,,,,,,
Hart,Oliver,Disagree,7,Arbitrary taxes are bad and a windfall tax is arbitrary. Better to help poor households directly,Agree,6,But I don't think it's a good idea. CO2 emissions call for higher not lower taxes. Again better to help poor households directly.,,,,,,,,,,,,,,,,,
Holmström,Bengt,Uncertain,5,,Agree,5,,,,,,,,,,,,,,,,,,
Hoxby,Caroline,Strongly Disagree,10,,Agree,8,,,,,,,,,,,,,,,,,,
Hoynes,Hilary,Uncertain,6,,Agree,8,,,,,,,,,,,,,,,,,,
Judd,Kenneth,Disagree,8,Upper income people need no rebate. It is hard to efficiently target the rebates for lower income people.,Agree,8,Prices SHOULD go down but if refining capacity is scarce then it may not be possible to satisfy the resulting increase in demand.,,,,,,,,,,,,,,,,,
Kaplan,Steven,Disagree,9,,Uncertain,3,,,,,,,,,,,,,,,,,,
Kashyap,Anil,Uncertain,2,,Agree,3,That does not mean this is a good idea!  Higher permanent price of carbon is going to be needed to deal with climate risk. ,,,,,,,,,,,,,,,,,
Klenow,Pete,Agree,3,,Agree,3,"But it could *decrease* the price elasticity of demand facing oil producers, inducing them to increase their price-cost markups.",,,,,,,,,,,,,,,,,
Levin,Jonathan,Disagree,4,,Uncertain,4,Many studies have found retail gas prices adjust upward quickly and downward slowly -- could limit rapid household benefits from a tax cut,,,,,,,,,,,,,,,,,
Maskin,Eric,Agree,5,,Disagree,7,,,,,,,,,,,,,,,,,,
Nordhaus,William,Agree,9,It will partially offset the income impact but other fuels will not be covered.,Agree,9,"Yes as a matter of economics, but not a good idea as a matter of policy.",,,,,,,,,,,,,,,,,
Obstfeld,Maurice,Agree,5,Especially in view of climate goals.,Agree,5,"But depends how big a reduction you assess to be ""meaningful."" ""Meaningful"" is not a  meaningful economic concept.",,,,,,,,,,,,,,,,,
Saez,Emmanuel,Agree,8,,Uncertain,7,Recent research shows that incidence for consumption tax decreases doesn't pass through to consumers nearly as much/fast as tax increases.,,,,,,,,,,,,,,,,,
Samuelson,Larry,Disagree,6,"The rebate would help households, but is a piecemeal policy.  A comprehensive tax reform and coherent energy policy would be more efficient.",Agree,8,"Prices would fall, but suspending such taxes is not a sensible long-run policy, which should emphasize other energy sources.",,,,,,,,,,,,,,,,,
Scheinkman,José,Did Not Answer,,,Did Not Answer,,,,,,,,,,,,,,,,,,,
Schmalensee,Richard,Strongly Disagree,7,"We've been down this road before, and it was not a great ride.",Strongly Disagree,5,"Meaningful, certainly not; immediate, probably not.",,,,,,,,,,,,,,,,,
Shapiro,Carl,Agree,4,,Strongly Agree,7,,,,,,,,,,,,,,,,,,
Shimer,Robert,Disagree,7,"It would reduce energy costs now, but anticipation of future taxes reduces the incentive to invest in stable supply",Agree,5,,,,,,,,,,,,,,,,,,
Stock,James,Disagree,8,,Agree,8,"immediate = 1-2 weeks, meaningful = complete pass-through; but a bad idea for climate, budget, distortionary, road maintenance reasons.",,,,,,,,,,,,,,,,,
Thaler,Richard,Strongly Disagree,5,,Uncertain,3,A terrible idea whether or not prices fall a bit in the short run. ,,,,,,,,,,,,,,,,,
Udry,Christopher,Did Not Answer,,,Did Not Answer,,,,,,,,,,,,,,,,,,,
