Last Name,First Name,"Large movements in monthly oil prices, either up or down, are driven primarily by speculators, as opposed to changes in the current (and planned) supply or demand for oil.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Disagree,8,"Huge changes in demand and supply over the last several years (shale gas, Iran-Iraq and global slowdown) account for the bulk of changes."
Alesina,Alberto,Uncertain,1,
Altonji,Joseph,Strongly Disagree,9,
Auerbach,Alan,Strongly Disagree,7,
Autor,David,Disagree,1,
Baicker,Katherine,No Opinion,,
Banerjee,Abhijit,Uncertain,8,There is some anecdotal (and perhaps other) evidence of a cobweb cycle; supply responds to prices with a lag
Bertrand,Marianne,Disagree,4,
Brunnermeier,Markus,Disagree,5,In the price movements there is a fundamental and a speculative component. 
Chetty,Raj,Did Not Answer,,
Chevalier,Judith,Disagree,4,"The term ""speculator"" is itself a bit fuzzy.  I note one paper that attempts to define the term and the issue, though there are others. "
Cutler,David,Uncertain,5,
Deaton,Angus,Strongly Agree,10,
Duffie,Darrell,Strongly Disagree,9,"Speculators just don't have enough capital to hold oil prices artificially high, or low, for months at a time. "
Edlin,Aaron,Disagree,7,
Eichengreen,Barry,No Opinion,,Don't know how to answer this.  Are airlines buying forward contracts to lock in prices speculators or acting on planned demand for fuel?
Einav,Liran,Uncertain,3,
Fair,Ray,Agree,5,
Finkelstein,Amy,Did Not Answer,,
Goldberg,Pinelopi,Did Not Answer,,
Goolsbee,Austan,Strongly Disagree,10,funny how you never hear about speculators on the way down 
Greenstone,Michael,Strongly Disagree,7,"i am unaware of any systematic evidence relating speculation to ""large movements in monthly oil prices"""
Hall,Robert,Disagree,6,What is a speculator? Most asset markets are subject to high unexplained volatility. Lots of debate about its source.
Hart,Oliver,Disagree,7,"Prices may move frequently as speculators try to anticipate the future, but without speculation the movement would be larger when it occurs."
Holmström,Bengt,Disagree,6,
Hoxby,Caroline,Agree,10,
Hoynes,Hilary,Agree,5,
Judd,Kenneth,Strongly Disagree,8,
Kaplan,Steven,Strongly Disagree,8,
Kashyap,Anil,Disagree,7,"Expectations about the future are critical and big monthly moves are not because of chance or ""speculators"" -- changing fundamentals matter."
Klenow,Pete,Disagree,4,
Levin,Jonathan,Did Not Answer,,
Maskin,Eric,Agree,7,
Nordhaus,William,Agree,9,"Poorly worded. Prices are driven by asset demands, not flows. Term ""speculators"" is misleading although technically accurate."
Saez,Emmanuel,Strongly Disagree,5,
Samuelson,Larry,Agree,6,The price appears to fluctuate more vigorously than can be explained simply by changes in fundamentals.
Scheinkman,José,Did Not Answer,,
Schmalensee,Richard,Disagree,8,
Shapiro,Carl,Strongly Disagree,8,
Shimer,Robert,Disagree,6,
Thaler,Richard,Disagree,7,Supply and demand. 
Udry,Christopher,Disagree,5,"It may play a role, but supply, demand and expectations of their future trends seem to dominate."
