Last Name,First Name,The recent decline in oil prices will promote higher real GDP in the US over the next couple of years.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,,,,,,,,,,,,,,,,,,,,,,,,
Acemoglu,Daron,Agree,4,"There will be a negative effect on the now sizable US energy sector, but the positive impact on the rest of the economy should dominate.",,,,,,,,,,,,,,,,,,,,,,,,
Alesina,Alberto,Did Not Answer,,,,,,,,,,,,,,,,,,,,,,,,,,
Altonji,Joseph,Agree,8,,,,,,,,,,,,,,,,,,,,,,,,,
Auerbach,Alan,Agree,3,,,,,,,,,,,,,,,,,,,,,,,,,
Autor,David,Agree,6,,,,,,,,,,,,,,,,,,,,,,,,,
Baicker,Katherine,Did Not Answer,,,,,,,,,,,,,,,,,,,,,,,,,,
Banerjee,Abhijit,Agree,6,,,,,,,,,,,,,,,,,,,,,,,,,
Bertrand,Marianne,Agree,4,,,,,,,,,,,,,,,,,,,,,,,,,
Brunnermeier,Markus,Strongly Agree,8,"A decline in oil prices leads to redistribution of wealth within the US, which favors (sub)sectors with impaired balance sheet constraints.",,,,,,,,,,,,,,,,,,,,,,,,
Chetty,Raj,Agree,5,,,,,,,,,,,,,,,,,,,,,,,,,
Chevalier,Judith,Agree,7,"Obviously, there are losers as well as winners, but the US economy benefits on net.  ",,,,,,,,,,,,,,,,,,,,,,,,
Currie,Janet,Did Not Answer,,,,,,,,,,,,,,,,,,,,,,,,,,
Cutler,David,Strongly Agree,6,,,,,,,,,,,,,,,,,,,,,,,,,
Deaton,Angus,Agree,9,"We are still net importers, right. But there could be second round effects, especially political, that could moderate or even reverse it.",,,,,,,,,,,,,,,,,,,,,,,,
Duffie,Darrell,Agree,7,"Oil production investment is a negative, but reducing the cost of a raw input nets to positive, unless oil exports heavily dominate imports.",,,,,,,,,,,,,,,,,,,,,,,,
Edlin,Aaron,Agree,8,U.S. is a large net importer.  Increased oil prices in the past have slowed GDP growth.  ,,,,,,,,,,,,,,,,,,,,,,,,
Eichengreen,Barry,Agree,5,,,,,,,,,,,,,,,,,,,,,,,,,
Einav,Liran,Uncertain,5,,,,,,,,,,,,,,,,,,,,,,,,,
Fair,Ray,Agree,5,,,,,,,,,,,,,,,,,,,,,,,,,
Finkelstein,Amy,Uncertain,5,,,,,,,,,,,,,,,,,,,,,,,,,
Goldberg,Pinelopi,Uncertain,5,"Costs would go down, Fed may keep rates low. But negative effects on oil exploration, production and potential future oil exports.",,,,,,,,,,,,,,,,,,,,,,,,
Goolsbee,Austan,Strongly Agree,10,but not as much as in the old days because the economy is more energy efficient now and because we have become a significant producer of oil,,,,,,,,,,,,,,,,,,,,,,,,
Greenstone,Michael,Agree,7,,,,,,,,,,,,,,,,,,,,,,,,,
Hall,Robert,Uncertain,5,"The 1986 decline had little effect on real GDP. Oil prices don't shift production functions. Real income rises, but not real output.",,,,,,,,,,,,,,,,,,,,,,,,
Hart,Oliver,Agree,7,There are potentially confounding general equilibrium effects but the US as a net importer of oil should benefit from increased fracking. ,,,,,,,,,,,,,,,,,,,,,,,,
Holmström,Bengt,Agree,7,,,,,,,,,,,,,,,,,,,,,,,,,
Hoxby,Caroline,Strongly Agree,10,"The U.S. econom remains strongly anti-cyclical in oil prices. Some industries suffer from lower prices, but they are dominated by winners.",,,,,,,,,,,,,,,,,,,,,,,,
Hoynes,Hilary,Agree,8,,,,,,,,,,,,,,,,,,,,,,,,,
Judd,Kenneth,Strongly Agree,8,,,,,,,,,,,,,,,,,,,,,,,,,
Kaplan,Steven,Agree,8,,,,,,,,,,,,,,,,,,,,,,,,,
Kashyap,Anil,Strongly Agree,7,"For the average household this will be a like a tax cut, of course oil producing states suffer a bit, but overall this good news for the US",,,,,,,,,,,,,,,,,,,,,,,,
Klenow,Pete,Agree,1,Ceteris paribus.  And because the U.S is still a net importer.,,,,,,,,,,,,,,,,,,,,,,,,
Levin,Jonathan,Agree,3,,,,,,,,,,,,,,,,,,,,,,,,,
Maskin,Eric,Agree,7,,,,,,,,,,,,,,,,,,,,,,,,,
Nordhaus,William,Strongly Agree,8,Both because of quasi-fiscal stimulus and lower measured inflation.,,,,,,,,,,,,,,,,,,,,,,,,
Saez,Emmanuel,Agree,3,,,,,,,,,,,,,,,,,,,,,,,,,
Samuelson,Larry,Agree,8,"The decline in price is less significant than the technological progress in resource extraction it reflects, which should promote growth.",,,,,,,,,,,,,,,,,,,,,,,,
Scheinkman,José,Agree,6,"But if drop is result of correct forecast of weaker world economic activity, it will be hard to identify the net benefit ex-post.",,,,,,,,,,,,,,,,,,,,,,,,
Schmalensee,Richard,Agree,7,,,,,,,,,,,,,,,,,,,,,,,,,
Shapiro,Carl,Strongly Agree,9,,,,,,,,,,,,,,,,,,,,,,,,,
Shimer,Robert,Agree,7,The US is still a net energy importer and the shock is largely a supply shock. But this will cause some reallocation away from shale,,,,,,,,,,,,,,,,,,,,,,,,
Thaler,Richard,Agree,7,,,,,,,,,,,,,,,,,,,,,,,,,
Udry,Christopher,Uncertain,7,We have almost balanced trade in energy; the net effect will be very small (although there will be distributional effects).,,,,,,,,,,,,,,,,,,,,,,,,
