Last Name,First Name,"The introduction of even small trade frictions between neighboring countries can result in significant economic damage, particularly to smaller exporting firms.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,"A national economic boom based on natural resources is likely to harm other sectors of the economy, particularly manufacturing firms.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Uncertain,4,"""Significant"" here is very unclear. It can have a proportionately large effect on small firms, but unclear in the aggregate.",Uncertain,4,"The answer would be yes for manufacturing that does not use the resource in question as input. Otherwise, it could be positive."
Altonji,Joseph,Agree,4,,Agree,5,
Auerbach,Alan,Agree,5,,Agree,7,
Autor,David,Uncertain,5,"This is predicted by theory. But frictionless trade btw industrial countries is nonexistent. So, what does adding a ""small"" friction mean?",Agree,5,
Baicker,Katherine,Agree,3,,Uncertain,3,
Banerjee,Abhijit,Did Not Answer,,,Did Not Answer,,
Bertrand,Marianne,Agree,2,,No Opinion,,
Brunnermeier,Markus,Uncertain,5,,Agree,8,
Chetty,Raj,Did Not Answer,,,Did Not Answer,,
Chevalier,Judith,Did Not Answer,,,Did Not Answer,,
Cutler,David,Agree,5,,Agree,5,
Deaton,Angus,No Opinion,,,Strongly Agree,8,
Duffie,Darrell,Uncertain,2,,Disagree,2,
Edlin,Aaron,Did Not Answer,,,Did Not Answer,,
Eichengreen,Barry,Agree,5,,Uncertain,5,Effects depend on accompanying/offsetting policies.
Einav,Liran,Uncertain,1,,Agree,1,
Fair,Ray,Uncertain,5,"Not clear what ""small"" means. ",Uncertain,5,
Finkelstein,Amy,No Opinion,,,Agree,2,
Goldberg,Pinelopi,No Opinion,,"Not clear what ""small"" trade frictions are and what ""significant"" economic damage means.",Uncertain,8,"Effect is uncertain. It is possible, but empirical evidence has been mixed."
Goolsbee,Austan,Agree,6,,Agree,5,
Greenstone,Michael,Uncertain,4,,Agree,4,
Hall,Robert,Disagree,4,"Small frictions have small effects. And we should not be concerned with harm to firms or industries, only to people.",Disagree,4,Countries with net exports of natural resources enjoy net benefits from favorable shifts in the terms of trade 
Hart,Oliver,Uncertain,5,"Under classical conditions small frictions have second order effects. So it depends on how important   price rigidities, etc., are. ",Uncertain,5,My reading of the classic Corden-Neary paper is that the effects can be ambiguous.
Holmström,Bengt,No Opinion,,,No Opinion,,
Hoxby,Caroline,Uncertain,1,"I tend to agree with the spirit of this query, but ""small"" trade frictions seem too poorly defined for me to give an answer. 1%, 5%, 10%?",No Opinion,,
Hoynes,Hilary,Uncertain,5,,Uncertain,8,Whether this were true or not would depend on many underlying factors such as presence of authoritarian vs democratic rule.
Judd,Kenneth,Agree,6,,Uncertain,6,"Discovery of natural resources will reallocate factors of production, but no more so than other changes."
Kaplan,Steven,Uncertain,1,,Uncertain,6,
Kashyap,Anil,Agree,3,,Agree,1,
Klenow,Pete,Agree,5,,Agree,5,Such booms crowd out employment in other sectors.
Levin,Jonathan,Uncertain,4,,Uncertain,4,
Maskin,Eric,Agree,6,,Agree,4,
Nordhaus,William,Agree,5,,Agree,5,
Obstfeld,Maurice,Agree,7,,Agree,5,
Saez,Emmanuel,Agree,4,,Agree,5,
Samuelson,Larry,Agree,6,"The presence of a home bias, in various forms, suggests that even small frictions can be important.",Agree,6,Much depends on how the resource boom is handled; we have examples of cases that have worked well and examples of disasters.
Scheinkman,José,Did Not Answer,,,Did Not Answer,,
Schmalensee,Richard,Agree,3,,Agree,5,
Shapiro,Carl,Agree,2,,Agree,2,
Shimer,Robert,Uncertain,3,,Agree,8,"A natural resource boom drives up wages and other non-tradable prices, but this doesn't mean it is inefficient!"
Stock,James,Uncertain,3,,Uncertain,3,
Thaler,Richard,Did Not Answer,,,Did Not Answer,,
Udry,Christopher,Agree,5,"because, for example, network effects can generate feedback that reinforces the small frictions.",Uncertain,3,
