Last Name,First Name,The current combination of US fiscal and monetary policy poses a serious risk of prolonged higher inflation.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Uncertain,3,"Inflation is undoubtedly more likely now than it has been for 20 years. But the qualifiers ""serious"" and ""prolonged"" are too strong."
Altonji,Joseph,Uncertain,3,
Auerbach,Alan,Agree,3,
Autor,David,Uncertain,3,
Baicker,Katherine,Did Not Answer,,
Banerjee,Abhijit,Uncertain,6,I am not sure that slightly higher inflation would be a bad thing btw. The question seems to lean that way.
Bertrand,Marianne,Uncertain,4,
Brunnermeier,Markus,Agree,7,"While sharp price spikes might be transitory, they can translate in lasting higher inflation if one isn’t watchful."
Chetty,Raj,Uncertain,5,
Chevalier,Judith,Uncertain,4,The TIP-Treasury spread does not suggest extreme inflation expecations at the moment. 
Cutler,David,Disagree,5,
Deaton,Angus,Agree,5,
Duffie,Darrell,Agree,9,"A bit higher inflation would be good. The risk of much higher inflation involves a tradeoff. Better infrastructure, for instance, is needed."
Edlin,Aaron,Disagree,6,Current policy does not by itself pose that risk because future monetary policy can be changed swiftly. 
Eichengreen,Barry,Disagree,5,"If ""current combination"" means acccomodating mon policy now but higher interest rates if higher inflation materializes, then why ""sustained"""
Einav,Liran,Uncertain,1,
Fair,Ray,Agree,5,"I have a recent paper on this, ""What Do Price Equations Say About Future Inflation?"" using an econometric approach."
Finkelstein,Amy,Did Not Answer,,
Goldberg,Pinelopi,Uncertain,6,
Goolsbee,Austan,Uncertain,6,"There wasn’t prolonged inflation with unemployment at 3.5%. Why would it be prolonged when, apples-to-apples, it is double that?
"
Greenstone,Michael,Uncertain,4,
Hall,Robert,Strongly Disagree,8,Monetary policy is firmly committed to keeping inflation under control and has the means to do it
Hart,Oliver,Uncertain,5,
Holmström,Bengt,Agree,4,
Hoxby,Caroline,Did Not Answer,,
Hoynes,Hilary,Disagree,8,
Judd,Kenneth,Uncertain,6,"It is unclear if current conditions indicating overheating, such as the so-called labor shortage, are temporary or important beyond summer."
Kaplan,Steven,Agree,3,"Poses a risk, but much uncertainty about whether that risk will be realized."
Kashyap,Anil,Agree,7,"poses for sure. we don't know much about how inflation expectations are formed, if they become unhinged watch out"
Klenow,Pete,Agree,5,Modest in magnitude: ~20 bps over the next 5 years and ~10 bps over the next 10 years according to the Survey of Professional Forecasters.
Levin,Jonathan,Uncertain,3,
Maskin,Eric,Uncertain,3,There appears to be significant disagreement among experts on this point. I don't know enough myself to say one way or the other.
Nordhaus,William,Disagree,8,Fed can and will react to prevent this syndrome were it to threaten. 
Obstfeld,Maurice,Disagree,6,
Saez,Emmanuel,Uncertain,5,
Samuelson,Larry,Agree,8,"It is remarkable that inflation has hitherto been mild.  It might be temporary, but inflationary expectations are hard to dampen."
Scheinkman,José,Disagree,5,Prolonged higher inflation would require a very inattentive FED. 
Schmalensee,Richard,Disagree,4,"""Serious"" and ""prolonged"" seem a reach."
Shapiro,Carl,Did Not Answer,,
Shimer,Robert,Agree,7,
Stock,James,Disagree,3,"The risk is more at long horizons with our unsustainable debt path, than at one-two years."
Thaler,Richard,Uncertain,1,Any strong opinion is misplaced. 
Udry,Christopher,Did Not Answer,,
