Last Name,First Name,A ban on very short-term loans at very high annualized interest rates (aka payday lending) would make most people who use or might use them better off.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Uncertain,4,"There is a demand for these loans, but also miscalculations and longer-term problems for borrowers, including for their families."
Alesina,Alberto,Agree,4,
Altonji,Joseph,Uncertain,4,
Auerbach,Alan,Uncertain,5,
Autor,David,Agree,7,"You've set the bar high: ""very short-term loans at very high annualized interest rates."" So I'll say that these loans benefit few people"
Baicker,Katherine,Uncertain,3,
Banerjee,Abhijit,Agree,4,
Bertrand,Marianne,Uncertain,9,
Brunnermeier,Markus,Did Not Answer,,
Chetty,Raj,Did Not Answer,,
Chevalier,Judith,Disagree,8,"This does not mean regulation of the sector's practices is unwarranted, but the research on access to credit is pretty clear."
Cutler,David,Uncertain,5,
Deaton,Angus,Uncertain,5,Seem like good arguments on both sides
Duffie,Darrell,Disagree,5,Meltzer (2011) finds that payday loans do not alleviate hardship. But banning the market may be dominated by stronger regulation.
Edlin,Aaron,Disagree,7,Disclosure rules and banning rollover makes more sense.  Sometimes people need credit.
Eichengreen,Barry,Uncertain,5,
Einav,Liran,Disagree,7,
Fair,Ray,Agree,5,
Finkelstein,Amy,Uncertain,8,
Goolsbee,Austan,Disagree,6,
Greenstone,Michael,Strongly Disagree,7,The best evidence (see link) finds sharp welfare declines from interest rate caps in a somewhat similar market.
Hall,Robert,Uncertain,9,Some would gain and some would lose—payday loans are not all harmful 
Hart,Oliver,Agree,6,
Holmström,Bengt,Agree,5,
Hoxby,Caroline,Uncertain,10,It depends on what would replace payday loans as a source of short-term liquidity. Better information & lending mechanisms need to be tried.
Hoynes,Hilary,Agree,6,Better would be to provide some regulation of interest rates.
Judd,Kenneth,Agree,5,"I generally favor allowing voluntary transactions, but I suspect that demand is usually driven by behavior inconsistent with rationality."
Kaplan,Steven,Disagree,9,
Kashyap,Anil,Uncertain,9,"i doubt it is a generically good idea, but the research is very mixed, despite many, many papers; see the literature review by morgan et al"
Klenow,Pete,Agree,2,
Levin,Jonathan,Uncertain,4,
Maskin,Eric,Agree,7,Payday loans at usurious interest rates exploit borrowers' ignorance.
Nordhaus,William,Agree,5,
Obstfeld,Maurice,Uncertain,4,
Saez,Emmanuel,Agree,5,Most $ spent are heavy users which does not seem like a good arrangement. Occasional users can benefit. More wealth at bottom would be best.
Samuelson,Larry,Disagree,5,"A ban would help those exploited by PD loans, but would harm those for whom such loans are a lifeline.  ""Most"" is difficult to determine."
Scheinkman,José,Uncertain,5,There is evidence that taking a payday loan increases bankruptcy but should first try other measures such as enforcing better disclosure.  
Schmalensee,Richard,Agree,2,"On the one hand, some are victimized; on the other, some have no other source of needed credit.  Not an easy call without facts. "
Shapiro,Carl,Disagree,3,A complete ban seems extreme as a way of protecting borrowers from predatory lending.
Shimer,Robert,Disagree,3,"No evidence of market power in this industry, so this seems to go against revealed preference. What markets arise if this is banned?"
Stock,James,Agree,4,
Thaler,Richard,Disagree,4,Loan sharks may be worse.
Udry,Christopher,Uncertain,6,
