Last Name,First Name,A comprehensive policy response to the coronavirus will involve tolerating a very large contraction in economic activity until the spread of infections has dropped significantly.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,Abandoning severe lockdowns at a time when the likelihood of a resurgence in infections remains high will lead to greater total economic damage than sustaining the lockdowns to eliminate the resurgence risk.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,"Optimally, the government would invest more than it is currently doing in expanding treatment capacity through steps such as building temporary hospitals, accelerating testing, making more masks and ventilators, and providing financial incentives for the production of a successful vaccine.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Agree,3,But containment doesn't mean complete elimination. May be optimal to stagger return to work for low-risk groups once peak-disease is gone ,Agree,3,Again this applies to pick-disease. ,Strongly Agree,5,Absolutely. US federal response has been incoherent & counterproductive. Hard to understand lack of investment ahead of current situation.
Alesina,Alberto,Strongly Agree,8,fiscal policy will be needed to support the weakest during the recession,Strongly Agree,8,,Strongly Agree,10,
Altonji,Joseph,Strongly Agree,8,,Strongly Agree,8,,Strongly Agree,10,
Auerbach,Alan,Strongly Agree,9,,Strongly Agree,9,,Agree,7,
Autor,David,Agree,7,,Uncertain,5,We could overdo this lockdown! (But we could under-do it as well),Strongly Agree,8,"The fiscal response is awesome (assuming that the $2T bill passes), but the federal health response has been abysmal "
Baicker,Katherine,Agree,3,,Agree,3,,Agree,3,
Banerjee,Abhijit,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Bertrand,Marianne,Strongly Agree,8,,Strongly Agree,7,,Strongly Agree,10,
Brunnermeier,Markus,Agree,5,,Agree,3,,Strongly Agree,10,
Chetty,Raj,Strongly Agree,5,,Strongly Agree,5,,Strongly Agree,5,
Chevalier,Judith,Strongly Agree,8,,Strongly Agree,8,,Strongly Agree,10,"Clearly, the government should have done this already. "
Cutler,David,Strongly Agree,8,,Strongly Agree,6,,Strongly Agree,10,
