Last Name,First Name,"Political conflict plays a key role in shaping economic decisions, policies and outcomes.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,The US has a smaller social welfare system than other rich countries in part because it is more heterogeneous by race and ethnicity.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Strongly Agree,7,,Agree,4,"But unclear how much of this is because of the current effect of these variables or the historical, long-lasting compromises they induced."
Altonji,Joseph,Agree,6,,Agree,5,
Auerbach,Alan,Strongly Agree,10,,Agree,7,
Autor,David,Strongly Agree,10,"Sorry, is this a question posed by a visitor from a foreign planet? ",Agree,7,
Baicker,Katherine,Strongly Agree,3,,Agree,3,
Banerjee,Abhijit,Agree,8,,Uncertain,7,
Bertrand,Marianne,Strongly Agree,7,,Uncertain,7,
Brunnermeier,Markus,Strongly Agree,9,,Uncertain,3,"Empirical evidence points to it, but Canada might be a counterexample."
Chetty,Raj,Did Not Answer,,,Did Not Answer,,
Chevalier,Judith,Strongly Agree,8,,Agree,4,
Cutler,David,Strongly Agree,7,,Strongly Agree,7,Alberto Alesina taught us about this. I miss him already.
Deaton,Angus,Strongly Agree,9,,Strongly Agree,7,"I think it is less to do with heterogeneity, than with the legacy of slavery and white v black."
Duffie,Darrell,Strongly Agree,5,"I've seen it happen many times, with both positive and negative social effects.",Uncertain,2,I'm not expert enough to handle this question. 
Edlin,Aaron,Strongly Agree,8,"Where there are decisions to be made, there is politics, and where there is politics there is conflict. ",Disagree,2,"Looking across states with casual empiricism, many of the more diverse appear to have stronger social welfare programs. This gives me pause."
Eichengreen,Barry,Strongly Agree,10,,Strongly Agree,5,
Einav,Liran,Strongly Agree,3,,Agree,1,
Fair,Ray,Agree,5,,Agree,5,
Finkelstein,Amy,Agree,3,,Agree,5,
Goldberg,Pinelopi,Strongly Agree,6,,Agree,6,
Goolsbee,Austan,Agree,3,,Agree,6,Depressing thought of the day
Greenstone,Michael,Agree,7,,Agree,2,
Hall,Robert,Agree,4,The Narrow Corridor makes a compelling case for this proposition,Agree,1,That is what some experts have made a case for
Hart,Oliver,Strongly Agree,8,,Agree,7,
Holmström,Bengt,Agree,4,,Agree,4,"Plays probably some role, but I don't know that one can identify it's significance. So many other factors."
Hoxby,Caroline,Strongly Agree,10,My insightful and powerfully-minded colleague Alberto Alesina is responsible for much of the evidence on this point. Read his masterful work.,Agree,10,Economics has lost one of its greatest thinkers with our losing Alberto Alesina.
Hoynes,Hilary,Agree,8,,Agree,8,
Judd,Kenneth,Agree,8,,Agree,8,I would add income and cultural heterogeneity.
Kaplan,Steven,Strongly Agree,5,,Uncertain,7,
Kashyap,Anil,Strongly Agree,7,,Agree,3,
Klenow,Pete,Strongly Agree,10,,Agree,3,
Levin,Jonathan,Agree,4,,Uncertain,3,
Maskin,Eric,Agree,7,,Agree,7,Alberto Alesina's writings establish both points quite persuasively.
Nordhaus,William,Strongly Agree,9,,Agree,6,
Obstfeld,Maurice,Agree,7,,Agree,7,
Saez,Emmanuel,Agree,5,,Agree,6,
Samuelson,Larry,Strongly Agree,8,Political actors respond to incentives; conflicting incentives play a key role in shaping economic policy and activity.,Agree,8,"The evidence is that people are more supported of programs whose benefits go to ""people like me""."
Scheinkman,José,Agree,5,,Agree,7,
Schmalensee,Richard,Strongly Agree,9,,Agree,6,
Shapiro,Carl,Did Not Answer,,,Did Not Answer,,
Shimer,Robert,Strongly Agree,8,,Strongly Agree,8,"The question states ""in part"".  Another question is ""how big a part""?"
Stock,James,Strongly Agree,4,,Agree,3,
Thaler,Richard,Did Not Answer,,,Did Not Answer,,
Udry,Christopher,Strongly Agree,10,,Strongly Agree,10,But put it differently. It's not diversity itself. It's racism.
