Last Name,First Name,"There is no perfect voting system. That is, no voting system can ensure that the winner will be the person who best represents voters’ wishes, including how intensely they favor or disfavor each candidate.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,"One clear defect of a winner-take-all election with 3 or more candidates, and with each voter choosing only one candidate, is that a candidate who is strongly disliked by a majority, but strongly liked by a minority, can beat a candidate who is liked by a majority and disliked by relatively few.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Agree,8,,Strongly Agree,8,
Alesina,Alberto,Strongly Agree,9,,Strongly Agree,9,
Altonji,Joseph,Agree,3,,Strongly Agree,5,
Auerbach,Alan,Strongly Agree,10,,Strongly Agree,10,
Autor,David,Strongly Agree,9,Just another day's work for Ken Arrow,Strongly Agree,8,
Baicker,Katherine,Agree,3,,Agree,3,
Banerjee,Abhijit,Strongly Agree,9,,Agree,6,
Bertrand,Marianne,Agree,4,,Strongly Agree,8,
Brunnermeier,Markus,Strongly Agree,9,Condorcet paradox,Agree,6,strategic voting behavior can help to reduce the problem. 
Chetty,Raj,Agree,7,,Agree,5,
Chevalier,Judith,Strongly Agree,9,,Agree,9,"The issue is discussed nicely in the popular article I link, even though the specific polling status of the candidates is now very dated!"
Cutler,David,Strongly Agree,10,,Strongly Agree,10,
Deaton,Angus,Agree,4,,Agree,4,
Duffie,Darrell,Strongly Agree,10,"This is a 1950 theorem of Kenneth Arrow.  ""A Difficulty in the Concept of Social Welfare"" Journal of Political Economy. ",Strongly Agree,10,
Edlin,Aaron,Strongly Agree,10,,Agree,7,"I would say ""imperfection"" not defect.  Compared to what, though is the question, as there is no perfect system ..."
Eichengreen,Barry,Agree,5,,No Opinion,,
Einav,Liran,Agree,6,,Uncertain,6,
Fair,Ray,Did Not Answer,,,Did Not Answer,,
Finkelstein,Amy,Did Not Answer,,,Did Not Answer,,
Goldberg,Pinelopi,Did Not Answer,,,Did Not Answer,,
Goolsbee,Austan,Agree,5,especially with lots of candidates,Strongly Agree,8,but isn't it fun to watch it happen?
Greenstone,Michael,Agree,7,,Agree,8,
Hall,Robert,Strongly Agree,10,This is well worked out theoretically.  But it doesn't mean voting isn't better than the alternatives!  (Answer by Andrew B. Hall),Agree,9,"Strategic voting should in principle help, but in practice coordination failures clearly do occur. This is one reason why runoffs are a good"
Hart,Oliver,Strongly Agree,10,We know from Arrow's impossibility theorem that no voting system can aggregate preferences perfectly even if people vote honestly.,Strongly Agree,10,"46% of people rank 3 candidates A,C,B. ( A first, B last.) 44% rank them B,C,A. 10% rank them C,B,A. Then A wins,but C may be better."
Holmström,Bengt,Strongly Agree,6,,Strongly Agree,6, The words liked and disliked are too ambiguous but with my interpretation the answer is obvious.
Hoxby,Caroline,Strongly Agree,10,,Strongly Agree,10,
Hoynes,Hilary,Agree,8,,No Opinion,,
Judd,Kenneth,Strongly Agree,8,,Agree,7,
Kaplan,Steven,Strongly Agree,5,,Strongly Agree,10,Looks like that may be happening this year.
Kashyap,Anil,Strongly Agree,10,Ken Arrow actually has proved a theorem to this effect (that holds under pretty general conditions).  ,Agree,5,"Nonetheless, this does not absolve the U.S. citizens if we elect Trump!"
Klenow,Pete,Strongly Agree,3,,Agree,3,
Levin,Jonathan,Agree,5,,Agree,5,"A defect, but alternatives that try to fix it like run-off elections or transferable voting, have drawbacks as well."
Maskin,Eric,Strongly Agree,9,Arrow's theorem implies there is no perfect system using only ordinal preferences. Cardinal systems are strategically manipulable.,Strongly Agree,9,This is a well-known defect of plurality rule
Nordhaus,William,Agree,7,,Agree,8,Single transferable vote would overcome this problem.
Saez,Emmanuel,Strongly Agree,6,,Agree,8,
Samuelson,Larry,Strongly Agree,10,There is extensive research and impossibility results showing that there is no perfect voting system.,Agree,8,Winner-take-all elections with multiple candidates are fertile ground for generating perverse results.
Scheinkman,José,Agree,7,However alternatives that allow for multiple votes per person can achieve outcomes that better reflect intensity of opinions. ,Agree,7,
Schmalensee,Richard,Strongly Agree,10,,Strongly Agree,9,"Assumes a one-round, plurality wins system."
Shapiro,Carl,Agree,8,,Agree,8,
Shimer,Robert,Strongly Agree,10,"The one exception is dictatorship, so there is only one voter.",Agree,5,I hesitate only because I'm not sure whether this is necessarily a defect.  The rest of the claim is true.
Thaler,Richard,Strongly Agree,10,Arrow proved this. Like asking if 2+2=4.,Agree,7,"Yes, stuff can happen. Follows from question 1.  "
Udry,Christopher,Strongly Agree,10,,Strongly Agree,10,
