Last Name,First Name,Letting publicly traded US firms report earnings annually rather than quarterly would lead their executives to place more weight on long-term issues in their investments and other decisions.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,"A switch from quarterly to annual earnings reports would, on net, benefit shareholders.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Uncertain,5,,Uncertain,4,
Alesina,Alberto,No Opinion,,,No Opinion,,
Altonji,Joseph,Agree,3,,Disagree,6,
Auerbach,Alan,Disagree,3,,Disagree,5,
Autor,David,No Opinion,,,No Opinion,,
Baicker,Katherine,Uncertain,3,,Uncertain,3,
Banerjee,Abhijit,Agree,7,,Agree,7,
Bertrand,Marianne,Strongly Agree,6,,Agree,5,
Brunnermeier,Markus,Agree,9,,Uncertain,5,
Chetty,Raj,Did Not Answer,,,Did Not Answer,,
Chevalier,Judith,Uncertain,8,Firms may well still choose to report quarterly. And a year is still a short horizon for investment projects. ,Uncertain,5,
Cutler,David,Uncertain,5,,Uncertain,6,
Deaton,Angus,No Opinion,,,No Opinion,,
Duffie,Darrell,Did Not Answer,,,Did Not Answer,,
Edlin,Aaron,Agree,5,,Agree,6,
Eichengreen,Barry,Agree,5,"""Allow them to"" would be more appropriate language than ""lead them to.""  At most a _very_modest positive.",Uncertain,5,Tradeoffs for investors (less transparency for example).
Einav,Liran,Uncertain,6,,Uncertain,6,
Fair,Ray,Disagree,4,,Disagree,4,
Finkelstein,Amy,Did Not Answer,,,Did Not Answer,,
Goldberg,Pinelopi,Did Not Answer,,,Did Not Answer,,
Goolsbee,Austan,Agree,1,,Agree,1,
Greenstone,Michael,Uncertain,2,,Uncertain,2,
Hall,Robert,Disagree,8,There's almost no support for short-term-ism. And earnings numbers themselves are unimportant. The market values overall prospects.,Disagree,8,Public markets need certified disclosure regimes. Businesses that are harmed by disclosure should be private.
Hart,Oliver,Agree,5,I am in favor of letting firms do this but only if it is part of their charter or approved by shareholders. It should not be a blanket rule.,Uncertain,10,"For some firms it might be better, for others worse. This is not a case where one size fits all."
Holmström,Bengt,Agree,5,"No firm evidence, just anecdotal. Not clear there is any better periodicity. ",Strongly Disagree,8,One year far too infrequent for well functioning markets.
Hoxby,Caroline,Disagree,8,Smart investors are perfectly capable of evaluating firms using a combination of multiple quarterly reports.,Disagree,7,It is difficult for someone to benefit from being forced to be less informed.  There is such a thing as free disposal.
Hoynes,Hilary,Agree,5,,Agree,5,
Judd,Kenneth,Strongly Disagree,7,This would increase the information difference between insiders and outsiders. Management would have more time to hide their mistakes.,Strongly Disagree,7,
Kaplan,Steven,Strongly Disagree,8,"Two countervailing effects -- perhaps less short-term, but less accountability.  The latter is a bigger problem than the former.",Strongly Disagree,10,"Perhaps less short-term, but less accountability.  Less short-term a minor improvement if any; less accountability a bigger cost."
Kashyap,Anil,Uncertain,3,"It would relieve short term pressure, but not clear that they would necessarily become patient long-term oriented. ",Uncertain,3,"Very hard to know the net effects, for instance it would become easier to hide bad decisions for longer periods.  "
Klenow,Pete,Agree,5,,Uncertain,4,
Levin,Jonathan,Agree,3,,Uncertain,3,
Maskin,Eric,Did Not Answer,,,Did Not Answer,,
Nordhaus,William,Agree,3,"Assume means requiring. Given all the pressures, unlikely that would be major change, so epsilon effect. They might report anyway.",Disagree,3,"Firms would probably report anyway. If not, would lead to more uncertainty and possibly more volatility. In any case, small effect."
Saez,Emmanuel,Did Not Answer,,,Did Not Answer,,
Samuelson,Larry,Agree,6,"A year is still too short of a horizon to be confident that executives would appropriately weight long-term issues, which may span decades.",Uncertain,1,The modest push toward better weighting of long-term issues must be balanced against the attendant loss of information and accountability.
Scheinkman,José,Disagree,7,,Disagree,7,
Schmalensee,Richard,Agree,2,"This is almost trivially true, since there would be no quarter-to-quarter considerations.  But it is hard to imagine a big effect.",Uncertain,3,Perhaps a touch less short-termism but a lot less timely information.  Hard to see a net gain.
Shapiro,Carl,Disagree,3,,Disagree,4,
Shimer,Robert,Uncertain,3,,Disagree,5,"Quarterly earnings reports make it easier to monitor managers, even if earnings can be manipulated."
Thaler,Richard,Agree,4,Recent working paper says yes. http://bit.ly/1HgC0lg,Agree,5,Again see http://bit.ly/1HgC0lg
Udry,Christopher,Uncertain,1,,Uncertain,1,
