Last Name,First Name,The influx of refugees into Germany beginning in the summer of 2015 will generate net economic benefits for German citizens over the succeeding decade.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Agree,6,
Alesina,Alberto,Agree,6,
Altonji,Joseph,Agree,6,
Auerbach,Alan,Uncertain,5,
Autor,David,Agree,8,I'm not aware of any evidence that says that immigration has long-run domestic costs -- though it may impose short-term adjustment costs. 
Baicker,Katherine,No Opinion,,
Banerjee,Abhijit,Did Not Answer,,
Bertrand,Marianne,Agree,4,
Brunnermeier,Markus,Uncertain,8,"Initially, costs > economic benefits. Employment rate shockingly low. Long-run economic implications are uncertain. "
Chetty,Raj,Did Not Answer,,
Chevalier,Judith,Agree,2,"I base my response on the but-for immigration demographics in Germany, but there are many variables. "
Cutler,David,Agree,1,
Deaton,Angus,Agree,7,"Maybe by the end of the decade. The more there are, the longer it will take. All conditional on no political catastrophe in the meantime."
Duffie,Darrell,No Opinion,,
Edlin,Aaron,Agree,6,
Eichengreen,Barry,Uncertain,5,"In the long run, benefits (larger labor force and more entrepreneurship) will exceed costs.  In the next ten years?  Assimilation takes time"
Einav,Liran,Uncertain,1,
Fair,Ray,Agree,4,
Finkelstein,Amy,Uncertain,5,
Goldberg,Pinelopi,Agree,5,
Goolsbee,Austan,Agree,3,
Greenstone,Michael,Uncertain,4,These decisions involve much more than economics
Hall,Robert,Uncertain,3,"The proposition is ambiguous whether it refers to the pre-immigration citizens, who may be indifferent, or the immigrants, who gain a lot."
Hart,Oliver,Uncertain,5,Refugees may provide labor that Germans can benefit from. But welfare transfers from Germans may be required. The net effect is ambiguous.
Holmström,Bengt,Agree,4,
Hoxby,Caroline,Did Not Answer,,
Hoynes,Hilary,Uncertain,9,
Judd,Kenneth,Uncertain,6,"The generous German welfare state will be burdened by the costs of absorbing these immigrants. E.g., they do not speak German."
Kaplan,Steven,Uncertain,7,
Kashyap,Anil,Agree,1,"low skills and lack of language will make assimilation challenging, but by the end of the decade they will probably be net contributors"
Klenow,Pete,Uncertain,5,
Levin,Jonathan,Did Not Answer,,
Maskin,Eric,Did Not Answer,,
Nordhaus,William,Uncertain,5,"Impacts probably small, it sign unclear on pre-arrival residents."
Saez,Emmanuel,Agree,4,
Samuelson,Larry,Uncertain,1,"Europe is aging, and so an influx of young people is potentially valuable, but much depends on how effectively they are integrated."
Scheinkman,José,Did Not Answer,,
Schmalensee,Richard,Disagree,3,
Shapiro,Carl,Did Not Answer,,
Shimer,Robert,Uncertain,1,"There are good arguments for admitting refugees, but I haven't seen evidence for this one in this case"
Thaler,Richard,Agree,5,Seems most likely outcome. 
Udry,Christopher,Agree,7,
