Last Name,First Name,Lowering the effective marginal tax rate on US corporations’ repatriated profits for a year would boost US capital investment significantly.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,"Permanently lowering the effective marginal tax rate on US corporations’ repatriated profits, such as by moving to a territorial-based tax system, would boost US capital investment significantly.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Uncertain,4,"Significantly unclear. Increase likely, but given limited SR opportunities, much might go to M&A or purchases/inflation of existing assets.",Uncertain,6,This would also divert investment abroad in a distortionary fashion. Lower corporate taxes would be more powerful.
Alesina,Alberto,Did Not Answer,,,Did Not Answer,,
Altonji,Joseph,No Opinion,,,No Opinion,,
Auerbach,Alan,Disagree,8,,Uncertain,6,
Autor,David,Uncertain,5,,Agree,5,
Baicker,Katherine,Did Not Answer,,,Did Not Answer,,
Banerjee,Abhijit,Disagree,7,,Disagree,7,
Bertrand,Marianne,Uncertain,2,,Uncertain,3,
Brunnermeier,Markus,Agree,4,,Agree,3,
Chetty,Raj,Strongly Disagree,8,,Uncertain,8,
Chevalier,Judith,Did Not Answer,,,Did Not Answer,,
Currie,Janet,Disagree,6,,Disagree,6,
Cutler,David,Disagree,5,,Disagree,5,
Deaton,Angus,Agree,1,,Agree,1,
Duffie,Darrell,Did Not Answer,,,Did Not Answer,,
Edlin,Aaron,Disagree,4,,Disagree,4,
Eichengreen,Barry,Uncertain,5,,Uncertain,5,
Einav,Liran,No Opinion,,,No Opinion,,
Fair,Ray,Did Not Answer,,,Did Not Answer,,
Finkelstein,Amy,Did Not Answer,,,Did Not Answer,,
Goldberg,Pinelopi,Uncertain,5,,Agree,5,
Goolsbee,Austan,Strongly Disagree,10,there's already $1t sitting domestically on corporate balance sheets not being invested. How would a tax cut to bring back even more help?,Uncertain,10,lots of evidence both ways on this one. not sure.
Greenstone,Michael,Did Not Answer,,,Did Not Answer,,
Hall,Robert,Uncertain,1,Outside my expertise. I generally favor territorial taxation.,Uncertain,1,see abve
Hart,Oliver,Uncertain,5,The effects are hard to predict.  US corporations might simply repatriate the profits and increase dividends or buy back shares.,Uncertain,5,"US corporations might invest more abroad rather than at home. But comanies might issue equity rather than borrowing, which would be good."
Holmström,Bengt,Uncertain,7,,Uncertain,7,
Hoxby,Caroline,Did Not Answer,,,Did Not Answer,,
Hoynes,Hilary,Uncertain,8,tax benefits would occur but this may not change real economic activity,Uncertain,6,
Judd,Kenneth,Disagree,7,A temporary change would produce far more investment in accounting methods for exploiting this than in real capital.,Uncertain,8,"Corporations find ways to bring money home without repatriation. Hodrick, SIEPR, July 2013, ""Are U.S. firms really holding too much cash?"""
Kaplan,Steven,Disagree,6,,Uncertain,4,
Kashyap,Anil,Disagree,1,"Might pull a little spending forward, but doubt it would genuinely increase it.  ",Uncertain,1,not aware of any definitive evidence on this. 
Klenow,Pete,Disagree,3,,Uncertain,3,
Levin,Jonathan,Disagree,4,I suppose it's possible but the companies with the most overseas profits don't seem cash-constrained.,No Opinion,,
Maskin,Eric,Agree,5,,Agree,5,
Nordhaus,William,Did Not Answer,,,Did Not Answer,,
Saez,Emmanuel,Strongly Disagree,8,,Disagree,7,
Samuelson,Larry,Agree,6,"""Significantly"" is always a difficult word.",Agree,6,"Even better would be to have no corporate income tax and to have a sufficiently progressive consumption tax, but that's wishful thinking."
Scheinkman,José,Strongly Disagree,7,"The evidence on 04 tax holiday indicates no increase in domestic investment, R&D or jobs  (Dharmapala, Foley and Forbes, J. of Finance 2011)",Uncertain,5,"Not sure about substantial, although domestic and foreign investments are probably complements (Desai et al. AEJ 2009)"
Schmalensee,Richard,Disagree,4,Hard to see how a one-year blip in domestic cash would cause a significant change in capital budgets,Uncertain,4,Depends critically on your model of investment behavior.  I don't have one in which I am particularly confident.
Shapiro,Carl,Strongly Disagree,8,,Disagree,4,
Shimer,Robert,Uncertain,1,,Uncertain,1,
Thaler,Richard,Uncertain,1,Skeptical that we would see much given how much cash companies are already holding.  ,Uncertain,1,"Again, don't see why this would happen. "
Udry,Christopher,Strongly Disagree,3,,Uncertain,5,
