Last Name,First Name,Advancing automation has not historically reduced employment in the United States.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,"Information technology and automation are a central reason why median wages have been stagnant in the US over the past decade, despite rising productivity.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,,,,,,,,,,,,,,,,,
Acemoglu,Daron,Agree,9,,Agree,9,,,,,,,,,,,,,,,,,,
Alesina,Alberto,No Opinion,,,No Opinion,,,,,,,,,,,,,,,,,,,
Altonji,Joseph,Strongly Agree,9,,Agree,7,,,,,,,,,,,,,,,,,,
Auerbach,Alan,Agree,5,,Uncertain,3,,,,,,,,,,,,,,,,,,
Autor,David,Strongly Agree,8,"Temporarily yes. Over the long run, no. Labor force participation has risen throughout most of the 20th century.  ",Agree,7,Technology and trade/globalization are probably two largest factors. Would also include deunionization. ,,,,,,,,,,,,,,,,,
Baicker,Katherine,No Opinion,,,No Opinion,,,,,,,,,,,,,,,,,,,
Banerjee,Abhijit,Uncertain,8,It is not easy to find evidence one way or the other that it did not shift the aggregate labor demand curve down. ,Disagree,6,"There are so many other factors including trade (including in services).
",,,,,,,,,,,,,,,,,
Bertrand,Marianne,Agree,3,,Agree,3,,,,,,,,,,,,,,,,,,
Brunnermeier,Markus,Agree,8,new employment opportunities opened up e.g. in the service sector.,Disagree,7,"Winner-takes-it-all technologies are more prevelant than only in IT. Moreover, globalization (containers), ... are also important factors.",,,,,,,,,,,,,,,,,
Chetty,Raj,Strongly Agree,6,,Agree,5,,,,,,,,,,,,,,,,,,
Chevalier,Judith,Agree,8,,Disagree,5,,,,,,,,,,,,,,,,,,
Currie,Janet,Agree,8,,Disagree,7,Rising health care costs may actually be more important for the median worker.,,,,,,,,,,,,,,,,,
Cutler,David,Agree,5,,Agree,4,,,,,,,,,,,,,,,,,,
Deaton,Angus,Strongly Agree,8,,Strongly Disagree,8,,,,,,,,,,,,,,,,,,
Duffie,Darrell,Agree,1,,Uncertain,1,,,,,,,,,,,,,,,,,,
Edlin,Aaron,No Opinion,,,Uncertain,7,,,,,,,,,,,,,,,,,,
Eichengreen,Barry,Strongly Agree,10,,Uncertain,6,"They are A reason, among others.  And a reason is not the same as a result; there could have been offsetting policy/policies.",,,,,,,,,,,,,,,,,
Einav,Liran,Uncertain,7,,Uncertain,7,,,,,,,,,,,,,,,,,,
Fair,Ray,Agree,5,,No Opinion,,Question is too broad.,,,,,,,,,,,,,,,,,
Finkelstein,Amy,Agree,2,,Agree,3,,,,,,,,,,,,,,,,,,
Goldberg,Pinelopi,Did Not Answer,,,Did Not Answer,,,,,,,,,,,,,,,,,,,
Goolsbee,Austan,Agree,7,"Over the long run, that is true",Agree,7,,,,,,,,,,,,,,,,,,
Greenstone,Michael,Agree,7,,Uncertain,5,Stagnant education levels and the financial crisis are almost certainly culprits.  Work on assigning shares will go on for a long time.,,,,,,,,,,,,,,,,,
Hall,Robert,Did Not Answer,,,Did Not Answer,,,,,,,,,,,,,,,,,,,
Hart,Oliver,Agree,7,"There has been temporary displacement but displaced workers have found jobs elsewhere, as theory might predict",Agree,6,"Unskilled jobs have been lost which may well be a factor, although not the only one, behind stagant median income and increasing inequality",,,,,,,,,,,,,,,,,
Holmström,Bengt,Agree,8,,Agree,7,,,,,,,,,,,,,,,,,,
Hoxby,Caroline,Agree,5,"Hard to be certain b/c a GE issue, but little econ history supports mechanization having reduced employment.",Uncertain,8,"Skill biased tech probably a cause of flat median wages,but there are MANY other causes. GE problems like this cannot be sorted definitively",,,,,,,,,,,,,,,,,
Hoynes,Hilary,Disagree,9,,Disagree,5,,,,,,,,,,,,,,,,,,
Judd,Kenneth,Agree,7,"Productivity increases options. Employment becomes more beneficial, but it is irrelevant if people choose to work less.",Agree,5,It may have a short-run impact but there is no reason to believe that it is permanent.,,,,,,,,,,,,,,,,,
Kaplan,Steven,Agree,9,Automation has increased greatly over last 100 years.  Employment has increased.  Labor participation rates have varied.,Uncertain,3,"IT and automation have helped the ""top 1%.""  Not clear what that has done to median relative to financial crisis, government policy, etc.",,,,,,,,,,,,,,,,,
Kashyap,Anil,Agree,7,,No Opinion,,,,,,,,,,,,,,,,,,,
Klenow,Pete,Agree,6,To a first order approximation.,Agree,6,,,,,,,,,,,,,,,,,,
Levin,Jonathan,Agree,4,,Agree,6,,,,,,,,,,,,,,,,,,
Maskin,Eric,Agree,6,,Disagree,6,,,,,,,,,,,,,,,,,,
Nordhaus,William,Agree,8,Really would say unemployment. Otherwise need to incorporate income effects.,Disagree,8,Many other factors going on.,,,,,,,,,,,,,,,,,
Obstfeld,Maurice,Agree,5,,Uncertain,4,,,,,,,,,,,,,,,,,,
Saez,Emmanuel,Strongly Agree,6,,Disagree,4,,,,,,,,,,,,,,,,,,
Samuelson,Larry,Agree,8,"Automation can cause significant displacement and can require costly adjustments, but has not reduced long-run employment.",Uncertain,1,,,,,,,,,,,,,,,,,,
Scheinkman,José,Agree,7,,Uncertain,5,,,,,,,,,,,,,,,,,,
Schmalensee,Richard,Did Not Answer,,,Did Not Answer,,,,,,,,,,,,,,,,,,,
Shapiro,Carl,Agree,7,,Uncertain,3,,,,,,,,,,,,,,,,,,
Shimer,Robert,Strongly Agree,8,"Automation has  not reduced net employment, but some workers have lost their jobs due to automation",Agree,7,Trade is likely also important for median wages.,,,,,,,,,,,,,,,,,
Stokey,Nancy,Strongly Agree,10,"If this had been true over the last two centuries, almost no one would be working anymore. ",Uncertain,6,"The wage distribution has expanded and compressed over long periods. Technology is probably, involved, but it is unclear exactly how.",,,,,,,,,,,,,,,,,
Thaler,Richard,No Opinion,,,No Opinion,,,,,,,,,,,,,,,,,,,
Udry,Christopher,Uncertain,6,Mixed effects across the distribution of skills,Agree,3,,,,,,,,,,,,,,,,,,
