Last Name,First Name,"Laws restricting access to abortion are likely to have a negative impact on women's educational attainment, labor market participation, and earnings, particularly those in households of lower socio-economic status.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,States that ban abortion are likely to suffer significant economic losses.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,,,,,,,,,,,,,,,,,
Acemoglu,Daron,Agree,3,,Uncertain,3,"Unclear whether negative effects are large enough to be detectable/significant at the state level, and would depend on migration responses.",,,,,,,,,,,,,,,,,
Altonji,Joseph,Agree,6,,Uncertain,4,"Negative effects through reduction in education & labor supply and through migration decisions. 
Size uncertain.  ",,,,,,,,,,,,,,,,,
Auerbach,Alan,Agree,5,,Uncertain,5,,,,,,,,,,,,,,,,,,
Autor,David,Strongly Agree,8,"Poor woman most likely to have unintended pregnancies, will be denied abortions. Multiple studies show abortion turn-aways -> poverty",Disagree,7,Hurting poor women and families likely doesn't hurt growth in the short-term -- which may be why politician don't hesitate to do it,,,,,,,,,,,,,,,,,
Baicker,Katherine,Did Not Answer,,,Did Not Answer,,,,,,,,,,,,,,,,,,,
Banerjee,Abhijit,Agree,7,,Uncertain,6,,,,,,,,,,,,,,,,,,
Bertrand,Marianne,Strongly Agree,10,,Agree,8,,,,,,,,,,,,,,,,,,
Brunnermeier,Markus,Did Not Answer,,,Did Not Answer,,,,,,,,,,,,,,,,,,,
Chetty,Raj,Did Not Answer,,,Did Not Answer,,,,,,,,,,,,,,,,,,,
Chevalier,Judith,Strongly Agree,10,There is a substantial amount of evidence cited in the economist's amicus brief linked here. ,Agree,4,,,,,,,,,,,,,,,,,,
Cutler,David,Strongly Agree,10,,Agree,5,,,,,,,,,,,,,,,,,,
Deaton,Angus,Agree,5,,Uncertain,10,,,,,,,,,,,,,,,,,,
Duffie,Darrell,Strongly Agree,2,,Agree,2,It would be hard to disagree with this statement if one agrees with the statement of Part A.,,,,,,,,,,,,,,,,,
Edlin,Aaron,Agree,6,,Uncertain,6,,,,,,,,,,,,,,,,,,
Eichengreen,Barry,Strongly Agree,5,,Agree,1,"Some economic losses, but significant?  (Future ASSA meetings are likely to relocate.)",,,,,,,,,,,,,,,,,
Einav,Liran,Agree,1,,Uncertain,1,,,,,,,,,,,,,,,,,,
Fair,Ray,Agree,5,,Disagree,5,,,,,,,,,,,,,,,,,,
Finkelstein,Amy,Did Not Answer,,,Did Not Answer,,,,,,,,,,,,,,,,,,,
Goldberg,Pinelopi,Agree,5,,Uncertain,4,,,,,,,,,,,,,,,,,,
Goolsbee,Austan,Strongly Agree,7,,Agree,7,,,,,,,,,,,,,,,,,,
Greenstone,Michael,Strongly Agree,7,"question is too narrow. people maximize welfare, not GDP, & these outcomes miss non-market ones like dignity that determine well-being  ",Uncertain,4,,,,,,,,,,,,,,,,,,
Hall,Robert,Agree,2,,Uncertain,1,"Depends on what ""significant"" means",,,,,,,,,,,,,,,,,
Hart,Oliver,Agree,7,,Agree,7,,,,,,,,,,,,,,,,,,
Holmström,Bengt,Strongly Agree,5,,Agree,3,,,,,,,,,,,,,,,,,,
Hoxby,Caroline,No Opinion,,Inclined to agree but some offsetting factors (e.g. child qualifies one for some education benefits) & most evidence based on another era.,Agree,10,"If people (simply) perceive these states as unfriendly to female careers & autonomy, they will lose skilled workers and top intellects. ",,,,,,,,,,,,,,,,,
Hoynes,Hilary,Strongly Agree,9,See the evidence summarized in the economists amicus brief before SCOTUS. ,Agree,5,,,,,,,,,,,,,,,,,,
Judd,Kenneth,Agree,6,"This will be true if the abortion pill is outlawed, but not as likely if women switch to the abortion pill.",Disagree,8,"Economic impact likely to be low, but Donohue and Levitt's work implies a significant increase in crime in the future.",,,,,,,,,,,,,,,,,
Kaplan,Steven,Agree,5,,Uncertain,3,,,,,,,,,,,,,,,,,,
Kashyap,Anil,Agree,3,,Uncertain,3,"lots of work arounds, e.g. firms in texas that are paying for people to travel to seek care.  too early to tell the medium term impact",,,,,,,,,,,,,,,,,
Klenow,Pete,Agree,2,,Uncertain,1,,,,,,,,,,,,,,,,,,
Levin,Jonathan,Agree,4,,Uncertain,4,,,,,,,,,,,,,,,,,,
Maskin,Eric,Agree,7,,Agree,5,,,,,,,,,,,,,,,,,,
Nordhaus,William,Agree,8,HIgh degree of political unpredictability clouds the answer.,Disagree,4,Will be swamped by other factors. More sorting but not big impacts.,,,,,,,,,,,,,,,,,
Obstfeld,Maurice,Strongly Agree,4,,Agree,4,,,,,,,,,,,,,,,,,,
Saez,Emmanuel,Agree,4,,Uncertain,3,,,,,,,,,,,,,,,,,,
Samuelson,Larry,Agree,8,,Agree,5,Firms have increasingly based location decisions on social issues; giving an effect; it remains to be seen how important this will be.,,,,,,,,,,,,,,,,,
Scheinkman,José,Strongly Agree,8,,Uncertain,5,,,,,,,,,,,,,,,,,,
Schmalensee,Richard,Strongly Agree,8,,Agree,3,Not sure about “significant.”,,,,,,,,,,,,,,,,,
Shapiro,Carl,Strongly Agree,10,,Agree,3,,,,,,,,,,,,,,,,,,
Shimer,Robert,Agree,7,,Agree,4,,,,,,,,,,,,,,,,,,
Stock,James,Agree,6,,Agree,5,,,,,,,,,,,,,,,,,,
Thaler,Richard,Strongly Agree,5,,Agree,5,,,,,,,,,,,,,,,,,,
Udry,Christopher,Strongly Agree,8,The evidence is overwhelming that on average abortion restrictions have these adverse effects.,Agree,6,,,,,,,,,,,,,,,,,,
