Last Name,First Name,"Bans on the short selling of financial securities, such as stocks and government bonds, lead
to prices that are further, on average, from their fundamental values.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,,,,,,,,,,,,,,,,,,,,,
Acemoglu,Daron,Uncertain,3,"I think this would depend on the type of mispricing. E.g., heterogeneous priors with shortselling can lead to wide swings in prices.",,,,,,,,,,,,,,,,,,,,,
Alesina,Alberto,Did Not Answer,,,,,,,,,,,,,,,,,,,,,,,
Altonji,Joseph,Agree,2,,,,,,,,,,,,,,,,,,,,,,
Auerbach,Alan,Agree,5,,,,,,,,,,,,,,,,,,,,,,
Autor,David,No Opinion,,,,,,,,,,,,,,,,,,,,,,,
Baicker,Katherine,Agree,3,,,,,,,,,,,,,,,,,,,,,,
Bertrand,Marianne,Uncertain,2,,,,,,,,,,,,,,,,,,,,,,
Chetty,Raj,Did Not Answer,,,,,,,,,,,,,,,,,,,,,,,
Chevalier,Judith,Agree,10,"I would have said strongly, but there may be instances  where one could use other securities to synthesize or mimic the short.",,,,,,,,,,,,,,,,,,,,,
Currie,Janet,Uncertain,2,,,,,,,,,,,,,,,,,,,,,,
Cutler,David,Uncertain,5,,,,,,,,,,,,,,,,,,,,,,
Deaton,Angus,Agree,2,,,,,,,,,,,,,,,,,,,,,,
Duffie,Darrell,Strongly Agree,10,"Restricted trade on one side of the market, if binding, by definition prevents matching supply with demand, and thus  ""fundamental"" prices.",,,,,,,,,,,,,,,,,,,,,
Edlin,Aaron,Agree,8,"Even with short selling, it can be hard to stop a bubble. Without it, well...",,,,,,,,,,,,,,,,,,,,,
Eichengreen,Barry,Agree,3,,,,,,,,,,,,,,,,,,,,,,
Fair,Ray,Agree,5,,,,,,,,,,,,,,,,,,,,,,
Goldberg,Pinelopi,Agree,6,,,,,,,,,,,,,,,,,,,,,,
Goldin,Claudia,No Opinion,,,,,,,,,,,,,,,,,,,,,,,
Goolsbee,Austan,Agree,5,,,,,,,,,,,,,,,,,,,,,,
Greenstone,Michael,Agree,3,more impt question is whether shorts produce info that improve firm governance.  mandatory disclosure rules raise firm profits & stock price,,,,,,,,,,,,,,,,,,,,,
Hall,Robert,Uncertain,5,"If short selling is lawful and fraud is not prosecuted, there is a big opportunity to spread fraudulent rumors and gain by shorting.",,,,,,,,,,,,,,,,,,,,,
Holmström,Bengt,Agree,7,"On average definitely. By the nature of learning processes, not always.",,,,,,,,,,,,,,,,,,,,,
Hoxby,Caroline,Did Not Answer,,,,,,,,,,,,,,,,,,,,,,,
Judd,Kenneth,Did Not Answer,,,,,,,,,,,,,,,,,,,,,,,
Kashyap,Anil,Strongly Agree,9,This desperate policy does not work.  See Geanakoplos for the dangers of leverage and the inability to short in producing instability.  ,,,,,,,,,,,,,,,,,,,,,
Klenow,Pete,Agree,2,,,,,,,,,,,,,,,,,,,,,,
Lazear,Edward,Agree,7,"Most studies that I have seen indicate that banning short selling has no effect on average price, but does lead to higher variance",,,,,,,,,,,,,,,,,,,,,
Levin,Jonathan,Agree,3,"Seems logical as a matter of economic theory. As a matter of practice, I don't know the relevant evidence. ",,,,,,,,,,,,,,,,,,,,,
Maskin,Eric,Agree,6,,,,,,,,,,,,,,,,,,,,,,
Nordhaus,William,Agree,8,Subject to the qualification of market corners.,,,,,,,,,,,,,,,,,,,,,
Obstfeld,Maurice,Uncertain,5,"I can imagine different scenarios, and I don't believe there is clear-cut empirical evidence.",,,,,,,,,,,,,,,,,,,,,
Rouse,Cecilia,Did Not Answer,,,,,,,,,,,,,,,,,,,,,,,
Saez,Emmanuel,Agree,2,,,,,,,,,,,,,,,,,,,,,,
Scheinkman,José,Strongly Agree,9,,,,,,,,,,,,,,,,,,,,,,
Schmalensee,Richard,Agree,7,"If they have any effect, it's got to be in that direction.",,,,,,,,,,,,,,,,,,,,,
Shin,Hyun Song,Uncertain,9,,,,,,,,,,,,,,,,,,,,,,
Stock,James,Agree,4,,,,,,,,,,,,,,,,,,,,,,
Stokey,Nancy,Uncertain,1,I've never seen any evidence on this point.  ,,,,,,,,,,,,,,,,,,,,,
Thaler,Richard,Strongly Agree,8,"If Bob Shiller had succeeded in making it possible to short real estate markets, some of the bubbles might have been abated.",,,,,,,,,,,,,,,,,,,,,
Udry,Christopher,Uncertain,1,,,,,,,,,,,,,,,,,,,,,,
Zingales,Luigi,Strongly Agree,9,,,,,,,,,,,,,,,,,,,,,,
