Last Name,First Name,Current institutional arrangements mean that small firms will be able to renegotiate with creditors and landlords to avoid bankruptcy during the lockdown.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,"A program that allows small businesses to skip rent and utilities during the lockdown, but repay them slowly over time afterwards, would be a net benefit to the economy.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Uncertain,4,Renegotiation is hard at the best of times. Casual evidence suggests it hasn't worked out well with banks in many cases so far.,Agree,4,Caveat: perhaps some allowance when landlord is a small business or an individual.
Alesina,Alberto,Uncertain,1,,Agree,8,
Altonji,Joseph,Disagree,3,"It will be in the interest of many creditors to renegotiate, and some will. But I don't know how widespread this will be.",Uncertain,2,
Auerbach,Alan,Uncertain,5,,Uncertain,5,
Autor,David,Uncertain,5,That's the intention! Remains to be seen how well it works...,Agree,5,Simply allowing non-payment would do damage. Requiring immediate payment would do damage. This is a half-way house. 
Baicker,Katherine,Uncertain,3,,Agree,3,
Banerjee,Abhijit,Uncertain,5,,Agree,6,
Bertrand,Marianne,Disagree,8,,Strongly Agree,10,
Brunnermeier,Markus,Disagree,7,,Strongly Disagree,7,
Chetty,Raj,Did Not Answer,,,Did Not Answer,,
Chevalier,Judith,Disagree,3,,Uncertain,9,"I don't think it is obvious that, say, landlords are always better able to provide financing than tenants."
Cutler,David,Uncertain,5,,Strongly Agree,5,
Deaton,Angus,Agree,4,,Uncertain,4,
Duffie,Darrell,Disagree,2,,Agree,2,
Edlin,Aaron,Uncertain,7,The question is the extent. Sure there will be plenty of renegotiation. But how efficient? And at what cost?,Uncertain,6,"Possibly. It is a mess. Should the rule be that rent is forgiven or accrues at 60 percent, or 80 percent, or 100 percent on the dollar? "
Eichengreen,Barry,Agree,5,Some small firms anyway.  Friends in the small-firm space tell me that they renegotiate contracts all the time (anecdotal economics I know).,Agree,5,"Since moral hazard is not an issue. Consequences for landlords and utility companies would have to be addressed, of course."
Einav,Liran,Uncertain,1,,Agree,1,
Fair,Ray,Agree,1,,Uncertain,5,
Finkelstein,Amy,Disagree,5,,Agree,2,
Goldberg,Pinelopi,No Opinion,,,Agree,6,
Goolsbee,Austan,Uncertain,6,Let’s hope.,Uncertain,5,"As long as we get control of the virus. If this thing lasts, extensions won’t work"
Greenstone,Michael,Uncertain,2,,Uncertain,2,I don't understand whether the government is involved and might step in with this scenario.  too many moving parts to judge
Hall,Robert,Uncertain,2,,Uncertain,1,We have so much trouble defining a small business that the benefits would be unfocused.
Hart,Oliver,Agree,5,I would say should rather than will. They should also be encouraged to do so.,Uncertain,5,"There is something to be said for such a program but some people rely on rent for their income, and it would be bad for them."
Holmström,Bengt,Uncertain,3,,Agree,7,
Hoxby,Caroline,Did Not Answer,,,Did Not Answer,,
Hoynes,Hilary,Uncertain,8,,Agree,5,
Judd,Kenneth,Disagree,8,Renegotiation is possible in theory but there is not enough time for the huge number of changes necessary to avoid inefficient bankruptcies.,Agree,8,US government pays ~0% interest. Many businesses are sound but need time to recover. Many fewer will fail with this policy.
Kaplan,Steven,Uncertain,7,,Uncertain,4,
Kashyap,Anil,Disagree,9,"huge frictions, plus the b'rutpcy courts could be overwhelmed. Greenwood & Thesmar identify a real problem. Not sure about their solution",Uncertain,2,"depends how long the lockdown lasts, the people not getting paid matter too, and targeting will be hard. details on design really matter"
Klenow,Pete,Disagree,1,The holdout problem?,Agree,2,
Levin,Jonathan,Uncertain,3,"Many may be able to do so, especially with a scarcity of alternative tenants, but this is uncharted territory.",Uncertain,3,"Might be effective, but it is very hard to anticipate the full effects of this sort of policy."
Maskin,Eric,Uncertain,4,"Small firms may try to re-negotiate their way out of bankruptcy, but it's not clear how successful this will be.",Agree,6,"If these firms go under, the economy will be dealt a serious blow. Better to try to keep them going until the economy opens up"
Nordhaus,William,Disagree,2,,Agree,2,
Obstfeld,Maurice,Uncertain,5,,Uncertain,6,"Depends on position of those to whom they owe money, and if they have alternative resources."
Saez,Emmanuel,Disagree,6,,Agree,4,
Samuelson,Larry,Uncertain,1," One hopes this will be the case, but the result is yet to be seen.",Strongly Agree,8,"This would help keep firms, workers and productive capabilities intact, which will be important in the recovery. "
Scheinkman,José,Disagree,7,,Disagree,8,Small businesses need help but no reason to tax only utilities or landlords to finance this subsidy.  Also payment chains are complex.
Schmalensee,Richard,Disagree,5,Landlords and suppliers to small firms are often small firms themselves; not all have regular banking relationships.,Agree,5,Utilities can generally wait; less clear that most landlords can.
Shapiro,Carl,Disagree,7,,Agree,6,
Shimer,Robert,Uncertain,5,"Anecdotally, some firms have been able to renegotiate.  It is unclear how many will be able to",Agree,5,"There is risk to the commercial mortgage market from this, but it already faces a difficult period"
Stock,James,Disagree,4,,Agree,5,
Thaler,Richard,Disagree,6,The default options are all bad for those with liquidity constraints.  Cutting some slack is both humane and ma well be long-run maximizing.,Strongly Agree,7,Make flexibility the default.
Udry,Christopher,Strongly Disagree,5,There is substantial uncertainty about how lenders and landlords will deal with obligations of small businesses. ,Agree,6,"There will, however, be difficult issues in designing a program like this."
