Last Name,First Name,The federal government would make the average U.S. citizen better off by using policies that directly focus more on increasing small business growth than growth of economic output overall.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Disagree,6,
Alesina,Alberto,Did Not Answer,,
Altonji,Joseph,Disagree,5,
Auerbach,Alan,Disagree,5,
Autor,David,Disagree,3,Targeted sectoral subsidies almost always a special interest boondoggle. And why does small business helps average citizen more than large?
Baicker,Katherine,Strongly Disagree,4,
Bertrand,Marianne,Disagree,4,
Chetty,Raj,Disagree,6,
Chevalier,Judith,Disagree,8,
Currie,Janet,Disagree,8,
Cutler,David,Disagree,5,
Deaton,Angus,Disagree,7,
Duffie,Darrell,Disagree,2,"On its face, ""small"" need not be better. To prioritize implies a loss relative to the unprioritized optimum, barring more information. "
Edlin,Aaron,Did Not Answer,,
Eichengreen,Barry,Disagree,5,
Fair,Ray,Strongly Disagree,10,
Goldberg,Pinelopi,No Opinion,,
Goldin,Claudia,Strongly Disagree,3,
Goolsbee,Austan,Uncertain,1,
Greenstone,Michael,Disagree,7,
Hall,Robert,Disagree,7,Small business is held back by the burden of its undiversified idiosyncratic risk.  But I don't think the gov can do much about it.
Holmström,Bengt,Uncertain,6,Government can and should stimulate small business growth with general tax policies. How much and at the exclusiion of what is uncertain.
Hoxby,Caroline,Strongly Disagree,9,"Generally, the government is not in a good position to pick winners/losers in the private sector, and I do not see a clear externality here."
Judd,Kenneth,Strongly Disagree,8,"Many ""average"" Americans work for large businesses. What is the point if this does not improve economic growth?"
Kashyap,Anil,Disagree,7,"Small biz create and destroy lots of jobs, there is no reason to favor them at the expense of others"
Klenow,Pete,Uncertain,10," This could well be true, but I don't think we know.  Meanwhile, favoring small businesses for job creation seems to be doubly misguided."
Levin,Jonathan,Disagree,5,
Maskin,Eric,No Opinion,,
Nordhaus,William,Strongly Disagree,7,
Obstfeld,Maurice,Strongly Disagree,7,
Saez,Emmanuel,Uncertain,4,
Scheinkman,José,Strongly Disagree,9,
Schmalensee,Richard,Strongly Disagree,7,
Shin,Hyun Song,Uncertain,7,
Stokey,Nancy,Strongly Disagree,8,
Thaler,Richard,Disagree,4,Maybe I am missing something but I see no particular reason why this sector should be favored.  
Udry,Christopher,Disagree,6,
Zingales,Luigi,Uncertain,1,
