Last Name,First Name,"The Trustees of the U.S. Social Security system currently estimate that the OASI trust fund will be exhausted in 2033, after which substantial benefit cuts are mandated without a change in the law.

The response to the impending exhaustion of the OASI trust fund is likely to rely more on general government borrowing than on increases in social security taxes or reductions in social security benefits.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,"As in the most recent major change in Social Security finances (adopted in 1983), the most prudent way to address the impending exhaustion of the OASI trust fund would feature a balanced combination of payroll tax increases and reductions in the benefits received for any given retirement age.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Acemoglu,Daron,Uncertain,2,"Currrently, yes, borrowing looks more likely. But political economy can change a lot within the next ten years.",Disagree,2,"I would be against payroll tax increases. Payroll taxes already favor automation ahead of hiring and training workers. Further increases would make that worse. We should find ways of reducing payroll taxes, especially for low-pay workers."
Aguiar,Mark,Agree,5,,Agree,7,
Altonji,Joseph,Disagree,2,,Agree,3,The benefit reductions and tax increases should be targeted toward higher income individuals.
Auerbach,Alan,Agree,7,,Disagree,3,
Autor,David,Agree,5,,Agree,1,
Banerjee,Abhijit,Agree,5,,Agree,5,
Bergemann,Dirk,Uncertain,1,,Agree,5,
Bertrand,Marianne,Uncertain,7,,Agree,4,
Brunnermeier,Markus,Did Not Answer,,,Did Not Answer,,
Chevalier,Judith,Uncertain,1,,Agree,7,
Cutler,David,Uncertain,1,,Agree,4,
Duffie,Darrell,Agree,6,Politics.  ,Agree,7,
Edlin,Aaron,Uncertain,6,,Agree,5,
Eichengreen,Barry,Uncertain,5,"""More than"" is uncertain.  I would expect increases in social security taxes (lifting the income cap significantly) as well as use of general revenues.  In what combination is hard to say.",Uncertain,5,Reductions in benefits at any age might come with means testing.  And increases in payroll taxes might be accompanied by some general revenues.
Einav,Liran,Uncertain,1,,Uncertain,1,
Fair,Ray,Agree,5,,Disagree,5,
Glaeser,Edward,Strongly Agree,8,,Agree,7,
Goldberg,Pinelopi,Did Not Answer,,,Did Not Answer,,
Greenstone,Michael,Uncertain,3,,Uncertain,2,"unclear what prudent means.  clear that life expectancy has increased substantially & this could be the case for gradually increasing the benefits eligible age (at least for some populations). also, open question as to whether SS benefits should be subject to (progressive?) tax"
Hart,Oliver,Agree,7,,Disagree,7,"An increase in payroll taxes for wealthier people makes sense but not for everyone. Also increasing the age at which these benefits start, given that people are living longer, seems reasonable."
Holmström,Bengt,Agree,5,,Agree,5,
Hoxby,Caroline,No Opinion,,"This is a political question, and I do not think that economists should answer such questions unless they are political economists.",No Opinion,,"This is an overtly normative question (the word ""prudent"" is an unmistakable sign of normative judgement). Economists are normally supposed to limit themselves to positive questions. I do not recall that anyone made us The Social Planner or God."
Hoynes,Hilary,Disagree,3,,Uncertain,7,Taxes yes. Not best to reduce benefits across the board. I would preserve benefits for low wage workers and those unable to work to advanced ages. 
Hurst,Erik,Strongly Agree,8,,Uncertain,4,A prudent approach would be to think about all margins of adjustment.  These are two potential margins.  A third margin would be to adjust the retirement age upwards (while keeping benefits at other ages constant).
Judd,Kenneth,Uncertain,8,"Borrowing would push debt levels to unprecedented, and dangerous, levels. It is possible that something will happen that triggers a lack of confidence in the safety of US debt and massive changes in spending in general.",Strongly Agree,10,A bipartisan deal did this in the early 80's. Proposals along this line were discussed in the mid-90's by Gingrich and Clinton but were derailed by the Republican obsession with Lewinsky and Clinton. This remains the only sane way to go.
Kaplan,Steven,Uncertain,3,"Tough problem.  At some point, will need to rationalize benefits.  Should reflect fact that the world is different from 90 years ago when SS started.  Should reflect increased life expectancy.  Should reflect inflation (which it did initially) rather than wage growth.",Uncertain,3,"Reduced benefits, yes.  Increased taxation, depends on how it is done.  Do not want to reduce incentives to work, like Western Europe has done -- to its great detriment."
Kashyap,Anil,Agree,7,There seems to be no political will for making difficult fiscal choices.  (What's the most rare species in DC?  Answer: Fiscal Hawks).  ,Agree,3,Especially if the benefit cuts were graduated and tilted towards high earners.  This would have been much better to address 20 years ago when the baby boomers had time to adjust to planned reductions.  Probably too late to do anything now for that cohort
Klenow,Pete,Agree,5,This seems like a political forecast about economic policy.,Uncertain,5,We should also consider a gradual increase in the retirement age.
Levin,Jonathan,Agree,4,,Uncertain,1,
Maskin,Eric,Did Not Answer,,,Did Not Answer,,
Nordhaus,William,Agree,7,Not unlikely given current deficit stance. ,Strongly Agree,8,Good political compromise 
Obstfeld,Maurice,Agree,4,,Agree,4,Also need to raise retirement ages somewhat.
Pathak,Parag,Uncertain,5,,Uncertain,1,
Samuelson,Larry,Agree,8,It has become extremely difficult politically to either raise taxes or cut benefits.,Strongly Agree,10,"The sooner we start, the better."
Scheinkman,José,Did Not Answer,,,Did Not Answer,,
Schmalensee,Richard,No Opinion,,Not an economic question.,Agree,5,"The max taxable income should also be increased, which is a form of payroll tax increase."
Scott Morton,Fiona,Agree,5,,Uncertain,5,
Shapiro,Carl,Uncertain,6,,Uncertain,8,
Shimer,Robert,Agree,6,,Agree,6,
Stantcheva,Stefanie,Agree,6,,Agree,8,
Stock,James,Agree,3,,Disagree,3,Increasing the normal retirement age should also be on the table.
Stokey,Nancy,Agree,3,,Uncertain,8,
Syverson,Chad,Agree,5,,Agree,6,
Thaler,Richard,Uncertain,1,"Predicting anything about what the next government will do is a fool's errand. But for any government is likely to try to minimize the *perceived* pain of any changes, so I'd bet on gradual increase in ""full retirement age"" and gradual increase in the tax cap plus can kicking. ",Agree,3,
Udry,Christopher,Agree,1,I am very confident that I have little ability to predict U.S. government response to most policy challenges.,Strongly Agree,6,"Although ""the most prudent"" might also include other tax increases or spending reductions."
