Last Name,First Name,"Establishing a domestic sovereign wealth fund to invest in infrastructure, emerging technologies, and/or strategic sectors would bring substantial benefits to the US economy over a ten-year horizon.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,"The typical advanced economy could substantially boost growth by establishing a sovereign wealth fund to invest in infrastructure, emerging technologies, and/or strategic sectors.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,"For a typical advanced economy, establishing a sovereign wealth fund would be substantially better for citizens relative to paying down the debt as a use for excess revenue.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Acemoglu,Daron,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Aguiar,Mark,Uncertain,5,,Uncertain,5,,Disagree,7,
Altonji,Joseph,No Opinion,,,No Opinion,,,No Opinion,,
Auerbach,Alan,Disagree,7,,Disagree,7,,Strongly Disagree,9,
Autor,David,No Opinion,,,No Opinion,,,No Opinion,,
Banerjee,Abhijit,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Bergemann,Dirk,Disagree,7,,Agree,7,,Disagree,8,
Bertrand,Marianne,Uncertain,1,,Uncertain,1,,Uncertain,1,
Brunnermeier,Markus,Uncertain,8,The success of a sovereign wealth fund depends critically on its governance structure. ,Uncertain,8,"Without the right governance structure, investment might be directed for political reasons rather than societal long-run benefits.",Uncertain,8,
Chevalier,Judith,Uncertain,7,There are certainly potential infrastructure investments with public good characteristics but whether a fund would/could be governed in a way that would maximize such investments is really not clear. ,Uncertain,6,,Uncertain,6,
Cutler,David,Uncertain,4,,Uncertain,4,,Uncertain,4,
Duffie,Darrell,Disagree,3,It's costs versus benefits. The benefits include improved national security (e.g. economic resilience to geopolitical conflict). The costs could include misallocation of capital caused by rent-seeking behavior interacted with political governance. ,Uncertain,3,"Growth can be boosted by government supported infrastructure, which Congress can pass, case by case without a SWF. A SWF is more flexible (no need for Congress every time), but raises concerns about potentially excessive discretion and inefficiencies, or worse. ",Disagree,3,
Edlin,Aaron,Disagree,6,,Disagree,7,,Uncertain,7,
Eichengreen,Barry,Uncertain,5,,Uncertain,5,,Uncertain,5,
Einav,Liran,Uncertain,1,,Uncertain,1,,Uncertain,1,
Fair,Ray,No Opinion,,"These are not interesting questions.  Building up a sovereign wealth fund requires that the government run a surplus, which is so far removed from reality as to not be interesting.    ",No Opinion,,,No Opinion,,
Glaeser,Edward,Strongly Disagree,8,,Strongly Disagree,8,,Strongly Disagree,8,
Goldberg,Pinelopi,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Greenstone,Michael,Uncertain,5,"Evidence on returns to infrastructure, even under current allocation system, are likely high.  Not sure about emerging technologies or strategic sectors.  Where would the money come from?  But more importantly, who would make the spending decisions?
",Uncertain,5,"is China better off for subsidizing solar panels for the world?  the answer is unclear to me..
key issue is who makes the spending/investment decisions..  can this be protected from non-economic considerations?  ",Uncertain,5,I'm unaware of compelling evidence in either direction.
Hart,Oliver,Disagree,7,The government can already do this. The decisions are inevitably political as well as economic. They would be no less political if undertaken by a sovereign wealth fund. So I don't see what is gained.,Disagree,7,Same answer as before,Uncertain,5,It depends on the size of the debt. Alternatives would be reducing taxes or using the money to fund high value public investments.
Holmström,Bengt,Agree,5,,Agree,5,,Uncertain,4,
Hoxby,Caroline,Strongly Disagree,10,,Strongly Disagree,10,,Disagree,10,
Hoynes,Hilary,No Opinion,,,No Opinion,,,No Opinion,,
Hurst,Erik,Uncertain,1,,Uncertain,1,,Uncertain,1,
Judd,Kenneth,Disagree,8,"What is the income for the sovereign wealth fund? This may make sense if there are dividends from the infrastructure ""investment"" but other than highways I don't know what that would be.",Disagree,8,This ultimately sounds like industrial policy. Who is going to be in charge of the investments and what is their objective?,Strongly Disagree,8,Paying down debt is better than funding some fuzzy industrial policy.
Kaplan,Steven,Disagree,8,Very likely to become political and uneconomic.  ,Disagree,5,,Disagree,5,
Kashyap,Anil,Disagree,7,where is the money going to come from and what is the USG's track record in doing most of this?  ,Disagree,3,"It varies by country, but most of the advanced countries have poor finances and are running deficits.  The same concerns about project selection in the US will be true elsewhere too. ",Uncertain,3,"For a few of the resource rich countries with little debt, maybe this is true, but for most of them retiring the debt would be wise.  You could pick and choose particular projects or initiatives to fund without going all the way to SWF (which have so many practical challenges.) "
Klenow,Pete,Disagree,5,,Disagree,5,,Disagree,5,
Levin,Jonathan,Uncertain,4,,Uncertain,4,,Disagree,4,
Maskin,Eric,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Nordhaus,William,Strongly Disagree,8,,Disagree,6,,Strongly Disagree,6,
Obstfeld,Maurice,Uncertain,4,,Uncertain,4,,Disagree,4,
Pathak,Parag,Uncertain,5,,Uncertain,5,,Uncertain,5,
Samuelson,Larry,Disagree,8,"Investing in infrastructure is important, but there is no reason to tie this to a sovereign wealth fund.  Investment in the economy's future should be part of ordinary government operations.",Disagree,8,"Again, investment can substantially increase growth, with or without a sovereign wealth fund.",Disagree,8,"Much depends on the financial markets - if interest rates are such that debt service is costless, a wealth fund can make sense.  It is less clear that a combination of debt and a wealth fund make sense in general."
Scheinkman,José,Strongly Disagree,8,,Uncertain,7,"It may make sense, for instance,   for a small open economy running a surplus from a source that would disappear in the long run (e.g. Norway)",Strongly Disagree,7,
Schmalensee,Richard,Disagree,7,,Disagree,7,,Uncertain,5,
Scott Morton,Fiona,Uncertain,2,,Uncertain,1,,Agree,1,
Shapiro,Carl,Uncertain,8,,Uncertain,4,,Agree,6,
Shimer,Robert,Strongly Disagree,10,,Strongly Disagree,8,The only justification I can see is for a country with an enormous but temporary revenue boom (i.e. Norway),Strongly Disagree,8,
Stantcheva,Stefanie,Disagree,4,,Disagree,3,,Uncertain,3,
Stock,James,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Stokey,Nancy,Disagree,9,"Investing in infrastructure would be a good idea. But why the SWF?  Who will pick the portfolio?  For the U.S., it sounds like badly thought-out gimmick.",Disagree,9,"Countries that have made good use of SWF's are Chile, Norway and a few others with highly volatile earnings from export raw materials like copper and oil.  Few developed countries are in this situation.",Disagree,9,"The SWF would be a better investment if it had a higher rate of return and little risk. 
 But choosing the investment portfolio would an additional political football the U.S. doesn't need. "
Syverson,Chad,Disagree,2,,Disagree,2,,Disagree,3,
Thaler,Richard,Disagree,3,,Disagree,3,,Disagree,3,
Udry,Christopher,Disagree,5,,Disagree,5,,Disagree,6,
