Last Name,First Name,"All things considered, US society will be better off if sports betting becomes legal in more US states (beyond Nevada).",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,,,
Acemoglu,Daron,Uncertain,4,"Letting people decide whether & how they gamble is good, but gambling comes with regressive taxes & manipulation of a vulnerable population",,,
Alesina,Alberto,Uncertain,5,,,,
Altonji,Joseph,Did Not Answer,,,,,
Auerbach,Alan,Uncertain,3,,,,
Autor,David,Did Not Answer,,,,,
Baicker,Katherine,Uncertain,2,,,,
Banerjee,Abhijit,Uncertain,8,,,,
Bertrand,Marianne,Disagree,4,,,,
Brunnermeier,Markus,Uncertain,9,,,,
Chetty,Raj,Did Not Answer,,,,,
Chevalier,Judith,Uncertain,7,There are real tradeoffs here.,,,
Cutler,David,Uncertain,4,,,,
Deaton,Angus,Did Not Answer,,,,,
Duffie,Darrell,Uncertain,2,"Given human behavior, many more people would probably get into serious debt. Should they be protected from their own behavior? I'm not sure.",,,
Edlin,Aaron,No Opinion,,,,,
Eichengreen,Barry,No Opinion,,,,,
Einav,Liran,Agree,1,,,,
Fair,Ray,Agree,4,"Hopefully this leads to better political U.S. betting markets, relevant for research.  ",,,
Finkelstein,Amy,Did Not Answer,,,,,
Goldberg,Pinelopi,Did Not Answer,,,,,
Goolsbee,Austan,Disagree,3,,,,
Greenstone,Michael,Agree,5,,,,
Hall,Robert,Disagree,6,"Organized betting of any kind exploits people with self-control limitations, so the law should not support it. ",,,
Hart,Oliver,Agree,6, I believe that in general the government should not prevent people making the deals they want to. Betting is no exception.,,,
Holmström,Bengt,Agree,6,,,,
Hoxby,Caroline,Uncertain,7,"US sports so distorted (mkt power, restrictions on athletes,ad hoc transfers, irrational loyalties) that betting need not improve efficiency",,,
Hoynes,Hilary,No Opinion,,,,,
Judd,Kenneth,Agree,7,Demand for this is high. Should reduce $ going to organized crime. We need regulation & taxes to deal with gambling addiction problems.,,,
Kaplan,Steven,Uncertain,8,,,,
Kashyap,Anil,Agree,7,"addiction is a problem for a small percentage of people, but most of us can gamble responsibly and the tax receipts will be beneficial",,,
Klenow,Pete,Uncertain,3,,,,
Levin,Jonathan,Uncertain,4,People who want to bet on sports will be better off. Society? Less clear.,,,
Maskin,Eric,Uncertain,7,"There is a libertarian argument in favor of legalized betting, but gambling has a harmful effect on the poor.",,,
Nordhaus,William,Disagree,3,It is opening casinos in every  living room.,,,
Saez,Emmanuel,Disagree,5,,,,
Samuelson,Larry,Uncertain,1,"It may be easier to regulate and address the health effects of legal than illegal gambling, but overall impact of legalization is uncertain.",,,
Scheinkman,José,No Opinion,,,,,
Schmalensee,Richard,Uncertain,7,"Increasing gambling opportunities will make some better off, but it will also increase gambling addiction and make others much worse off.",,,
Shapiro,Carl,Uncertain,1,,,,
Shimer,Robert,Agree,5,,,,
Stock,James,Disagree,4,,,,
Thaler,Richard,Agree,5,Details matter.  Illegal gambling is prevalent and competition is good but if the states give themselves a monopoly then less competition. ,,,
Udry,Christopher,Agree,5,"It's not possible - or at least very costly - to stop, so make it more visible. ",,,
,,,,,,,
,,,,,,,
