Last Name,First Name,Having companies run to maximize shareholder value creates significant negative externalities for workers and communities.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,"Appropriately managed corporations could create significantly greater value than they currently do for a range of stakeholders – including workers, suppliers, customers and community members – with negligible impacts on shareholder value.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,Effective mechanisms for boards of directors to ensure that CEOs act in ways that balance the interests of all stakeholders would be straightforward to introduce.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,,,,,,,,,,,,,,,,,,
Acemoglu,Daron,Agree,4, Cutting wages or polluting increase shareholder value with considerable social cost. Competition will not necessarily drive them out,Uncertain,4,Some of the steps will be costly for shareholders.,Disagree,4,Moving away from extreme shareholder values needs simultaneous changes in laws & norms. Imposing topdown regulations wouldn’t be sufficient,,,,,,,,,,,,,,,,,,
Alesina,Alberto,Uncertain,2,it depends on too many factors to give  a general answer,Agree,5,,Agree,2,,,,,,,,,,,,,,,,,,,
Altonji,Joseph,Agree,4,,Uncertain,2,,Disagree,3,,,,,,,,,,,,,,,,,,,
Auerbach,Alan,Disagree,5,"Negative effects, quite possibly. But not sure why these would be externalities as commonly defined.",Disagree,7,,Disagree,3,,,,,,,,,,,,,,,,,,,
Autor,David,Agree,8,Data show huge monetary + psychic costs to workers of mass layoffs that are almost surely not internalized by employers,Disagree,7,I don’t know why this would be a free lunch,Disagree,10,"Never straightforward. But still potentially worth it. Other country examples — Germany, Denmark— prove it’s feasible. ",,,,,,,,,,,,,,,,,,
Baicker,Katherine,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,,,,,,,,,,,,,,,,,,
Banerjee,Abhijit,Agree,7,,Uncertain,7,,Uncertain,7,,,,,,,,,,,,,,,,,,,
Bertrand,Marianne,Strongly Agree,8,,Agree,6,,Uncertain,7,,,,,,,,,,,,,,,,,,,
Brunnermeier,Markus,Uncertain,9,,Agree,8,,Strongly Disagree,8,,,,,,,,,,,,,,,,,,,
Chetty,Raj,Uncertain,5,,Agree,5,,Uncertain,5,,,,,,,,,,,,,,,,,,,
Chevalier,Judith,Uncertain,7,Companies are transacting w workers so externality wrong word. Community externalities can be pos or neg in diff cases.,Uncertain,4,,Disagree,4,,,,,,,,,,,,,,,,,,,
Cutler,David,Agree,4,,Agree,4,,Disagree,4,,,,,,,,,,,,,,,,,,,
Deaton,Angus,Agree,7,,Agree,5,,Disagree,6,,,,,,,,,,,,,,,,,,,
Duffie,Darrell,Agree,9,"This is the point of regulation. For examples, pollution and labor regulations are intended to mitigate such effects.  ",Uncertain,8,"Hard to know. But if true, this would imply almost no mis-alignment of incentives between shareholders and the others. That seems unlikely.",Disagree,9,"This doesn't seem ""straightforward."" It would be complicated to balance the potential conflicts of interests among all stakeholders.",,,,,,,,,,,,,,,,,,
Edlin,Aaron,Strongly Agree,10,Greenhouse gases are but one example. ,Agree,6,,Disagree,7,Few major changes are straightforward but that does not mean they are impossible. ,,,,,,,,,,,,,,,,,,
Eichengreen,Barry,Uncertain,5,Too vague to answer with certainty. ,Agree,5,,Uncertain,5,,,,,,,,,,,,,,,,,,,
Einav,Liran,Disagree,1,,Disagree,1,,Agree,1,,,,,,,,,,,,,,,,,,,
Fair,Ray,Agree,1,"Not clear how one should interpret ""significant""",Agree,1,,Disagree,1,,,,,,,,,,,,,,,,,,,
