Last Name,First Name,The administration’s loan relief plan will not have a substantial impact on inflation in either direction.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,A longer-term impact of the administration’s loan relief plan is likely to be substantially higher tuition fees at some universities.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,A longer-term impact of the administration’s loan relief plan is likely to be measurably higher student debt burdens in anticipation of future forgiveness.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Acemoglu,Daron,Agree,4,"I never understood why student loan forgiveness should have a major effect on inflation. Of course it creates more government debt, but the effect of that on inflation seems rather small.",Uncertain,3,One could write down a model in which this happens. But there is no evidence that this will happen in practice or the magnitude of any pass-through to tuition will be significant to be detected.,Uncertain,3,"Once again this type of moral hazard could happen. And this is more likely than the pass-through to tuition. But it's still uncertain. Of course, policymakers should worry about this. For these reasons, debt forgiveness by itself is highly unlikely to have been the optimal policy"
Altonji,Joseph,Agree,4,I expect a small positive impact on inflation.,Uncertain,4,,Agree,4,
Auerbach,Alan,Uncertain,3,,Agree,3,,Agree,5,
Autor,David,Uncertain,6,"Since no student has paid federal loan debt since the start of the pandemic, this is not an immediate inflection point in household liquidity, but it does raise lifetime wealth of borrowers -- which should spur at least a bit more spending  ",Uncertain,5,Weakly agree,Agree,5,"Weakly agree. One can imagine amnesty cycles every 8 or 12 years, whenever Dems occupy the White House. "
Baicker,Katherine,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Banerjee,Abhijit,Uncertain,6,,Disagree,6,,Uncertain,6,
Bertrand,Marianne,Agree,2,,Uncertain,5,,Uncertain,5,
Brunnermeier,Markus,Uncertain,6,,Agree,6,,Uncertain,3,
Chetty,Raj,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Chevalier,Judith,Agree,4,,Disagree,4,"This statement has to be (other things equal) directionally collect, but I don't see the argument that this particular intervention x the possible credibility of it being one-time nature gets us to ""substantially"" here. ",Uncertain,1,
Cutler,David,Agree,4,,Disagree,3,,Disagree,4,
Deaton,Angus,Agree,7,,Agree,7,,Agree,5,
Duffie,Darrell,Disagree,3,"This is a moderate to substantial fiscal stimulus, perhaps on the order of a half trillion dollars. And probably relieves spending constraints on those with a higher-than-average marginal propensity to consume.",Uncertain,2,,Agree,2,"This debt relief does seem to create a precedent, on which some students or prospective students will place some faith. That's speculative, but natural."
Edlin,Aaron,Agree,8,The loan relief is not a huge change in U.S. household wealth nor income,Agree,1,"Government loans are a substantial share of tuition.  If people view these as grants, then tuition looks cheaper.",Agree,3,Will students take on more debt thinking it may be forgiven?  No one knows for sure.  But quite possible. 
Eichengreen,Barry,Strongly Agree,5,,Uncertain,5,,Uncertain,1,
Einav,Liran,Agree,1,,Agree,1,,Agree,1,
Fair,Ray,Agree,5,,Uncertain,5,,Uncertain,5,
Finkelstein,Amy,Agree,3,,Uncertain,3,,Uncertain,3,
Goldberg,Pinelopi,Strongly Agree,6,,Disagree,6,,Disagree,6,
Goolsbee,Austan,Agree,3,,Agree,3,For-profit schools. Not from the forgiveness but from the ‘income driven repayment’ rule,Disagree,3,You think this will be like corporate windfall tax giveaways where they do it over and over despite overwhelming evidence showing it doesn’t work?
Greenstone,Michael,Agree,7,,Uncertain,3,,Uncertain,3,
Hall,Robert,Agree,4,Inflation is up to the Fed,Uncertain,5,"If that starts to happen, the plan will be changed (or is the IGM like the CBO in assuming no change from current law?)",Agree,5,But limited per the previous explanation.
Hart,Oliver,Disagree,7,,Disagree,5,There may be some increase but I don't see any reason to think that it will be substantial. There are more important factors determining tuition fees.,Disagree,6,I don't see think that it is reasonable to suppose that loan forgiveness will be a regular occurrence just because it has happened once. It would be fool-hardy for students to make plans based on this assumption.
Holmström,Bengt,Agree,4,,Disagree,4,,Disagree,4,
Hoxby,Caroline,Uncertain,6,,Agree,10,"It will probably increase tuition substantially at for-profit, predatory postsecondary schools. At public & non-profit schools, evidence on tuition increases induced by financial aid is weak to mixed. Some for-profit schools are now classifying as non-profit (see URL). ",Strongly Agree,10,"All countries in the world that have created similar loan forgiveness programs generate an expectation of future loan amnesty. Thus, they have low repayment rates (below 50%) because students expect their loans to be forgiven. Students stop distinguishing between loans & grants."
Hoynes,Hilary,Agree,8,Since loans are currently not being paid - the net effect of the policy is for more loans to be paid out. ,Uncertain,8,,Uncertain,8,
Judd,Kenneth,Strongly Agree,8,The amount of money is too small relative to the economy.,Uncertain,6,"Subsidies will raise demand for college but that will push tuition up only if there is no supply response. In that case, Federal policy should turn its attention to the limited supply of college education services.",Agree,3,This could happen if there is no policy change. Better would be addressing college financing and supply issues in a credible and effective manner.
Kaplan,Steven,Disagree,6,"With a potential $1 trillion price tag, should increase demand somewhat which will increase prices.",Uncertain,4,Depends on expectations of future loan forgiveness.,Uncertain,4,
Kashyap,Anil,Agree,7,We don't understand inflation very well and right now there are so many unusual factors that it is seem unlikely that there will be a substantial effect because of this. ,Uncertain,3,"Probably too early to tell what the new equilibrium will be, will there be further forgiveness?  ",Uncertain,1,
Klenow,Pete,Strongly Agree,5,,Uncertain,3,,Uncertain,3,
Levin,Jonathan,Uncertain,3,Payments already were paused. Perhaps an immediate resumption with no forgiveness would j have weakened demand and affected inflation. ,Uncertain,4,The income contingent repayment makes borrowing more attractive. Hard to know if future students will anticipate more loan forgiveness. ,Uncertain,4,
Maskin,Eric,Uncertain,4,"In principle, the plan should be inflationary, but I don't know how strong this effect would be.",Agree,5,,Agree,4,Theory suggests that students might take on more debt. How big an effect this would be is hard to judge
Nordhaus,William,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Obstfeld,Maurice,Agree,4,,Disagree,3,,Disagree,3,
Saez,Emmanuel,Agree,6,,Disagree,4,,Uncertain,5,
Samuelson,Larry,Disagree,6,"The loan forgiveness by itself is sufficiently small that it may have little effect inflation, but expectations are an essential force driving inflation, and the loan forgiveness can reinforce the notion that the administration is not taking effective action to stem inflation.",Agree,6,Universities are adept at capturing tuition assistance in higher tuition.,Agree,6,"This is the classic bail-out quandary.  It is difficult to know, but one suspects that such bail-outs induce anticipation of future bail-outs."
Scheinkman,José,Agree,5,It should increase inflation but the impact should not be substantial.,Agree,5,"Even though it is supposed to be one-off, for profit colleges, specially,  will probably argue that new loans will be only partially enforced. ",Agree,5,"Even though it is supposed to be  one-off, some students may be convinced by deceptive marketing  by unscrupulous schools arguing that future forgiveness is probable. "
Schmalensee,Richard,Agree,3,,Agree,3,"""Substantially"" may be a reach.",Agree,5,
Shapiro,Carl,Uncertain,4,,Agree,3,,Agree,3,
Shimer,Robert,Uncertain,5,"It is inflationary, but the impact may not be substantial",Agree,7,,Strongly Agree,7,
Stock,James,Agree,5,,Disagree,3,,Uncertain,3,
Thaler,Richard,No Opinion,,"I have no idea how this program is going to work, and neither do my most informed colleagues. So offering any opinions seems premature. ",No Opinion,,,No Opinion,,
Udry,Christopher,Agree,7,It's too small to have a substantial impact.,Agree,5,,Uncertain,4,There are a lot of steps in this chain: students' borrowing response to changes in expectations about future government policy based on a change in current policy. Each is uncertain.
