Last Name,First Name,"When local governments compete by offering subsidies to a firm that is willing to relocate, and shopping across multiple alternative areas, the firm typically captures most of value that is created via the relocation.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,A federal prohibition against states and municipalities offering tax subsidies to attract specific businesses that are shopping across multiple areas to relocate would be welfare improving for the average taxpayer.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Uncertain,3,"Very hard to know the answer to this. I would find it hard to believe that they could capture all of the games, but they may capture a lot.",Agree,3,Businesses have become too powerful; such competition is one more step in that direction. But we should think about excessive agglomeration.
Alesina,Alberto,Agree,2,,Agree,6,
Altonji,Joseph,Uncertain,2,,Disagree,2,
Auerbach,Alan,Uncertain,3,,Agree,3,
Autor,David,Uncertain,5,"This seems plausible, but I have no way to know. Nether the firm nor the host government can precisely forecast what value will result. ",Agree,5,"On average, I suspect these agreements rip off taxpayers. There are certainly exceptions. But the expected value is probably  negative"
Baicker,Katherine,Uncertain,3,,Uncertain,3,
Banerjee,Abhijit,Uncertain,6,Hard to imagine that there is a general rule here: there must be specific features of locations that firms value a lot in some cases,Agree,6,
Bertrand,Marianne,Agree,3,,Agree,2,
Brunnermeier,Markus,Did Not Answer,,,Did Not Answer,,
Chetty,Raj,Did Not Answer,,,Did Not Answer,,
Chevalier,Judith,Agree,10,"The locality should pay WTP of the 2nd highest WTP locality. W/ spillover heterogeneity, the firm shouldn't capture whole surplus.",Uncertain,6,
Cutler,David,Agree,6,,Agree,6,
Deaton,Angus,Agree,4,,Disagree,3,
Duffie,Darrell,Uncertain,1,"This is a reasonable proposition, based on the ""auction"" that is created, but I am just not familiar enough with the setting.",Uncertain,1,
Edlin,Aaron,Did Not Answer,,,Did Not Answer,,
Eichengreen,Barry,Agree,5,,Uncertain,1,"Captures most doesn't mean captures all, so going as far as a prohibition makes me queasy.  "
Einav,Liran,Agree,7,"Evan Mast (AEJ Applied, forthcoming) studies precisely this question",Agree,7,
Fair,Ray,Uncertain,5,This question and the next one are too open ended.  ,Uncertain,5,
Finkelstein,Amy,Did Not Answer,,,Did Not Answer,,
Goolsbee,Austan,Agree,6,,Uncertain,1,
Greenstone,Michael,Disagree,7,"when subsidies tend to be largest, there are substantial benefits for firms who were there before new plant-- i.e., productivity spillovers",Disagree,6,where businesses maximize profits need not be the same location w largest spillovers; subsidies can increase welfare by drawing firms there
Hall,Robert,Agree,1,That's what auction theory implies,Agree,1,Local governments seem to believe in a naive jobs calculus.
Hart,Oliver,Agree,7,,Strongly Agree,7,
Holmström,Bengt,Agree,4,,Uncertain,3,
Hoxby,Caroline,Agree,9,"The best recent evidence on this question, which is well identified and can be interpreted as causal, suggests that the answer is yes.",Uncertain,8,The answer to this question depends on general equilibrium effects that would probably run through the political economy of tax-setting.
Hoynes,Hilary,No Opinion,,,No Opinion,,
Judd,Kenneth,Agree,8,"In a competition for a once-in-a-decade opportunity, the firm will get most of the benefits. Remember Foxconn -- WI beat ILL but will lose.",Disagree,8,"How can a law define ""shopping""? Cities subsidize stadiums because the team MIGHT get offers. Better to fix municipal bond tax rules."
Kaplan,Steven,Uncertain,10,"The distribution of gains depends on many factors, including competence, corruption, competition and externalities.",Uncertain,4,
Kashyap,Anil,Agree,7,"Boeing, Foxconn, countless professional sports teams to give a few examples",Agree,3,"optimal tax code would be very different than the current one, but an arms race in subsidies seems inefficient"
Klenow,Pete,Uncertain,5,,Uncertain,5,
Levin,Jonathan,Uncertain,4,"Firms surely capture some surplus from this type of competition; I'm less sure about ""most"" and ""typically"". ",Uncertain,4,"Probably would prevent some wasteful competition, but this seems like a pretty heavy handed regulation. "
Maskin,Eric,Agree,5,This is a standard instance of monopoly power on the part of the firms.,Agree,3,"The evidence suggest that average taxpayers in winning cites lose out, so ban may help. But why cities overbid is not clear to me."
Nordhaus,William,Uncertain,6,,Agree,1,
Saez,Emmanuel,Agree,7,,Strongly Agree,9,Tax subsidies for business relocation is an aggressive form of tax competition which ought to be regulated by the central government.
Samuelson,Larry,Agree,8,,Agree,8,
Scheinkman,José,Agree,8,Except when a location would benefit much more from the move than all the alternative locations.,Disagree,7,Moves may produce benefits that are not captured by the firm relocating
Schmalensee,Richard,Agree,6,,Strongly Agree,8,
Shapiro,Carl,Did Not Answer,,,Did Not Answer,,
Shimer,Robert,Disagree,8,There is substantial evidence of spillovers not captured by the firm. This is central to most theories of agglomeration.,Disagree,6,Prohibiting competition across jurisdictions is Pareto inefficient. There are better ways to help the average taxpayer.
Stock,James,Did Not Answer,,,Did Not Answer,,
Thaler,Richard,Uncertain,1,Probably true. Winners curse hurts the bidders. But nothing says the firm gets all the rents. ,Disagree,4,Guessing this would just make the competition less transparent. 
Udry,Christopher,Strongly Agree,4,,Agree,4,"I would not be surprised to discover unanticipated consequences of an attempt to ban such competition, but it's worth trying. "
