Last Name,First Name,"The FTC is opposed to Kroger’s proposed acquisition of Albertsons. Critics argue that with sufficient divestitures, the deal would be consistent with past FTC policies.



Kroger’s proposed acquisition of Albertsons would lead to substantially higher grocery prices and/or lower product quality/services for customers of the two companies in locations where both are present.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,Kroger’s proposed acquisition of Albertsons would have a substantially negative effect on workers at the two companies in locations where both are present.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Aguiar,Mark,Uncertain,1,,Uncertain,1,
Altonji,Joseph,Agree,3,,Uncertain,4,
Auerbach,Alan,Uncertain,3,,Uncertain,3,
Autor,David,Agree,5,,Agree,7,
Banerjee,Abhijit,Did Not Answer,,,Did Not Answer,,
Bergemann,Dirk,Strongly Agree,9,"The grocery market is a very competitive business, but with consolidation competition vanishes.",Strongly Agree,9,"with less competition for workers, and fewer stores, there are fewer jobs."
Bertrand,Marianne,Agree,1,,Disagree,1,
Brunnermeier,Markus,Uncertain,2,,Uncertain,1,
Chevalier,Judith,Agree,7,There may be a set of divestitures and buyer that would be reasonable but likely not the propoaed ones. ,Uncertain,8,
Cutler,David,Agree,4,,Agree,4,
Duffie,Darrell,Uncertain,1,,Uncertain,1,
Edlin,Aaron,Agree,6,,Agree,6,
Eichengreen,Barry,Uncertain,3,,Uncertain,3,
Einav,Liran,Agree,1,,Uncertain,1,
Fair,Ray,Uncertain,5,,Disagree,5,
Glaeser,Edward,Disagree,3,"Many of these markets have other sources of competition -- and all have access to Amazon.  Many chains have difficulty having place specific prices, which also limits the ability to exploit local market power. ",Disagree,6,It seems quite unlikely to me that a couple of grocery stores are effective monopsonists in any market.  
Goldberg,Pinelopi,No Opinion,,,No Opinion,,
Greenstone,Michael,Agree,5,,Disagree,3,
Hart,Oliver,Agree,6,,Agree,6,
Holmström,Bengt,Agree,4,,Uncertain,4,
Hoxby,Caroline,Agree,10,,Uncertain,5,
Hoynes,Hilary,No Opinion,,,No Opinion,,
Hurst,Erik,Disagree,8,,Strongly Disagree,8,
Judd,Kenneth,Disagree,7,,Strongly Disagree,8,
Kaplan,Steven,Disagree,7,"There is a great deal of competition from Wal-mart, Costco, Amazon, etc.",Uncertain,7,"Might cost some overlapping jobs, but would make the remaining jobs more secure and sustainable."
Kashyap,Anil,Uncertain,3,"Substantial is a high bar, especially given the limited overlap in many markets",Disagree,3,there are lots of other job options for these workers 
Klenow,Pete,Agree,2,,Agree,2,
Levin,Jonathan,Uncertain,4,,Uncertain,3,
Maskin,Eric,Agree,6,,Agree,6,
Nordhaus,William,Did Not Answer,,,Did Not Answer,,
Obstfeld,Maurice,Agree,2,,Agree,2,
Pathak,Parag,Uncertain,6,,Uncertain,7,
Samuelson,Larry,Agree,4,,Uncertain,1,
Scheinkman,José,No Opinion,,,No Opinion,,
Schmalensee,Richard,Disagree,4,"There is no reason why the problems the merger would pose in some markets can't be solved by targeted divestitures, which the companies have proposed.",Disagree,7,"The workers are unionized, and they are able to work at non-grocery retailers and other firms. Again, divestitures should handle any real problems"
Scott Morton,Fiona,Strongly Agree,9,If both stores are in the same geography then they compete head to head.,Uncertain,8,"If the workers have enough specialized skills and face moving costs, this could be the case. The answer depends on the evidence."
Shapiro,Carl,Did Not Answer,,,Did Not Answer,,
Shimer,Robert,Uncertain,1,,Disagree,5,
Stantcheva,Stefanie,Uncertain,4,,Uncertain,5,
Stock,James,Did Not Answer,,,Did Not Answer,,
Stokey,Nancy,Agree,9,less competition will raise prices and reduce quality,Uncertain,5,"the affected workers have many outside options, so it is unclear it the merger would affect them substantially"
Syverson,Chad,Did Not Answer,,,Did Not Answer,,
Thaler,Richard,Uncertain,1,,Disagree,1,
Udry,Christopher,Did Not Answer,,,Did Not Answer,,
Werning,Ivan,No Opinion,,,No Opinion,,
Acemoglu,Daron,Did Not Answer,,,Did Not Answer,,
