Last Name,First Name,"The combination of scientific progress, technological innovation, and openness to new ideas underpinned the emergence of sustained economic growth in the Industrial Revolution.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,"The process of creative destruction – in which innovation continually leads to the disruptive displacement of existing jobs, products, firms, and industries – has been a substantial contributor to sustained economic growth.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Acemoglu,Daron,Agree,4,"Yes, but I would also add major institutional changes and the evolving balance of political and social power as key factors.",Agree,6,"Yes, but this does not mean that all growth comes from job destruction or broader disruption. Nor does it imply that the amount of job destruction is optimal in a growing economy -- there can be excessive disruption and the wrong direction of technology, esp. with automation."
Aguiar,Mark,Strongly Agree,8,,Strongly Agree,8,
Altonji,Joseph,Strongly Agree,7,,Agree,7,
Auerbach,Alan,Agree,7,,Agree,7,
Autor,David,Strongly Agree,8,,Strongly Agree,7,
Banerjee,Abhijit,Agree,5,,Uncertain,5,
Bergemann,Dirk,Strongly Agree,8,,Agree,8,
Bertrand,Marianne,Agree,9,,Agree,6,
Brunnermeier,Markus,Strongly Agree,9,,Strongly Agree,7,
Chevalier,Judith,Strongly Agree,9,,Strongly Agree,10,
Cutler,David,Strongly Agree,7,,Strongly Agree,7,
Duffie,Darrell,Agree,2,,Agree,2,
Edlin,Aaron,Strongly Agree,1,"Clearly true. One could quibble. Openness compared to what?  Being totally closed would be a disaster and shut down progress. Being too open leads to what I have dubbed as switcher's curse.  See ""conservatism and switchers curse"". Were we close to optimally open? Doubtful. ",Strongly Agree,1,We might say that technological progress leads to growth and any openness to such progress is likely to lead to destruction of the old ways. And some adjustment costs. Creative destruction is poetic but not as profound as its adherents pretend.
Eichengreen,Barry,Strongly Agree,5,,Strongly Agree,5,
Einav,Liran,Agree,1,,Agree,1,
Fair,Ray,Agree,5,,Agree,5,
Glaeser,Edward,Agree,8,,Agree,8,
Goldberg,Pinelopi,Agree,7,,Agree,7,
Greenstone,Michael,Strongly Agree,5,,Strongly Agree,7,
Hart,Oliver,Agree,7,,Agree,8,
Hoxby,Caroline,Agree,5,,Agree,5,
Hoynes,Hilary,No Opinion,,,Agree,5,
Hurst,Erik,Agree,4,,Agree,3,
Judd,Kenneth,Strongly Agree,9,,Strongly Agree,8,
Kaplan,Steven,Agree,3,,Agree,9,
Kashyap,Anil,Agree,5,,Strongly Agree,7,
Klenow,Pete,Strongly Agree,8,,Strongly Agree,10,
Levin,Jonathan,Agree,8,,Strongly Agree,8,
Maskin,Eric,Agree,7,,Agree,7,
Nordhaus,William,Strongly Agree,10,,Agree,7,
Obstfeld,Maurice,Strongly Agree,4,,Agree,3,
Pathak,Parag,Did Not Answer,,,Did Not Answer,,
Samuelson,Larry,Strongly Agree,8,,Strongly Agree,1,
Scheinkman,José,Agree,7,,Agree,7,
Schmalensee,Richard,Strongly Agree,6,,Strongly Agree,6,
Scott Morton,Fiona,Agree,10,,Strongly Agree,9,
Shapiro,Carl,Strongly Agree,10,,Strongly Agree,10,
Shimer,Robert,Strongly Agree,8,,Strongly Agree,8,
Stantcheva,Stefanie,Did Not Answer,,,Did Not Answer,,
Stock,James,Strongly Agree,5,"Along with the emergence of institutions to ensure property rights, limited liability corporations, rule by law, and the development of financial markets (the institutions of capitalism).",Agree,5,
Stokey,Nancy,Strongly Agree,10,,Strongly Agree,10,
Syverson,Chad,Strongly Agree,10,,Strongly Agree,10,Oodles of empirical evidence at the micro level showing how important this process is for productivity and income growth.
Thaler,Richard,Did Not Answer,,,Did Not Answer,,
Udry,Christopher,Strongly Agree,10,"Joel Mokyr writes beautifully about this. His book ""A Culture of Growth"" is a great place to start. It's economic history intertwined with the history of ideas and of technology and a vivid discussion of the interplay between practice and knowledge. ",Strongly Agree,10,... and its lack too often the source of stagnation.
Werning,Ivan,Strongly Agree,7,,Strongly Agree,7,
