Last Name,First Name,Doubling existing tariffs on imports from China of critical production components in solar energy manufacturing will provide a substantial boost to employment in the domestic 'cleantech' sector over the next five years.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,Disruptions to global supply chains from new tariffs and trade wars will lead to measurably slower global growth over the next five years.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Acemoglu,Daron,Uncertain,3,"This could happen if coupled with strong support for clean technologies and electric cars, but even in that case the effect may fall short of ""substantial"". The evidence that previous tariffs on China increased employment is very thin.",Agree,2,"This is also certain, but more likely to be true. Such tariffs will disrupt supply chains, which can have a meaningful short-run impact."
Aguiar,Mark,Agree,6,,Agree,7,
Altonji,Joseph,Uncertain,3,,Strongly Agree,6,
Auerbach,Alan,Uncertain,3,,Agree,5,
Autor,David,Disagree,7,"So far, we see no evidence that Trump/Biden tariffs have led to manufacturing rebound. Meanwhile, subsidies from IRA appear to be working well, as measured by dramatic increase in US manufacturing investment. Trump will likely eliminate those, however.",Agree,6,The challeng is the counterfactual. Trump inherited a great economy and is about to cut taxes (unsustainably) and remove regulations on critical sectors like banking and consumer protections. We will party like it's 1999. Harm from tariffs may be inaudible against background din
Banerjee,Abhijit,Uncertain,5,,Uncertain,5,
Bergemann,Dirk,Agree,7,,Agree,8,
Bertrand,Marianne,Disagree,5,,Agree,8,
Brunnermeier,Markus,Uncertain,7,,Agree,7,
Chevalier,Judith,Disagree,6,,Uncertain,6,
Cutler,David,Strongly Agree,5,,Agree,6,
Duffie,Darrell,Uncertain,2,,Strongly Agree,3,
Edlin,Aaron,Uncertain,6,Simple economics suggests more employment in domestic substitutes but less in complements. ,Agree,6,
Eichengreen,Barry,Disagree,5,,Strongly Agree,5,
Einav,Liran,Uncertain,1,,Agree,1,
Fair,Ray,Disagree,5,,Agree,5,
Glaeser,Edward,Strongly Disagree,8,,Agree,7,
Goldberg,Pinelopi,Disagree,9,,Uncertain,8,"Most likely yes. But the extent of disruptions is uncertain, and there are many other factors affecting global growth"
Greenstone,Michael,Disagree,7,,Uncertain,1,Magnitude of disruptions unclear so impacts v difficult to gauge 
Hart,Oliver,Agree,6,,Agree,7,
Holmström,Bengt,Agree,3,,Agree,5,
Hoxby,Caroline,Uncertain,10,,Strongly Agree,10,
Hoynes,Hilary,No Opinion,,,No Opinion,,
Hurst,Erik,Disagree,9,,Disagree,5,
Judd,Kenneth,Uncertain,6,"Cleantech faces many hurdles, including zoning problems and hiring qualified people.",Agree,5,
Kaplan,Steven,Uncertain,3,Huge uncertainty on actions and reactions makes it difficult to predict.,Uncertain,3,"Higher tariffs matched by higher tariffs likely to be costly.  Again, uncertainty concerns actions and reactions."
Kashyap,Anil,Disagree,1,,Strongly Agree,7,what mechanism says this will be good for global growth?
Klenow,Pete,Agree,2,,Uncertain,3,
Levin,Jonathan,Agree,4,,Uncertain,4,
Maskin,Eric,Disagree,4,,Agree,7,
Nordhaus,William,Disagree,7,,Agree,8,
Obstfeld,Maurice,Disagree,4,,Agree,4,
Pathak,Parag,Uncertain,1,,Agree,4,
Samuelson,Larry,Uncertain,1,"Tariffs will prompt substitution from Chinese to domestic manufacturers of some products, but will also raise domestic prices.  The net effect on domestic production and employment is unclear.",Strongly Agree,8,
Scheinkman,José,Disagree,8,The US has a growing module manufacturing industry that depends on Chinese components such as wafers. Increasing the price of wafers would increase the cost of producing modules and result in fewer new solar facilities. ,Strongly Agree,9,"If there are substantial increases in tariffs,  global growth would substantially suffer. "
Schmalensee,Richard,Strongly Disagree,6,It is hard to see how making inputs more expensive will boost production and employment.,Strongly Agree,8,
Scott Morton,Fiona,Disagree,8,,Agree,8,
Shapiro,Carl,Disagree,6,,Agree,3,
Shimer,Robert,Uncertain,5,,Agree,3,
Stantcheva,Stefanie,Uncertain,6,,Agree,4,A force pulling towards higher growth is the boom in AI technologies. 
Stock,James,Agree,8,"""Substantial"": By standards of this industry which is capital not labor intensive. Module production has shifted in response to tariffs. Cell production might if there aren't ways to get around the tariff. Total solar employment is likely to fall if you include installers.",Agree,5,
Stokey,Nancy,No Opinion,,,Uncertain,1,
Syverson,Chad,Uncertain,6,"If the tariffs are just on China (who knows what likelihood that is), then there is a lot of scope for substitution besides reshoring, so unclear what the domestic effect will be.",Uncertain,4,Quite possible but not yet clear whether it is probable.
Thaler,Richard,Uncertain,1,,No Opinion,,"I don't know what we are supposed to assume. Yes, if there are major trade wars that will be bad. Will they happen? Who knows. "
Udry,Christopher,Disagree,3,"Employment in some specific import-competing companies will surely rise; employment further down the product chain will fall, and the overall disruptions from the ensuing trade war will reduce employment in ""cleantech"".",Agree,5,My hope is that the world can somehow avoid competitive tarrif increases and the proliferation of non-tarrif barriers that seem to be around the corner. It's a dark path.
