Last Name,First Name,"Long run fiscal sustainability in the US will require some combination of cuts in currently promised Medicare, Medicaid and Social Security benefits and/or tax increases that include higher taxes on households with incomes below $250,000.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Agree,4,"Yes as long as ""cuts"" are interpreted as slower than projected growth. Provided that economic growth continues, no need for level cuts"
Alesina,Alberto,Did Not Answer,,
Altonji,Joseph,Agree,7,Raising efficiency of US healthcare to level of other developed countries would dramatically reduce need for tax increases and benefit cuts
Auerbach,Alan,Strongly Agree,10,
Autor,David,Agree,6,
Baicker,Katherine,Agree,3,
Banerjee,Abhijit,Uncertain,7,
Bertrand,Marianne,Uncertain,1,
Brunnermeier,Markus,Did Not Answer,,
Chetty,Raj,Agree,9,
Chevalier,Judith,Did Not Answer,,
Cutler,David,Disagree,6,"There are ways of making the health care programs much more efficient, which would obviate the need for tax increases for some time."
Deaton,Angus,No Opinion,,Does the question include a potential VAT? Other taxes? 
Duffie,Darrell,Agree,3,
Edlin,Aaron,Agree,5,
Eichengreen,Barry,Uncertain,5,"You tell me the growth rate of GDP and evolutiom of relative health care costs, and I'll tell you..."
Einav,Liran,Agree,5,
Fair,Ray,Agree,5,
Finkelstein,Amy,Did Not Answer,,
Goldberg,Pinelopi,Did Not Answer,,
Goolsbee,Austan,Uncertain,1,doesn't have to. we are cursed with the blessing of choice on this issue: nothing happens b/c everyone says 'let's let the other guy pay'
Greenstone,Michael,Did Not Answer,,
Hall,Robert,Did Not Answer,,
Hart,Oliver,Uncertain,5,It all depends on how much revenue can be raised by increasing taxes on those earning more than 250K. I don't know the answer to this.
Holmström,Bengt,Did Not Answer,,
Hoxby,Caroline,Strongly Agree,10,
Hoynes,Hilary,No Opinion,,
Judd,Kenneth,Agree,6,
Kaplan,Steven,Strongly Agree,10,The math becomes more inevitable (and uglier) after 2020.
Kashyap,Anil,Agree,7,
Klenow,Pete,Strongly Agree,7,
Levin,Jonathan,Agree,5,Seems likely especially if health care costs grow. 
Maskin,Eric,Agree,8,
Nordhaus,William,Agree,6,
Saez,Emmanuel,Uncertain,7,
Samuelson,Larry,Strongly Agree,8,
Scheinkman,José,Agree,7,
Schmalensee,Richard,Agree,7,
Shapiro,Carl,Did Not Answer,,
Shimer,Robert,Agree,7,
Thaler,Richard,Uncertain,1,Impossible to answer without knowing more.  What are the alternative revenue sources? 
Udry,Christopher,Agree,2,
