Last Name,First Name,"All else equal, permanently raising the federal marginal tax rate on ordinary income by 1 percentage point for those in the top (i.e., currently 35%) tax bracket would increase federal tax revenue over the next 10 years.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,The cumulative budget shortfalls in the US over the next 10 years can be reduced by half (or more) purely by increasing the federal marginal tax rate on ordinary income for those in the top tax bracket.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Strongly Agree,6,"Disincentive effects on labor supply and entrepreneurship, and tax avoidance are likely, but not large enough to reduce revenues.",Strongly Disagree,6,"More comprehensive increases in taxes and reduction in tax expenditures, or preferably systematic means testing of SS-Medicare are necessary"
Alesina,Alberto,Agree,8,,Strongly Disagree,10,
Altonji,Joseph,Strongly Agree,9,The labor supply literature strongly suggests that the revenue gain from a higher rate will outweigh a small reduction in labor supply.,Disagree,8,"Broad based tax reform and reductions in projected expenditures, particularly on health, will be required."
Auerbach,Alan,Agree,8,,Strongly Disagree,9,
Autor,David,Strongly Agree,9,We are nowhere near the downward sloping side of the Laffer curve. ,Disagree,6,"Unfortunately, not enough income there to do it (I think)"
Baicker,Katherine,Agree,7,"Bigger question is what the economic cost would be, but unlikely to be so large that revenues would actually decline.",Uncertain,6,"I think depends on how shortfall defined (current law vs. current policy, etc.) - but not a good idea in either case, esp. in longer run."
Bertrand,Marianne,Strongly Agree,5,,Uncertain,5,
Chetty,Raj,Strongly Agree,10,,Disagree,9,
Chevalier,Judith,Strongly Agree,9,The behavioral response cannot possibly be big enough to wipe out the revenue gains.  ,Uncertain,5,"My back of the envelope suggests no, but I think a PF person would have more of the numbers at their disposal.  "
Currie,Janet,Agree,8,"There are many people in the top bracket, and while some would be able to change their behavior to offset the increased tax, not all would.",Disagree,8,"Medicare (and to a lesser extent Social Security) are big drivers of the deficit, so changes are necessary to bring it under control."
Cutler,David,Strongly Agree,8,The elasticities are not that high.,Uncertain,5,I don't know offhand what the estimates are at different elasticities.
Deaton,Angus,Strongly Agree,8,This seems quite clear.,Uncertain,1,I don't know the magnitudes well enough to know whether or not this is likely to be the case.
Duffie,Darrell,Agree,6,"Is the net effect on revenues negative because of the impacts on avoidance and earning efforts? That's not clear, but probably not. ",Uncertain,2,It is a difficult question (for me at least). 
Edlin,Aaron,Agree,7,Labor elasticity should be less than 1 and might in fact go either way. Federal Revenue could be used in helpful ways.,Disagree,8,"According to CBO estimates, maybe if rates go sky high.  According to Gale and Auerbach, deficit far too big. links on my webpage."
Eichengreen,Barry,Agree,6,,Disagree,7,
Fair,Ray,Strongly Agree,10,This would not put us on the bad part of the Laffer curve.  ,No Opinion,,I don't know the tax distribution data well enough.  
Goldberg,Pinelopi,Agree,6,"A 1% increase seems too small to impact hours worked, productivity or consumption in the top bracket.",Disagree,6,"Tremendous uncertainty around these projections. Also, given the complexity of the tax code,  taxpayers find ways around specific rate hikes"
