Last Name,First Name,"One drawback of taxing capital income at a lower rate than labor income is that it gives people incentives to relabel income that policymakers find hard to categorize as ""capital"" rather than labor"".",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,"Despite relabeling concerns, taxing capital income at a permanently lower rate than labor income would result in higher average long-term prosperity, relative to an alternative that generated the same amount of tax revenue by permanently taxing capital and labor income at equal rates instead.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,"Although they do not always agree about the precise likely effects of different tax policies, another reason why economists often give disparate advice on tax policy is because they hold differing views about choices between raising average prosperity and redistributing income.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Agree,6,,Disagree,6,Two things are ott confused. Continuously taxing savings is hugely inefficient. Taxing income at source even if it is capital income isn't.,Strongly Agree,7,
Alesina,Alberto,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Altonji,Joseph,Agree,5,,Uncertain,4,,Agree,5,
Auerbach,Alan,Strongly Agree,9,,Strongly Agree,9,,Agree,7,
Autor,David,Strongly Agree,9,See work of Diamond and Saez in JEP: The Case for a Progressive Tax: From Basic Research to Policy Recommendations,Uncertain,5,My fear is that the distortions from relabeling the potential gains from lower capital taxes in the second best world in which we live.,Strongly Agree,7,"Main reasons: diffs in social prefs and differ in priors about ""elasticity"" of responses to taxes + regs. Most agree on signs not magnitudes"
Baicker,Katherine,Agree,4,,Agree,3,,Strongly Agree,5,
Bertrand,Marianne,Agree,3,,Uncertain,3,,Agree,3,
Chetty,Raj,Strongly Agree,8,,Uncertain,9,,Strongly Agree,9,
Chevalier,Judith,Strongly Agree,9,,Agree,6,,Agree,8,
Currie,Janet,Agree,8,,Disagree,7,,Agree,9,
Cutler,David,Strongly Agree,10,,Agree,5,I prefer not to think of all capital as the same. ,Uncertain,5,I don't like the phrasing of 'average' in the question. 
Deaton,Angus,Strongly Agree,8,,Uncertain,3,,Strongly Agree,7,
Duffie,Darrell,Agree,3,"The incentive this creates to recategorize is clear. That this results in a drawback seems right, but less clear to me.",Agree,3,"This seems right on average to me, but does it need to be true under all conditions? Of this I am less confident. ",Strongly Agree,9,My anecdotal experience is that economists differ widely on the relative costs of income heterogeneity (equity versus efficiency).
Edlin,Aaron,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Eichengreen,Barry,Agree,8,,Uncertain,5,,Agree,8,
Fair,Ray,No Opinion,,,No Opinion,,,No Opinion,,
Goldberg,Pinelopi,Agree,6,,Uncertain,5,,Agree,6,
Goldin,Claudia,Agree,2,,Uncertain,1,,Agree,1,
Goolsbee,Austan,Strongly Agree,10,yes,Uncertain,10,lots of conflicting results in the research in this area,Agree,9,
Greenstone,Michael,Strongly Agree,7,,Agree,2,Standard theory is clear that this is good for growth but empirical work is less clear.    Is std theory wrong or is evidence not credible?,Agree,7,
Hall,Robert,Disagree,6,"Apart from the issue of carried interest, this is not a big issue in taxation. ",Agree,8,Mirrlees-type arguments for taxation of the return to capital involve a sacrifice of the total size of the pot to bring about redistribution,Agree,9,The key parameter is the elasticity of substitution in the social welfare function across people. We don't agree on that.
Holmström,Bengt,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Hoxby,Caroline,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Judd,Kenneth,Agree,10,,Strongly Agree,10,,Agree,8,
Kashyap,Anil,Agree,5,"don't know how successful they are, but the incentives are clear",Agree,1,But the levels of rates matter and just getting the rate capital down might have no meaningful effects.  ,Strongly Agree,7,"This is a powerful factor that is often overlooked: the efficiency vs equity debate is still alive, even if sometimes hidden."
Klenow,Pete,Strongly Agree,5,,Agree,5,"Not what every study finds, but most I have seen.",Agree,5,Positive (more agreement) vs. Normative (less agreement).
Lazear,Edward,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Levin,Jonathan,Agree,5,,Uncertain,1,,No Opinion,,
Maskin,Eric,Agree,7,,Agree,7,"this is probably true if ""average prosperity"" means income per capita",Agree,7,"if ""average prosperity"" means average income per capita"
Nordhaus,William,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Obstfeld,Maurice,Strongly Agree,7,,Agree,7,,Agree,7,
Saez,Emmanuel,Strongly Agree,9,,Strongly Disagree,8,,Agree,8,
Scheinkman,José,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Shin,Hyun Song,Uncertain,3,,Uncertain,3,,Agree,8,
Stokey,Nancy,Strongly Agree,10,,Disagree,8,Most evidence points to technical change as the main force behind long run growth.  Capital accumulation plays a role only in the short run.,Agree,10,
Thaler,Richard,Strongly Agree,9,"See Romney, Mitt.  ",Disagree,5,If you tax investment income what will people do?  Stuff their money in the mattress?,Agree,4,duh
Udry,Christopher,Agree,7,,Agree,4,,Strongly Agree,9,
Zingales,Luigi,Strongly Agree,8,,Uncertain,3,,Agree,4,
,,Strongly Agree,8,,Agree,3,,Agree,5,
