Last Name,First Name,"Because federal spending on Medicare and Medicaid will continue to grow under current policy beyond the 10-year window of most political budget debates, it is easy for a politician to devise a budget plan that would reduce federal deficits over the next decade without really making the U.S. fiscally sustainable.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,"Comparing two plans that would reduce federal budget deficits by identical amounts in each of the next 10 years, one that did so partly by reducing significantly the long-term growth rate of Medicare and Medicaid spending would do more to make the U.S. budget fiscally sustainable than one that did not lower the growth of these spending programs.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Agree,4,,Uncertain,4,Alternative could be as sound if it reduced growth rate of Social Security (e.g. by means testing) and reduced inefficient tax deductions.
Alesina,Alberto,Strongly Agree,9,,Strongly Agree,10,
Altonji,Joseph,Strongly Agree,8,"""Easy"" is too strong, but the growth rate of medical costs and adverse demographic trends pose long term problems",Strongly Agree,9,
Auerbach,Alan,Strongly Agree,9,,Strongly Agree,9,
Autor,David,Disagree,7,"With or w/o Medicare, it's hard to do a budget that fixes federal deficits over 10 yrs. But ignoring Med makes it easier than it should be!",Strongly Agree,10,Rising health care costs are the greatest threat to U.S. fiscal solvency (that we know of) looking over multiple decades.
Baicker,Katherine,Agree,4,,Agree,4,
Bertrand,Marianne,Agree,3,,Agree,3,
Chetty,Raj,Strongly Agree,9,,Agree,8,
Chevalier,Judith,Agree,9,,Strongly Agree,9,
Currie,Janet,Uncertain,6,"It might be easy for technocrats to devise a plan, but it seems very difficult to get politicians to do so.",Agree,9,Health care costs are driving the growth in the deficit.
Cutler,David,Disagree,7,Nothing is easy about deficit reduction. ,Strongly Agree,10,
Deaton,Angus,Strongly Agree,9,,Strongly Agree,9,
Duffie,Darrell,Strongly Agree,3,,Strongly Agree,3,
Edlin,Aaron,Agree,7,,Agree,7,"An important caveat though:  It can be difficult to know today, what will lower long term growth more than 10 years out."
Eichengreen,Barry,Uncertain,5,,Uncertain,5,
Fair,Ray,Agree,5,,Agree,5,
Goldberg,Pinelopi,Agree,6,,Agree,6,
Goldin,Claudia,Agree,3,,Uncertain,3,Depends what the alternative is.
Goolsbee,Austan,Strongly Disagree,10,"you think a significant 10 yr deficit cut would be 'easy'? welcome to earth, friend.",Agree,6,"if it meant the lower growth rate would continue, then yes, clearly"
Greenstone,Michael,Agree,3,"Disagree w word ""easy"" but agree that the budget problem for the next 10 years differs from the one over longer terms.",Strongly Agree,1,True but more revenues need to be part of solution.  We are collecting low levels of revenue by historical stds and population is aging.
Hall,Robert,Disagree,6,"Health spending spending will rise a lot in 10 years, so a plan that limited the deficit for that period of time would be a good step",Agree,5,Rationalizing Medicare and bringing contributions for higher-income families into line with benefits would be a good idea on its own.
Holmström,Bengt,Did Not Answer,,,Did Not Answer,,
Hoxby,Caroline,Did Not Answer,,,Did Not Answer,,
Judd,Kenneth,Did Not Answer,,,Did Not Answer,,
Kashyap,Anil,Strongly Agree,7,,Strongly Agree,10,"Medicare and Medicaid are (along with growth) the key factors for long term sustainability.  We never paid for the Bush plan, let alone ACA."
Klenow,Pete,Strongly Agree,10,,Strongly Agree,10,
Lazear,Edward,Did Not Answer,,,Did Not Answer,,
Levin,Jonathan,Uncertain,4,"Easier, yes, but CBO says even eliminating deficits over ten years means noticeable spending cuts and/or tax increases.",Agree,3,"Hard to disagree, but question seems too hypothetical - fiscal situation also would look better with 5%/ yr GDP growth!"
Maskin,Eric,Agree,8,,Agree,7,
Nordhaus,William,No Opinion,,,Agree,6,
Obstfeld,Maurice,Agree,7,,Agree,7,
Saez,Emmanuel,Uncertain,5,Controlling US health care costs is necessary (and not only for fiscal sustainability). But other fiscal issues also need addressing.,Agree,6,
Scheinkman,José,No Opinion,,,Agree,5,
Schmalensee,Richard,Did Not Answer,,,Did Not Answer,,
Shin,Hyun Song,Agree,5,,Agree,8,
Stokey,Nancy,Agree,9,,Agree,8,
Thaler,Richard,Agree,8,arithmetic,Agree,7,"ditto.  Real issue should be to abolish the 10 year window and especially misleading attempts to disguise things via ""temporary"" tax cuts."
Udry,Christopher,Agree,5,"""Easy"" might not be the right word.",Strongly Agree,4,
Zingales,Luigi,Agree,5,,Agree,5,
