Last Name,First Name,Adam Smith’s metaphor of the invisible hand has been foundational to the development of modern economic theory.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,Adam Smith’s metaphor of the invisible hand has been commonly misinterpreted as advocacy for pure laissez-faire capitalism.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Acemoglu,Daron,Agree,5,,Agree,5,"The invisible hand and its formalization, first welfare theorem, are beautiful and thought-provoking. But their insights should not be applied when their conditions are not met. In real world, monopoly, power, politics and other market failures are pervasive and cannot be ignored"
Altonji,Joseph,Strongly Agree,8,,Strongly Agree,8,
Auerbach,Alan,Strongly Agree,10,,Uncertain,5,
Autor,David,Agree,6,"It's a pretty compelling simile! (It's not a metaphor, as your high school English teacher dutifully taught you. I'm going to regret writing this parenthetical note.) ",Agree,6,"Reading Smith is a Rorschach test. And although Rorschach tests have no wrong answers, many have failed when it comes to Smith"
Banerjee,Abhijit,Agree,7,,Agree,6,
Bertrand,Marianne,Strongly Agree,10,,Agree,10,
Brunnermeier,Markus,Agree,8,Along with the division of labor,Agree,6,See Viner’s JPE (1926) article. Adam Smith also captured many “behavioral” aspects. 
Chetty,Raj,Did Not Answer,,,Did Not Answer,,
Chevalier,Judith,Agree,7,,Agree,8,
Cutler,David,Strongly Agree,10,,Agree,6,
Deaton,Angus,Strongly Agree,10,,Strongly Agree,10,
Duffie,Darrell,Strongly Agree,10,,Strongly Agree,10,
Edlin,Aaron,Agree,6,,Agree,7,
Eichengreen,Barry,Agree,5,,Agree,5,"I would prefer the wording ""Adam Smith's writings have been wrongly interpreted as advocacy for pure laissez-faire capitalism."""
Einav,Liran,Strongly Agree,1,,Uncertain,1,
Fair,Ray,Agree,5,,Agree,5,
Finkelstein,Amy,Did Not Answer,,,Did Not Answer,,
Goldberg,Pinelopi,Strongly Agree,10,,Strongly Agree,10,
Greenstone,Michael,Agree,4,,Agree,7,
Hall,Robert,Uncertain,1,,Uncertain,1,
Hart,Oliver,Strongly Agree,10,,Agree,7,
Holmström,Bengt,Strongly Agree,8,A catalyst for theorizing about markets and price formation - absolutely,Agree,6,
Hoxby,Caroline,Strongly Agree,10,The invisible hand is foundational to all notions of partial and general equilibrium in economics. It certainly drew me into economics and (I have no doubt) has drawn in many others as well. Any who truly understands economics implicitly relies on this concept.,Strongly Agree,10,"Only ignorant, unread, & intellectually shallow people believe that the invisible hand is equal to Laissez Faire. The concepts are entirely different/orthogonal. Conflating one concept with the other displays an unforgiveable unwillingness or gross incapacity to learn economics."
Hoynes,Hilary,Agree,8,,Agree,8,
Judd,Kenneth,Agree,8,,Agree,9,
Kaplan,Steven,Agree,6,,Agree,5,
Kashyap,Anil,Strongly Agree,9,,Agree,3,"sometimes misinterpreted for sure, lots of what he wrote has been forgotten and the caricature has taken hold.  "
Klenow,Pete,Strongly Agree,10,,Agree,5,
Levin,Jonathan,Strongly Agree,10,,Agree,8,
Maskin,Eric,Agree,7, The first welfare theorem---a fundamental finding in economic theory---is essentially a formalization of the invisible hand.,Agree,7,"Once we understand what assumptions need to hold for the first welfare theorem to go through, we see that there are many circumstances (e.g., monopoly power or externalities) where a laissez-faire approach is not warranted."
Nordhaus,William,Agree,9,A wonderful metaphor and inspirational for economist-poets. Only proven almost two centuries later with appropriate reservations.,Uncertain,9,"Didn't need this metaphor to defend social Darwinism, monopolies, cartels, and ruinous degradations of the economy and polity."
Obstfeld,Maurice,Strongly Agree,7,,Agree,7,
Saez,Emmanuel,Agree,8,,Agree,5,
Samuelson,Larry,Strongly Agree,8,"Variations on the concept of the invisible hand, culminating in the two fundamental welfare theorems, play a central role in our understanding of the possibilities and limitations of decentralized resource allocation.",Strongly Agree,8,"Too often, the conclusions of the welfare theorems are emphasized and the required conditions ignored.
"
Scheinkman,José,Strongly Agree,9,,Agree,7,
Schmalensee,Richard,Strongly Agree,8,,Uncertain,4,"Sometimes, yes, but commonly seems too strong."
Shapiro,Carl,Agree,8,,Agree,8,
Shimer,Robert,Strongly Agree,8,,Uncertain,5,"Adam Smith recognized some limits to laissez-faire capitalism, notably in his discussion of collusion; however, he argued that the government cannot prevent collusion.  It can only facilitate it through bad policies."
Stock,James,Did Not Answer,,,Did Not Answer,,
Thaler,Richard,Strongly Agree,5,,Uncertain,1,Not sure how to answer this. No data.
Udry,Christopher,Disagree,6,"The metaphor is important as it is used now, but it's not how Smith actually used the phrase.",Agree,7,Smith had much to say about the dangers of traders conspiring to manipulate markets. 
