Last Name,First Name,"US GDP is substantially higher now as a result of the passage of the TCJA than it would have been had the TCJA not been passed, and all else was equal.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,"Corporate capital stock is substantially higher now as a result of the passage of the TCJA than it would have been had the TCJA not been passed, and all else was equal.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,"Real median wages are substantially higher now as a result of the passage of the TCJA than they would have been had the TCJA not been passed, and all else was equal.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,"Federal tax revenues are substantially lower now as a result of the passage of the TCJA than they would have been had the TCJA not been passed, and all else was equal.",Confidence in this topic (10 being the highest).,URL(s) associated with your answer.  Please separate multiple URLs with a comma.,"Charitable donations are substantially lower now as a result of the passage of the TCJA than they would have been had the TCJA not been passed, and all else was equal.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,URL(s) associated with your answer.  Please separate multiple URLs with a comma.
Acemoglu,Daron,Uncertain,3,"""Substantially"" is unlikely. More spending probably increased GDP if the counterfactual is nothing. But other ways of spending the same some would have increased GDP more. Subsidizing capital often comes at the expense of labor, though there are different findings on this.",Agree,3,"Even if the effects on GDP are uncertain and does on employment could be negative, capital income tax cuts tend to increase investment.",Disagree,3,"Subsidizing equipment and digital capital also encourages automation, which does not necessarily increase wages and employment. Once again, there are different results on this in the literature, but my assessment would not be a positive effect.",Agree,3,,Uncertain,3,,
Altonji,Joseph,Disagree,3,,Disagree,3,,Disagree,5,,Agree,7,,Disagree,3,,
Auerbach,Alan,Uncertain,5,,Agree,5,,Uncertain,5,,Agree,7,,Uncertain,5,,
Autor,David,Uncertain,1,,Disagree,5,,Uncertain,1,,Agree,6,,No Opinion,,,
Banerjee,Abhijit,Disagree,7,,Uncertain,6,,Disagree,6,,Agree,3,,Uncertain,5,,
Bertrand,Marianne,Disagree,5,,Uncertain,4,,Disagree,5,,Strongly Agree,5,,Agree,1,,
Brunnermeier,Markus,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,
Chetty,Raj,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,
Chevalier,Judith,Disagree,7,,Disagree,3,,Disagree,7,,Agree,8,,Agree,8,Both the top rate effects and the decline in itemizers suggest this. ,
Cutler,David,Disagree,5,,Uncertain,5,,Disagree,5,,Strongly Agree,10,,Uncertain,5,,
Deaton,Angus,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,
Duffie,Darrell,No Opinion,,,Uncertain,2,,Uncertain,2,,Agree,4,,Uncertain,2,,
Edlin,Aaron,Uncertain,5,,Agree,6,,Uncertain,5,,Agree,6,,No Opinion,,,
Eichengreen,Barry,Disagree,5,,Disagree,5,,Disagree,5,,Uncertain,5,,Disagree,5,,
Einav,Liran,Uncertain,1,,No Opinion,,,Uncertain,1,,Agree,1,,Uncertain,1,,
Fair,Ray,Agree,5,,Agree,5,,Disagree,5,,Disagree,5,,Uncertain,5,,
Finkelstein,Amy,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,
Goldberg,Pinelopi,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,
Greenstone,Michael,Disagree,4,,Disagree,5,,Disagree,5,,Agree,4,,Uncertain,4,,
Hall,Robert,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,
Hart,Oliver,Disagree,6,,Disagree,6,,Disagree,6,,Agree,7,,Uncertain,5,,
Holmström,Bengt,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,
Hoxby,Caroline,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,
Hoynes,Hilary,Disagree,6,,Uncertain,5,,Disagree,8,,Agree,8,,Uncertain,5,,
Judd,Kenneth,Uncertain,6,,Agree,3,,Disagree,7,,Uncertain,5,,Agree,4,It killed my incentive to give,
Kaplan,Steven,Uncertain,5,"Higher, but not sure about substantially.",Uncertain,5,"Higher, but not sure about substantially.",Uncertain,3,,Uncertain,4,,Uncertain,3,,
Kashyap,Anil,Agree,3,"this is almost impossible to estimate, but the level of GDP is probably higher even if the growth effects at this point are minimal  ",Agree,3,same reasoning as for GDP.  ,Uncertain,5,,Strongly Agree,9,,No Opinion,,,
Klenow,Pete,Uncertain,5,,Uncertain,5,,Uncertain,5,,Strongly Agree,5,,Uncertain,1,,
Levin,Jonathan,Uncertain,2,,Agree,3,,Disagree,2,,Strongly Agree,5,,Uncertain,2,,
Maskin,Eric,Uncertain,3,"There were some GDP increases after the tax cut, but it's not clear they can be attributed to the cut",No Opinion,,,Disagree,4,,Agree,5,,Agree,4,,
Nordhaus,William,Uncertain,5,,Uncertain,5,,Uncertain,5,,Agree,8,,Uncertain,2,,
Obstfeld,Maurice,Disagree,3,,Disagree,3,,Strongly Disagree,3,,Uncertain,3,,Uncertain,3,,
Saez,Emmanuel,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,
Samuelson,Larry,Uncertain,1,It is not clear now much the TCJA stimulated activity and how much it simply redistributed.,Uncertain,1,,Uncertain,1,,Agree,8,,Uncertain,1,The data appear to be ambiguous.,
Scheinkman,José,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,
Schmalensee,Richard,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,
Shapiro,Carl,Disagree,4,,Uncertain,3,,Disagree,7,,Strongly Agree,10,,Agree,3,,
Shimer,Robert,Agree,1,,Agree,1,,Agree,1,,Agree,5,,Agree,3,,
Stock,James,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,
Thaler,Richard,Strongly Disagree,5,,Disagree,5,,Disagree,5,,Strongly Agree,5,,Disagree,3,,
Udry,Christopher,Uncertain,6,Too little evidence to be confident of either direction.,Disagree,4,The accounts I have read show disappointingly small effects on investment.,Disagree,4,,Strongly Agree,7,,Uncertain,6,"While tax incentives for donations have fallen dramatically, there seem to have been relatively small effects on actual charitable giving.",https://www.urban.org/research/publication/using-state-level-data-understand-how-tax-cuts-and-jobs-act-affected
