Last Name,First Name,The average size of the 19 financial firms that just completed the Federal Reserve stress tests (i.e. the CCAR) would be substantially smaller if they did not have implicit government support.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,"The 19 financial firms that just completed the Federal Reserve stress tests (i.e. the CCAR) are big primarily because of economies of scale and scope, rather than because of implicit government support.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,Q9 - Topics
Acemoglu,Daron,Strongly Agree,8,,Uncertain,6,They are larger than they should be because of bailout guarantees and subsidies to leverage. There may also be economies of scale and scope.,
Alesina,Alberto,No Opinion,,,No Opinion,,,
Altonji,Joseph,Uncertain,1,,Uncertain,1,,
Auerbach,Alan,No Opinion,,,No Opinion,,,
Autor,David,Agree,5,,Disagree,5,,
Baicker,Katherine,Agree,2,,Agree,2,,
Bertrand,Marianne,Uncertain,3,,Uncertain,3,,
Chetty,Raj,No Opinion,,,No Opinion,,,
Chevalier,Judith,Uncertain,7,,Agree,7,,
Currie,Janet,Uncertain,1,,Uncertain,1,,
Cutler,David,Uncertain,5,,Uncertain,5,,
Deaton,Angus,Agree,3,,Uncertain,2,,
Duffie,Darrell,Agree,9,Tbtf implies cheap debt financing of assets.  There are other reasons to be big.  Big clients often want large deals or one-stop shopping. ,Uncertain,9,"Both factors are likely to be present, but we lack sufficient research on magnitudes. ",
Edlin,Aaron,No Opinion,,,No Opinion,,,
Eichengreen,Barry,Uncertain,5,,Uncertain,5,,
Fair,Ray,Uncertain,5,,Uncertain,5,,
Goldberg,Pinelopi,Uncertain,4,,Uncertain,4,,
Goldin,Claudia,No Opinion,,,No Opinion,,,
Goolsbee,Austan,Disagree,4,"not really about size, it's about interconnection",Agree,1,explicit support like FDIC much more important than implict supports,
Greenstone,Michael,Uncertain,1,,Uncertain,1,,
Hall,Robert,Agree,7,,Uncertain,4,,
Holmström,Bengt,Uncertain,4,"Bailouts seem to increase skew in all countries, but I don't know of counterfactual evidence to answer question",Uncertain,5,,
Hoxby,Caroline,Agree,6,,Uncertain,6,"This is not my area of expertise, so I would rather defer to the experts on this.",
Judd,Kenneth,Disagree,3,,Agree,8,,
Kashyap,Anil,Uncertain,7,There are efficiency reasons for size & there is the implicit support. Regulatory burden is now higher.  No telling how much they'd shrink. ,Uncertain,7,Very uncertain about the size of either the efficiency advantages or the net subsidy.  US firms usually are large relative global peers.  ,
Klenow,Pete,Agree,3,,Agree,3,,Unknown
Lazear,Edward,Did Not Answer,,,Did Not Answer,,,
Levin,Jonathan,No Opinion,,,No Opinion,,,
Maskin,Eric,Disagree,5,,Agree,5,,
Nordhaus,William,Strongly Agree,9,"Some might not have survived 2008-2009, so pretty clearly correct.",Uncertain,6,Both are important but don't know of persuasive studies on relative importance of these two factors.,
Obstfeld,Maurice,Uncertain,7,"Certainly smaller, but ""substantrially"" smaller is unclear and subjective.",Uncertain,7,"Clearly there is a government subsidy element, but its size is hard to quantify, and therefore compare to other factors.",
Rouse,Cecilia,No Opinion,,,No Opinion,,,
Saez,Emmanuel,Uncertain,2,,Uncertain,1,,
Scheinkman,José,Agree,8,,Disagree,8,,
Schmalensee,Richard,Disagree,3,,Agree,3,,
Shin,Hyun Song,Agree,8,,Uncertain,8,,
Stock,James,Uncertain,1,,Uncertain,1,,
Stokey,Nancy,Agree,7,Presumably they are all competing to be in the TBTF group.,Uncertain,1,"Difficult to know how to interpret ""big"" and ""primarily.""  ",
Thaler,Richard,No Opinion,,,No Opinion,,,
Udry,Christopher,Did Not Answer,,,Did Not Answer,,,
Zingales,Luigi,Strongly Agree,3,,Uncertain,3,,
