Last Name,First Name,An important reason why many workers in Michigan and Ohio have lost jobs in recent years is because US presidential administrations over the past 30 years have not been tough enough in trade negotiations.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Uncertain,5,"US trade with China caused large emp. declines. But the main mitigating policy should be worker adjustment programs, not trade negotiations."
Alesina,Alberto,Did Not Answer,,
Altonji,Joseph,Disagree,7,"Trade has hurt blue collar workers in manufacturing in Mich, Ohio and elsewhere. But trade negotiations must balance competing interests.  "
Auerbach,Alan,Disagree,5,
Autor,David,Strongly Disagree,8,Growing competition from China and Mexico has cost many manufacturing jobs in Ohio and Michigan. Weak negotiations are not the cause.   
Baicker,Katherine,Disagree,1,
Banerjee,Abhijit,Uncertain,6,
Bertrand,Marianne,Disagree,3,
Brunnermeier,Markus,No Opinion,,
Chetty,Raj,Did Not Answer,,
Chevalier,Judith,Uncertain,2,
Cutler,David,Agree,5,"The phrasing implies that any reduction in jobs is bad.  Some shifts in employment are valuable (e.g., fewer sweatshop jobs in the US)."
Deaton,Angus,Agree,1,
Duffie,Darrell,Disagree,1,
Edlin,Aaron,Disagree,7,
Eichengreen,Barry,Uncertain,5,"""Tough enough"" is not meaningful.  More restrictive US trade policy toward autos would have benefited autoworkers while hurting consumers."
Einav,Liran,Disagree,4,
Fair,Ray,Disagree,5,
Finkelstein,Amy,Did Not Answer,,
Goldberg,Pinelopi,Strongly Disagree,9,
Goolsbee,Austan,Disagree,6,
Greenstone,Michael,Uncertain,2,V likely that any trade effect is from greater competitiveness of China/India/etc rather than tariffs. & recession is big cause of job loss 
Hall,Robert,Did Not Answer,,
Hart,Oliver,Disagree,8,"Job losses occur because of automation, energy prices, tastes, as well as trade. A tougher  policy could have been worse not better."
Holmström,Bengt,No Opinion,,
Hoxby,Caroline,No Opinion,,This question is a good but complicated one. I would like to be able to answer but a cursory explanation cannot do justice to the issue.
Hoynes,Hilary,Disagree,8,
Judd,Kenneth,Strongly Disagree,9,Many jobs went to the US South. Increases in productivity reduced jobs. New jobs were created due to access to foreign labor.
Kaplan,Steven,Strongly Disagree,9,"Technology, globalization, perhaps, unionization are the primary source of lost jobs in Michigan and Ohio.  Same is true in Western Europe"
Kashyap,Anil,Strongly Disagree,7,"Lots of caveats re the benefits of trade, but failure to bargain hard enough is NOT very relevant.  We are protectionist in some cases too"
Klenow,Pete,Disagree,10,"""Enough"" wrongly implies that policy should have been more protectionist. But freer trade did increase gross job destruction. "
Levin,Jonathan,Disagree,5,
Maskin,Eric,Disagree,7,
Nordhaus,William,Disagree,8,"Big drop in manu jobs in 2000s, but prob not due to trade deals."
Saez,Emmanuel,Disagree,5,
Samuelson,Larry,Disagree,6,Toughness in trade negotiations is considerably less important than factors such as skill-biased technical change in manufacturing.
Scheinkman,José,Strongly Disagree,7,
Schmalensee,Richard,Disagree,7,
Shapiro,Carl,Uncertain,1,
Shimer,Robert,Strongly Disagree,8,"Trade matters for job loss, but toughness in trade negotiations has a small effect on trade."
Thaler,Richard,Strongly Disagree,8,"There is nothing in economics or psychology that suggests that being ""tougher"" gets more.  See ultimatum game. "
Udry,Christopher,Disagree,7,
