Last Name,First Name,US share prices have risen since Donald Trump’s election victory at least partly because the policies he seems poised to implement are likely to increase US after-tax corporate profits.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,US share prices have risen since Donald Trump’s election victory at least partly because the policies he seems poised to implement are likely to increase US real GDP growth.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Uncertain,6,"They are more likely to increase the corporate profits of listed firms than all firms, and also in the short/medium run rather than long run",Disagree,7,They are much more likely to be disastrous for the economy and the US political system. The economic policies we know about are  shambles.
Alesina,Alberto,Did Not Answer,,,Did Not Answer,,
Altonji,Joseph,Agree,2,,Uncertain,2,
Auerbach,Alan,Agree,6,,Uncertain,5,
Autor,David,Agree,7,,Uncertain,4,"Some policies likely to boost growth, at least temporarily. Others likely to suppress it. Hard to say! "
Baicker,Katherine,Uncertain,1,,Disagree,1,
Banerjee,Abhijit,Strongly Agree,6,,Uncertain,6,
Bertrand,Marianne,Uncertain,4,,Disagree,4,
Brunnermeier,Markus,Agree,8,,Uncertain,3,
Chetty,Raj,Uncertain,5,,Uncertain,5,
Chevalier,Judith,Agree,6,The after-tax part is crucial.,Uncertain,4,Uncertain because real winners and losers. 
Cutler,David,Agree,3,,Disagree,6,
Deaton,Angus,Agree,7,,Disagree,3,
Duffie,Darrell,Strongly Agree,8,"Even if there is no impact on before-tax profits, stock market investors generally believe that corporate tax rates will drop a lot. ",Agree,7,"Yes, investors do seem to perceive this, from commentary. The degree to which it will happen cannot be predicted with as much confidence. "
Edlin,Aaron,Agree,7,,Agree,4,
Eichengreen,Barry,Strongly Agree,6,,Disagree,5,
Einav,Liran,Agree,2,,Disagree,2,
Fair,Ray,No Opinion,,Changes in stock prices are largely unpredictable.  No real way to identify the increase in stock prices to Trump. ,No Opinion,,Maybe would have risen also if Clinton had been elected.  
Finkelstein,Amy,Did Not Answer,,,Did Not Answer,,
Goldberg,Pinelopi,Did Not Answer,,,Did Not Answer,,
Goolsbee,Austan,Agree,9,companies like tax cuts,Disagree,7,High income tax cuts aren't stimulative and infrastructure takes years
Greenstone,Michael,Did Not Answer,,,Did Not Answer,,
Hall,Robert,Uncertain,5,Two forces in the universe are really hard to predict or understand: Trump and the stock market.,Uncertain,5,see above
Hart,Oliver,Strongly Agree,10,"People, probably correctly, expect lower corporate taxes and fewer regulations. Go figure.",Disagree,7,"I see no reason to think that growth will be  higher because of Trump's policies, which are probably bad for the economy overall."
Holmström,Bengt,Agree,6,,Uncertain,4,
Hoxby,Caroline,No Opinion,,Pure Animal Spirits would seem to be the best explanation.,No Opinion,,
Hoynes,Hilary,Agree,6,,Uncertain,9,
Judd,Kenneth,Uncertain,6,"The rise in prices could be due to a reduction in uncertainty, not to a change in expectations.",Disagree,7,I do not agree with the premise that his policies are likely to increase growth in the long run.
Kaplan,Steven,Agree,10,"Enthusiasm driven by the expectation of regulatory relief and concomitant investment, growth and profits.",Agree,8,"Again, regulatory relief expected to drive investment and growth."
Kashyap,Anil,Uncertain,3,"Can't be proven one way or another, this is plausible but no way to know for sure",Uncertain,7,also impossible to know and the horizon that matters for stocks is longer term growth and after tax earnings
Klenow,Pete,Strongly Agree,10,Trump + Republican Congress = lower tax rate on corporate profits.,Uncertain,10,Depends on the weight put on a trade war vs. stimulative fiscal policy -- and the Fed's response.
Levin,Jonathan,Did Not Answer,,,Did Not Answer,,
Maskin,Eric,Did Not Answer,,,Did Not Answer,,
Nordhaus,William,Agree,9,"Hard to separate the different causes. The impact of tax policies seems the most important reason, particularly the cut in business taxes.",Agree,9,"Here, the Keynesian impact of tax cuts on output is partly offset by likely higher real interest rates."
Saez,Emmanuel,Strongly Agree,7,,Disagree,4,
Samuelson,Larry,Agree,8,"There is too much uncertainty about his policies to know for sure, but they appear to auger well for corporate profits.",Disagree,6,"Despite bold claims about growth, the new administration has not described an effective policy to increase GDP growth."
Scheinkman,José,Agree,8,"More precisely, most market participants believe Trump's policies are likely to increase corporate profits ",Disagree,8,Stock returns are poor predictors of future changes in output (see e.g. Stock and Watson 2003 Journal of Economic Literature)
Schmalensee,Richard,Strongly Agree,8,Hard to imagine what else it could be.,Uncertain,6,"Share prices depend on profits, not GDP.  Tax cuts plus more spending may increase GDP in the short run. but profits are what matter ."
Shapiro,Carl,Did Not Answer,,,Did Not Answer,,
Shimer,Robert,Agree,6,,Uncertain,5,
Thaler,Richard,Agree,1,"Explaining any short term movement in stock prices is a fools game, but this explanation is a plausible one.",Disagree,1,"It is hard to know what Trump's policies will be since he contradicts himself repeatedly, but he shows no signs of understanding economics."
Udry,Christopher,Agree,6,Corporate tax cuts and defense / some infrastructure spending may happen with a unified government. ,Uncertain,7,"In the short run, which dominates, fiscal stimulus or barriers to trade? The longer run looks bad for many reasons."
